neighbourhood_code,space_heating_demand_per_house,hot_water_demand_per_house,electricity_demand_per_house,space_heating_demand_per_m2_utility,hot_water_demand_per_m2_utility,electricity_demand_per_m2_utility,number_of_new_houses_unknown_type,epi_of_new_houses,size_of_new_houses
BU03070100,29.60432138,7,8.337259843,0.738840924,0.01058776,0.061195908,0,0.9,100
BU03070101,32.10142926,7,8.956913386,0.52894763,0.009213973,0.147874943,0,0.9,100
BU03070102,31.77409163,7,9.684,0.432186115,0.00549241,0.068827292,0,0.9,100
BU03070103,30.89374905,7,8.38060274,0.493452004,0.018107274,0.14064,0,0.9,100
BU03070104,29.7232656,7,8.078457447,0.563060099,0.018081136,0.21273988,0,0.9,100
BU03070105,24.29222447,7,7.475323944,0.20519177,0.003409052,0.210558582,0,0.9,100
BU03070106,22.24486572,7,7.416,0.372210493,0.007944773,0.059035706,0,0.9,100
BU03070107,21.4776563,7,6.979366337,0.422884154,0.006252158,0.019782858,0,0.9,100
BU03070108,39.98894155,7,9.756,0.273997389,0.006261986,0.283258903,0,0.9,100
BU03070200,38.99325059,7,12.59565759,0.227270127,0.002740268,0.020033196,0,0.9,100
BU03070202,29.14533965,7,6.732,0.490456558,0.009294108,0.051123606,0,0.9,100
BU03070204,24.69485718,7,7.368810811,0.630346824,0.005592931,0.040758829,0,0.9,100
BU03070205,21.62773836,7,8.130589595,0.402877136,0.003995268,0.439148298,0,0.9,100
BU03070206,39.10285714,7,11.45910857,0.697947564,0.007264826,0.202049773,0,0.9,100
BU03070300,31.4067239,7,8.881035758,0.469896051,0.013533447,0.746529851,0,0.9,100
BU03070301,37.36018957,7,9.18,0.497293454,0.008716203,0.923442016,0,0.9,100
BU03070302,30.13112164,7,8.892,0.463174462,0.011787057,1.46562963,0,0.9,100
BU03070303,35.0600316,7,9.612,0.495306241,0.014310943,1.860499276,0,0.9,100
BU03070304,39.16388686,7,9.687758242,0.418166083,0.007580568,1.241233369,0,0.9,100
BU03070305,31.49074295,7,8.50822446,0.648445509,0.025575905,2.46178851,0,0.9,100
BU03070306,34.56879578,7,8.0199,0.113130425,0.002702416,0.110782532,0,0.9,100
BU03070307,16.33017378,7,7.74,0.217072232,0.003280013,0.03238404,0,0.9,100
BU03070401,14.68720379,7,6.408,0.273132869,0.010230501,0.005517752,0,0.9,100
BU03070402,38.91753555,7,12.5712,0.331845291,0.004205474,0.001186612,0,0.9,100
BU03070403,34.33900195,7,11.09223529,0.448922816,0.00562804,0.001412685,0,0.9,100
BU03070404,56.53646656,7,15.114,0.519432411,0.005871632,0.001935996,0,0.9,100
BU03070500,33.16835416,7,10.71409091,0.417143697,0.017002297,0.012803889,0,0.9,100
BU03070501,80.54159614,7,14.77478571,0.726996862,0.028052986,0.0106155,0,0.9,100
BU03070502,55.40399497,7,10.21911864,0.363101863,0.007989266,0.006945055,0,0.9,100
BU03070600,35.0600316,7,7.704,0.17275978,0.00368006,0.637898771,0,0.9,100
BU03070601,18.41703506,7,6.897478992,0.359192981,0.006178357,0.128796715,0,0.9,100
BU03070603,21.53927486,7,9.770044843,0.194391535,0.004416887,0.44737577,0,0.9,100
BU03070700,29.11701571,7,8.667568513,0.44368725,0.013008181,0.706505703,0,0.9,100
BU03070701,28.6118787,7,8.099022801,0.26574093,0.00668926,0.433296544,0,0.9,100
BU03070702,27.17645225,7,7.276748466,0.537375025,0.018951911,0.300560014,0,0.9,100
BU03070800,29.76779277,7,9.385048951,0.285710804,0.010241313,1.293138269,0,0.9,100
BU03070801,32.43127962,7,8.352,0.186148654,0.004503654,0.270130476,0,0.9,100
BU03070803,31.83651617,7,9.811237721,0.183122915,0.004641246,0.360728113,0,0.9,100
BU03070900,26.8155839,7,9.529481808,0.51696411,0.027698811,4.83944009,0,0.9,100
BU03070902,24.2164297,7,10.08,0.298494519,0.011145919,0.935055852,0,0.9,100
BU03070903,26.18799368,7,9.432,0.195614605,0.003919322,2.152001774,0,0.9,100
BU03070905,23.55924171,7,9.324,0.105487406,0.002001524,0.410922836,0,0.9,100
BU03071000,38.01737757,7,9.684,0.327737206,0.00813691,0.370311027,0,0.9,100
BU03071001,29.47393365,7,7.956,0.396045329,0.011644301,0.247382027,0,0.9,100
BU03071002,32.10268562,7,8.64,0.252731162,0.00514399,1.112991757,0,0.9,100
BU03071003,27.47005196,7,10.1760282,0.255142331,0.004576295,0.320626458,0,0.9,100
BU03071004,25.57357086,7,8.257809045,0.137825624,0.006704088,0.184682401,0,0.9,100
BU03071100,35.0600316,7,10.584,0.156185888,0.003019007,1.030542871,0,0.9,100
BU03071101,39.27860254,7,10.03042703,0.03713453,0.002815351,2.257456204,0,0.9,100
BU03071201,59.90656737,7,14.53371429,1.234544264,0.015755867,4.993177914,0,0.9,100
BU03071202,84.34913112,7,17.712,0.225044684,0.003220411,0.622141935,0,0.9,100
BU03071300,36.70300158,7,8.604,0.273456518,0.010070788,0.915203414,0,0.9,100
BU03071301,59.88169102,7,9.83865,0.245694065,0.005798833,0.450109798,0,0.9,100
BU03071302,40.97472354,7,8.676,0.197467082,0.008258482,1.134417923,0,0.9,100
BU03071400,29.19882888,7,10.11500838,0.409651091,0.004295297,0.330155265,0,0.9,100
BU03071401,32.91018923,7,8.844090517,0.367459546,0.008925344,0.57728888,0,0.9,100
BU03071402,22.33285062,7,6.424263158,0.359820362,0.009981048,0.642802224,0,0.9,100
BU03071403,31.77409163,7,8.028,0.258769161,0.009537871,0.424499548,0,0.9,100
BU03071500,39.38468997,7,10.05751817,0.296580596,0.008296299,0.249149335,0,0.9,100
BU03071501,39.87130685,7,10.5317234,0.387789927,0.006572361,0.210159374,0,0.9,100
BU03071502,38.67456556,7,9.468,0.26309817,0.006290784,0.807870078,0,0.9,100
BU03071503,44.9178515,7,14.328,0.439930992,0.010701756,1.163055257,0,0.9,100
BU03071600,39.00315956,7,9.144,0.336636425,0.008836621,0.367731573,0,0.9,100
BU03071601,45.57503949,7,11.088,0.494426023,0.012385703,0.594334069,0,0.9,100
BU03071602,38.05344719,7,9.080607211,0.630944842,0.021316117,0.879118214,0,0.9,100
BU03071603,32.43127962,7,10.476,0.552709376,0.0036577,0.04657882,0,0.9,100
BU03071700,40.13727733,7,9.136551724,0.607585322,0.018841064,0.494723926,0,0.9,100
BU03071701,22.90205371,7,7.02,0.384755251,0.020830326,1.025670427,0,0.9,100
BU03071702,84.78285524,7,16.54105263,0.539774328,0.006754806,0.422135662,0,0.9,100
BU03071703,62.12761276,7,13.52720792,0.399065067,0.009469711,0.533829643,0,0.9,100
BU03071704,40.46507774,7,9.927581292,0.507803958,0.005715458,0.663513546,0,0.9,100
