neighbourhood_code,neighbourhood_name,adjacent_neighbourhoods,geo_coordinate_x,geo_coordinate_y,municipality_code,municipality_name
BU03070100,Hof,"BU03070105,BU03070102,BU03070101,BU03070103,BU03070104,BU03070107",155162.5054,463220.8299,GM0307,Amersfoort
BU03070101,Nieuwstraat,"BU03070105,BU03070102,BU03070100,BU03070103,BU03070106,BU03070104",155311.6492,463063.2826,GM0307,Amersfoort
BU03070102,Mooierstraat,"BU03070105,BU03070101,BU03070100,BU03070103,BU03070106,BU03070107",155169.0337,462912.7234,GM0307,Amersfoort
BU03070103,Lieve Vrouwekerkhof,"BU03070102,BU03070101,BU03070100,BU03070106,BU03070104,BU03070107",155004.513,463095.521,GM0307,Amersfoort
BU03070104,Coninckstraat,"BU03070702,BU03070105,BU03070101,BU03070100,BU03070103,BU03070108,BU03070701,BU03070107",155306.9348,463425.3113,GM0307,Amersfoort
BU03070105,Beestenmarkt,"BU03070702,BU03071400,BU03070102,BU03070101,BU03070100,BU03071500,BU03070106,BU03070104,BU03070701",155537.8245,463114.7268,GM0307,Amersfoort
BU03070106,Gote Haag,"BU03070105,BU03070102,BU03070101,BU03070103,BU03071500,BU03070204,BU03070202,BU03070107",155087.011,462793.3538,GM0307,Amersfoort
BU03070107,Stadhuisplein,"BU03070102,BU03070100,BU03070103,BU03070106,BU03070401,BU03070603,BU03070108,BU03070104,BU03070202,BU03070200,BU03070307",154832.7601,463146.4237,GM0307,Amersfoort
BU03070108,Schimmelpenninckstraat,"BU03070401,BU03070603,BU03070601,BU03070104,BU03070700,BU03070701,BU03070107",155001.0454,463570.566,GM0307,Amersfoort
BU03070200,Smallepad,"BU03070401,BU03070206,BU03070202,BU03070107,BU03070307,BU03071801,BU03070500",154531.1238,463000.1869,GM0307,Amersfoort
BU03070202,Snouckaertlaan,"BU03070106,BU03070205,BU03070204,BU03070206,BU03070200,BU03070107",154643.9688,462851.9415,GM0307,Amersfoort
BU03070204,Zonnehof,"BU03071500,BU03070106,BU03070205,BU03071502,BU03070206,BU03070202",154797.815,462648.0035,GM0307,Amersfoort
BU03070205,Weltevreden,"BU03071500,BU03071700,BU03071600,BU03071502,BU03070204,BU03070206,BU03070202,BU03071801",154696.3374,462482.3292,GM0307,Amersfoort
BU03070206,Bloemweg,"BU03071700,BU03070205,BU03070204,BU03070202,BU03070200,BU03071801",154489.6164,462685.8382,GM0307,Amersfoort
BU03070300,Rivierenbuurt-Oost,"BU03070302,BU03070306,BU03070402,BU03070301,BU03070403,BU03070303",153762.3259,463650.0817,GM0307,Amersfoort
BU03070301,Rivierenbuurt-West,"BU03070305,BU03070404,BU03070403,BU03070303,BU03070304,BU03070300",153210.8382,463830.9272,GM0307,Amersfoort
BU03070302,G. van Stellingwerfstraat,"BU03070307,BU03070306,BU03070303,BU03070300",154093.6699,463203.613,GM0307,Amersfoort
BU03070303,Bloemenbuurt-Oost,"BU03070307,BU03070302,BU03070301,BU03070500,BU03070304,BU03070300",153540.4876,463338.6095,GM0307,Amersfoort
BU03070304,Bloemenbuurt-West,"BU03070305,BU03070301,BU03070500,BU03070303",152874.3741,463470.4621,GM0307,Amersfoort
BU03070305,Bomenbuurt,"BU03070301,BU03070404,BU03070403,BU03070500,BU03070304",152668.5911,463792.5907,GM0307,Amersfoort
BU03070306,Puntenburg,"BU03070401,BU03070307,BU03070302,BU03070402,BU03070300",154306.3126,463381.4433,GM0307,Amersfoort
BU03070307,Piet Mondriaanlaan,"BU03070401,BU03070200,BU03070107,BU03070302,BU03070306,BU03070500,BU03070303",154184.4001,463050.3445,GM0307,Amersfoort
BU03070401,Eemplein,"BU03070600,BU03070603,BU03070108,BU03070200,BU03070107,BU03070307,BU03070306,BU03070402",154570.1061,463513.9657,GM0307,Amersfoort
BU03070402,Geldersestraat,"BU03070800,BU03070401,BU03070600,BU03070603,BU03070306,BU03070403,BU03072709,BU03070300",154163.7967,463858.2855,GM0307,Amersfoort
BU03070403,Chromiumweg,"BU03070800,BU03070305,BU03070402,BU03070301,BU03070404,BU03072700,BU03072709,BU03070300",153513.5351,464279.8742,GM0307,Amersfoort
BU03070404,Uraniumweg,"BU03070305,BU03070301,BU03070403,BU03072700,BU03072709,BU03420702,BU03070500",152628.2174,464520.2297,GM0307,Amersfoort
BU03070500,Birkhoven en Bokkeduinen,"BU03070200,BU03070307,BU03071801,BU03070305,BU03070404,BU03420702,BU03071803,BU03071802,BU03070303,BU03070304,BU03420704,BU03070501,BU03420706",152436.0431,462899.9827,GM0307,Amersfoort
BU03070501,Vlasakkers,"BU03071803,BU03070500,BU03070502,BU03071804,BU03420706,BU03420803",152024.231,461533.7533,GM0307,Amersfoort
BU03070502,Zon en Schild,"BU03071603,BU03071705,BU03070501,BU03071804,BU03071707,BU03420803,BU03270209,BU03550405",151583.6206,459884.6459,GM0307,Amersfoort
BU03070600,Jericho en Jeruzalem,"BU03070800,BU03070401,BU03070603,BU03070601,BU03070402",154566.9527,463937.77,GM0307,Amersfoort
BU03070601,Meridiaan,"BU03072500,BU03070803,BU03071000,BU03070800,BU03070801,BU03070600,BU03070603,BU03070108,BU03070700",155044.2816,464136.5972,GM0307,Amersfoort
BU03070603,Gildekwartier,"BU03070401,BU03070600,BU03070108,BU03070601,BU03070700,BU03070107,BU03070402",154743.1083,463690.3167,GM0307,Amersfoort
BU03070700,Evertsenstraat,"BU03072500,BU03071000,BU03071001,BU03070603,BU03070108,BU03070601,BU03070701",155422.3626,463953.2968,GM0307,Amersfoort
BU03070701,Neptunusplein,"BU03071000,BU03070702,BU03071001,BU03071003,BU03070105,BU03070108,BU03070104,BU03070700",155733.6537,463779.9467,GM0307,Amersfoort
BU03070702,Columbusweg,"BU03071001,BU03071003,BU03070105,BU03071400,BU03071401,BU03070104,BU03070701,BU03071301,BU03071004",155999.1532,463498.35,GM0307,Amersfoort
BU03070800,Vuurtoren,"BU03070900,BU03070801,BU03070600,BU03070601,BU03070402,BU03070403,BU03071904,BU03072709",154466.0328,464427.5388,GM0307,Amersfoort
BU03070801,De Plaatsen,"BU03070803,BU03070903,BU03070800,BU03070900,BU03070902,BU03070601",154974.4202,464641.1906,GM0307,Amersfoort
BU03070803,Koperhorst,"BU03072500,BU03070903,BU03070801,BU03070601",155439.1091,464692.8733,GM0307,Amersfoort
BU03070900,Elly Takmastraat,"BU03070800,BU03070801,BU03070902,BU03072300,BU03071904,BU03072709",154565.509,464933.4773,GM0307,Amersfoort
BU03070902,Camera Obscurastraat,"BU03070903,BU03070900,BU03070801,BU03072300",155031.9864,465234.6532,GM0307,Amersfoort
BU03070903,Queekhoven,"BU03072500,BU03070803,BU03070905,BU03070801,BU03070902,BU03072300",155566.6518,465151.1348,GM0307,Amersfoort
BU03070905,Het Gein,"BU03072001,BU03072500,BU03072003,BU03070903,BU03072300",155958.588,465298.8715,GM0307,Amersfoort
BU03071000,Liendertsedreef,"BU03071002,BU03072500,BU03071100,BU03071001,BU03070601,BU03070700,BU03070701",155857.8453,464514.8866,GM0307,Amersfoort
BU03071001,Vinkenbaan,"BU03071002,BU03071000,BU03070702,BU03071003,BU03070700,BU03070701",156148.7273,464231.2666,GM0307,Amersfoort
BU03071002,De Horsten,"BU03071100,BU03071000,BU03071001,BU03071003,BU03071101",156383.5391,464490.7362,GM0307,Amersfoort
BU03071003,Albatrosstraat,"BU03071002,BU03071100,BU03070702,BU03071001,BU03070701,BU03071101,BU03071004",156465.7119,463898.4815,GM0307,Amersfoort
BU03071004,Zwaluwenstraat,"BU03070702,BU03071003,BU03071401,BU03071101,BU03071301",156546.2107,463537.7392,GM0307,Amersfoort
BU03071100,Rustenburg-Noord,"BU03071002,BU03072500,BU03072501,BU03071000,BU03071003,BU03072502,BU03071101",156814.4486,464625.6199,GM0307,Amersfoort
BU03071101,Rustenburg-Zuid,"BU03071002,BU03071100,BU03071003,BU03071201,BU03072502,BU03071301,BU03071004",157050.0634,464045.0611,GM0307,Amersfoort
BU03071201,Bloeidaal,"BU03072503,BU03072502,BU03270400,BU03071202,BU03071101,BU03071301,BU03071302",158210.4013,463811.1669,GM0307,Amersfoort
BU03071202,Stoutenburgerlaan,"BU03072504,BU03071201,BU03072503,BU03270400,BU03270309",160356.2712,463494.0537,GM0307,Amersfoort
BU03071300,Romeostraat,"BU03071401,BU03071301,BU03071302",156603.1878,463039.3798,GM0307,Amersfoort
BU03071301,Ariaweg,"BU03070702,BU03071401,BU03071201,BU03072502,BU03071101,BU03071004,BU03071300,BU03071302",156874.9434,463282.6724,GM0307,Amersfoort
BU03071302,Verdiweg,"BU03071401,BU03071403,BU03071201,BU03270400,BU03071301,BU03071300",156781.6807,462602.8747,GM0307,Amersfoort
BU03071400,Willem III,"BU03070702,BU03070105,BU03071401,BU03071500",155801.5926,462951.613,GM0307,Amersfoort
BU03071401,Randenbroekerweg,"BU03070702,BU03071501,BU03071400,BU03071402,BU03071403,BU03071500,BU03071301,BU03071004,BU03071300,BU03071302",156108.8949,462859.9275,GM0307,Amersfoort
BU03071402,Bachweg-Zuid,"BU03071501,BU03071503,BU03071401,BU03071403,BU03071500",155964.0356,462425.2414,GM0307,Amersfoort
BU03071403,Weberstraat,"BU03071501,BU03071503,BU03071402,BU03071401,BU03270400,BU03071302,BU03270109",156315.6056,461993.0162,GM0307,Amersfoort
BU03071500,Bekenstein en De Luiaard,"BU03071501,BU03070105,BU03071400,BU03071402,BU03071401,BU03070106,BU03070205,BU03071502,BU03070204",155196.4675,462603.0662,GM0307,Amersfoort
BU03071501,Rubensstraat,"BU03071503,BU03071402,BU03071401,BU03071403,BU03071500,BU03071602,BU03071600,BU03071502",155535.663,462038.6646,GM0307,Amersfoort
