buurtcode,woningtype,QI_bouwjaarklasse,aantal_woningen,gem_epi,gem_oppervlakte,aantal_kleine_woningen,buurtnaam
BU03070100,Apartment,<1946,182,2.186868132,85.40659341,108,Hof
BU03070100,Apartment,1946-1974,3,2.2,38.66666667,3,Hof
BU03070100,Apartment,1975-1990,15,1.636666667,48.73333333,14,Hof
BU03070100,Apartment,>2010,6,0.798333333,46.5,6,Hof
BU03070100,Terraced house,<1946,154,2.130584416,134.3896104,34,Hof
BU03070100,Terraced house,1946-1974,14,2.009285714,131.3571429,3,Hof
BU03070100,Terraced house,1975-1990,4,1.645,82,2,Hof
BU03070100,Semi-detached house,<1946,1,2.49,327,0,Hof
BU03070100,Detached house,1946-1974,1,2.15,97,0,Hof
BU03070100,Detached house,1991-2000,1,1.38,92,0,Hof
BU03070101,Apartment,<1946,47,1.979574468,100.893617,22,Nieuwstraat
BU03070101,Apartment,1946-1974,8,2.19875,44.625,8,Nieuwstraat
BU03070101,Apartment,1975-1990,63,1.482857143,57.61904762,57,Nieuwstraat
BU03070101,Apartment,1991-2000,5,1.31,64.2,4,Nieuwstraat
BU03070101,Apartment,2001-2010,15,1.166666667,76,10,Nieuwstraat
BU03070101,Terraced house,<1946,63,2.103650794,179.9047619,4,Nieuwstraat
BU03070101,Terraced house,1946-1974,10,2.309,162.6,2,Nieuwstraat
BU03070101,Terraced house,1975-1990,13,1.629230769,255.3846154,0,Nieuwstraat
BU03070101,Terraced house,1991-2000,8,1.43625,178.625,0,Nieuwstraat
BU03070101,Terraced house,2001-2010,3,1.37,148.3333333,0,Nieuwstraat
BU03070101,Terraced house,>2010,9,1,111.3333333,0,Nieuwstraat
BU03070101,Semi-detached house,<1946,5,2.384,99.4,2,Nieuwstraat
BU03070101,Semi-detached house,1991-2000,2,1.805,126,0,Nieuwstraat
BU03070101,Detached house,<1946,2,2.23,91,0,Nieuwstraat
BU03070101,Detached house,>2010,1,1,86,0,Nieuwstraat
BU03070102,Apartment,<1946,11,2.433636364,89.36363636,2,Mooierstraat
BU03070102,Apartment,1975-1990,20,1.895,36.35,20,Mooierstraat
BU03070102,Apartment,1991-2000,34,1.333823529,131.8823529,0,Mooierstraat
BU03070102,Terraced house,<1946,27,2.260740741,195.6666667,3,Mooierstraat
BU03070102,Terraced house,1946-1974,1,2.06,76,0,Mooierstraat
BU03070102,Semi-detached house,<1946,2,2.49,360,0,Mooierstraat
BU03070102,Semi-detached house,1975-1990,2,2.04,48,2,Mooierstraat
BU03070102,Detached house,<1946,3,2.23,116.6666667,1,Mooierstraat
BU03070103,Apartment,<1946,52,2.164230769,81.76923077,27,Lieve Vrouwekerkhof
