neighbourhood_code,space_heating_demand_per_house,hot_water_demand_per_house,space_heating_demand_per_m2_utility,hot_water_demand_per_m2_utility,electricity_demand_per_house,electricity_demand_per_m2_utility,share_of_houses_demolished,number_of_new_apartments,number_of_new_terraced_houses,number_of_new_detached_houses,number_of_new_semi_detached_houses,number_of_new_houses_unknown_type,epi_of_new_houses,size_of_new_houses,existing_heat_network_share
GM0059_12,36,9,0.27692307692307694,0.06923076923076923,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_5,43,8,0.33076923076923076,0.06153846153846154,12.0,0.09230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_11,35,8,0.2692307692307692,0.06153846153846154,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_4,25,8,0.19230769230769232,0.06153846153846154,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_30,30,8,0.23076923076923078,0.06153846153846154,20.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_7,38,8,0.2923076923076923,0.06153846153846154,17.0,0.13076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_6,30,8,0.23076923076923078,0.06153846153846154,19.0,0.14615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_1,39,8,0.3,0.06153846153846154,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_0,25,8,0.19230769230769232,0.06153846153846154,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_3,26,6,0.2,0.046153846153846156,18.0,0.13846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_2,25,7,0.19230769230769232,0.05384615384615385,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_29,34,7,0.26153846153846155,0.05384615384615385,23.0,0.17692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_28,30,8,0.23076923076923078,0.06153846153846154,15.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_25,11,8,0.08461538461538462,0.06153846153846154,9.0,0.06923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_24,25,8,0.19230769230769232,0.06153846153846154,12.0,0.09230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_27,32,8,0.24615384615384617,0.06153846153846154,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_26,37,9,0.2846153846153846,0.06923076923076923,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_21,17,7,0.13076923076923078,0.05384615384615385,16.0,0.12307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_20,36,8,0.27692307692307694,0.06153846153846154,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_23,27,7,0.2076923076923077,0.05384615384615385,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_22,28,8,0.2153846153846154,0.06153846153846154,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_47,31,9,0.23846153846153847,0.06923076923076923,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_46,17,8,0.13076923076923078,0.06153846153846154,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_48,25,7,0.19230769230769232,0.05384615384615385,19.0,0.14615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_43,23,8,0.17692307692307693,0.06153846153846154,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_42,16,7,0.12307692307692308,0.05384615384615385,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_45,24,8,0.18461538461538463,0.06153846153846154,12.0,0.09230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_44,42,9,0.3230769230769231,0.06923076923076923,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_41,28,6,0.2153846153846154,0.046153846153846156,28.0,0.2153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_40,27,8,0.2076923076923077,0.06153846153846154,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_39,29,7,0.2230769230769231,0.05384615384615385,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_18,23,7,0.17692307692307693,0.05384615384615385,17.0,0.13076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_36,42,9,0.3230769230769231,0.06923076923076923,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_17,30,8,0.23076923076923078,0.06153846153846154,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_35,29,8,0.2230769230769231,0.06153846153846154,16.0,0.12307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_19,33,8,0.25384615384615383,0.06153846153846154,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_38,28,8,0.2153846153846154,0.06153846153846154,19.0,0.14615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_14,38,7,0.2923076923076923,0.05384615384615385,17.0,0.13076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_37,19,2,0.14615384615384616,0.015384615384615385,60.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_32,37,7,0.2846153846153846,0.05384615384615385,17.0,0.13076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
