neighbourhood_code,space_heating_demand_per_house,hot_water_demand_per_house,space_heating_demand_per_m2_utility,hot_water_demand_per_m2_utility,electricity_demand_per_house,electricity_demand_per_m2_utility,share_of_houses_demolished,number_of_new_apartments,number_of_new_terraced_houses,number_of_new_detached_houses,number_of_new_semi_detached_houses,number_of_new_houses_unknown_type,epi_of_new_houses,size_of_new_houses,existing_heat_network_share
GM0059_13,29,9,0.2230769230769231,0.06923076923076923,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_9,32,6,0.24615384615384617,0.046153846153846156,36.0,0.27692307692307694,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_31,29,8,0.2230769230769231,0.06153846153846154,12.0,0.09230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_16,30,8,0.23076923076923078,0.06153846153846154,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_34,35,9,0.2692307692307692,0.06923076923076923,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_8,15,6,0.11538461538461539,0.046153846153846156,17.0,0.13076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_15,31,6,0.23846153846153847,0.046153846153846156,28.0,0.2153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_10,28,5,0.2153846153846154,0.038461538461538464,34.0,0.26153846153846155,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0059_33,28,5,0.2153846153846154,0.038461538461538464,25.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0060_4,27,7,0.2076923076923077,0.05384615384615385,21.0,0.16153846153846155,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0060_7,28,7,0.2153846153846154,0.05384615384615385,26.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0060_12,27,5,0.2076923076923077,0.038461538461538464,36.0,0.27692307692307694,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0060_6,23,5,0.17692307692307693,0.038461538461538464,38.0,0.2923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0060_11,22,4,0.16923076923076924,0.03076923076923077,44.0,0.3384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0060_9,29,4,0.2230769230769231,0.03076923076923077,42.0,0.3230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0060_13,23,6,0.17692307692307693,0.046153846153846156,26.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0060_8,19,4,0.14615384615384616,0.03076923076923077,43.0,0.33076923076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0060_1,26,5,0.2,0.038461538461538464,36.0,0.27692307692307694,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0060_0,24,7,0.18461538461538463,0.05384615384615385,23.0,0.17692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0060_3,29,6,0.2230769230769231,0.046153846153846156,29.0,0.2230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0060_2,28,5,0.2153846153846154,0.038461538461538464,38.0,0.2923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0060_5,27,6,0.2076923076923077,0.046153846153846156,27.0,0.2076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0060_10,29,7,0.2230769230769231,0.05384615384615385,25.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0088_1,26,7,0.2,0.05384615384615385,21.0,0.16153846153846155,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0088_0,24,5,0.18461538461538463,0.038461538461538464,37.0,0.2846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0088_3,24,6,0.18461538461538463,0.046153846153846156,24.0,0.18461538461538463,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0088_2,21,5,0.16153846153846155,0.038461538461538464,37.0,0.2846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_6,32,6,0.24615384615384617,0.046153846153846156,31.0,0.23846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_14,19,8,0.14615384615384616,0.06153846153846154,15.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_1,13,7,0.1,0.05384615384615385,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_13,18,8,0.13846153846153847,0.06153846153846154,12.0,0.09230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_0,18,7,0.13846153846153847,0.05384615384615385,17.0,0.13076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_16,22,8,0.16923076923076924,0.06153846153846154,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_3,19,8,0.14615384615384616,0.06153846153846154,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_15,33,6,0.25384615384615383,0.046153846153846156,36.0,0.27692307692307694,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_2,22,8,0.16923076923076924,0.06153846153846154,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_10,28,8,0.2153846153846154,0.06153846153846154,20.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_12,23,4,0.17692307692307693,0.03076923076923077,32.0,0.24615384615384617,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_11,19,7,0.14615384615384616,0.05384615384615385,19.0,0.14615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_9,17,8,0.13076923076923078,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_8,17,8,0.13076923076923078,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_5,23,4,0.17692307692307693,0.03076923076923077,30.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_4,17,8,0.13076923076923078,0.06153846153846154,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0279_7,28,5,0.2153846153846154,0.038461538461538464,39.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_77,16,6,0.12307692307692308,0.046153846153846156,18.0,0.13846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_76,19,8,0.14615384615384616,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_79,30,9,0.23076923076923078,0.06923076923076923,15.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_79,21,8,0.16153846153846155,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,33
GM0307_2_78,21,7,0.16153846153846155,0.05384615384615385,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_73,23,8,0.17692307692307693,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,86
GM0307_1_76,23,5,0.17692307692307693,0.038461538461538464,37.0,0.2846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_72,23,5,0.17692307692307693,0.038461538461538464,39.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_107,23,7,0.17692307692307693,0.05384615384615385,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_75,23,1,0.17692307692307693,0.007692307692307693,72.0,0.5538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_106,22,8,0.16923076923076924,0.06153846153846154,12.0,0.09230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_75,20,8,0.15384615384615385,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,98
GM0307_1_78,15,6,0.11538461538461539,0.046153846153846156,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_74,26,8,0.2,0.06153846153846154,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_109,18,7,0.13846153846153847,0.05384615384615385,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_77,22,7,0.16923076923076924,0.05384615384615385,15.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_108,13,6,0.1,0.046153846153846156,9.0,0.06923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,30
GM0307_1_72,23,7,0.17692307692307693,0.05384615384615385,15.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_103,13,7,0.1,0.05384615384615385,9.0,0.06923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_71,21,5,0.16153846153846155,0.038461538461538464,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_102,24,6,0.18461538461538463,0.046153846153846156,23.0,0.17692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_71,37,6,0.2846153846153846,0.046153846153846156,29.0,0.2230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_74,25,8,0.19230769230769232,0.06153846153846154,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_105,30,8,0.23076923076923078,0.06153846153846154,19.0,0.14615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_70,20,8,0.15384615384615385,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_73,12,6,0.09230769230769231,0.046153846153846156,8.0,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_104,14,5,0.1076923076923077,0.038461538461538464,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_70,23,7,0.17692307692307693,0.05384615384615385,19.0,0.14615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_101,22,8,0.16923076923076924,0.06153846153846154,12.0,0.09230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_100,22,8,0.16923076923076924,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_69,21,8,0.16153846153846155,0.06153846153846154,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_66,23,6,0.17692307692307693,0.046153846153846156,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_65,13,7,0.1,0.05384615384615385,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_68,21,7,0.16153846153846155,0.05384615384615385,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_67,5,0,0.038461538461538464,0.0,76.0,0.5846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_62,25,7,0.19230769230769232,0.05384615384615385,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_61,23,8,0.17692307692307693,0.06153846153846154,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_64,13,7,0.1,0.05384615384615385,17.0,0.13076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_63,28,6,0.2153846153846154,0.046153846153846156,25.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_60,25,8,0.19230769230769232,0.06153846153846154,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_19,21,8,0.16153846153846155,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_18,23,8,0.17692307692307693,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_15,15,5,0.11538461538461539,0.038461538461538464,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_14,18,6,0.13846153846153847,0.046153846153846156,28.0,0.2153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_17,20,7,0.15384615384615385,0.05384615384615385,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_16,26,8,0.2,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_11,14,7,0.1076923076923077,0.05384615384615385,12.0,0.09230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_10,13,6,0.1,0.046153846153846156,9.0,0.06923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_13,23,8,0.17692307692307693,0.06153846153846154,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_12,23,7,0.17692307692307693,0.05384615384615385,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_98,30,8,0.23076923076923078,0.06153846153846154,17.0,0.13076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_97,14,7,0.1076923076923077,0.05384615384615385,12.0,0.09230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_99,15,6,0.11538461538461539,0.046153846153846156,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_94,11,7,0.08461538461538462,0.05384615384615385,8.0,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_93,12,7,0.09230769230769231,0.05384615384615385,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_96,27,7,0.2076923076923077,0.05384615384615385,16.0,0.12307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_95,21,7,0.16153846153846155,0.05384615384615385,15.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_90,21,8,0.16153846153846155,0.06153846153846154,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_92,22,7,0.16923076923076924,0.05384615384615385,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_91,15,6,0.11538461538461539,0.046153846153846156,19.0,0.14615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_8,18,5,0.13846153846153847,0.038461538461538464,19.0,0.14615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_7,22,5,0.16923076923076924,0.038461538461538464,20.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_9,21,6,0.16153846153846155,0.046153846153846156,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_4,22,8,0.16923076923076924,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,36
GM0307_1_47,26,3,0.2,0.023076923076923078,37.0,0.2846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_3,21,8,0.16153846153846155,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_46,22,8,0.16923076923076924,0.06153846153846154,12.0,0.09230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_6,16,7,0.12307692307692308,0.05384615384615385,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,25
GM0307_1_49,23,7,0.17692307692307693,0.05384615384615385,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_5,18,7,0.13846153846153847,0.05384615384615385,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_48,23,7,0.17692307692307693,0.05384615384615385,17.0,0.13076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_0,13,5,0.1,0.038461538461538464,26.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_43,22,7,0.16923076923076924,0.05384615384615385,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_42,26,8,0.2,0.06153846153846154,15.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_2,26,7,0.2,0.05384615384615385,16.0,0.12307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_45,13,6,0.1,0.046153846153846156,9.0,0.06923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_1,22,8,0.16923076923076924,0.06153846153846154,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_44,11,7,0.08461538461538462,0.05384615384615385,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_41,12,6,0.09230769230769231,0.046153846153846156,23.0,0.17692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_40,12,7,0.09230769230769231,0.05384615384615385,15.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_37,24,1,0.18461538461538463,0.007692307692307693,61.0,0.46923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_36,21,8,0.16153846153846155,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_39,26,7,0.2,0.05384615384615385,16.0,0.12307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_39,24,8,0.18461538461538463,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_38,15,5,0.11538461538461539,0.038461538461538464,36.0,0.27692307692307694,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_33,15,5,0.11538461538461539,0.038461538461538464,11.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_32,22,8,0.16923076923076924,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_36,14,7,0.1076923076923077,0.05384615384615385,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_35,27,8,0.2076923076923077,0.06153846153846154,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_35,15,3,0.11538461538461539,0.023076923076923078,45.0,0.34615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_38,19,7,0.14615384615384616,0.05384615384615385,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_34,24,3,0.18461538461538463,0.023076923076923078,39.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_37,14,6,0.1076923076923077,0.046153846153846156,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_1_32,14,6,0.1076923076923077,0.046153846153846156,9.0,0.06923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
GM0307_2_31,28,8,0.2153846153846154,0.06153846153846154,14.0,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0
