fid,source_name,available_heat,source_id,geo_coordinate_x,geo_coordinate_y,neighbourhoods_in_range
"42",Naamloze Vennootschap Linde Gas Benelux,"135289",LTHP0042,86963,435384,"GM0606_24,GM0606_108,GM0606_33,GM0606_22,GM0606_43,GM0606_94,GM0606_78,GM0606_60,GM0606_7,GM0606_112,GM0606_80,GM0606_138,GM0606_39,GM0606_123,GM0606_76,GM0606_73"
"43",RWZI   Leidsche Rijn,"223906",LTHP0043,131140,458465,"GM1904_8,GM0344_4_46,GM0344_4_43,GM0344_1_100,GM0344_4_6"
"44",RWZI   Veenendaal,"137313",LTHP0044,164300,450000,"GM0345_41,GM0339_5,GM1581_68,GM0345_95"
"45",RWZI   Heiloo,"137313",LTHP0045,109871,512162,
"46",RWZI   Horstermeer,"142439",LTHP0046,134890,474262,
"47",RWZI   Gouda,"143263",LTHP0047,108418,446219,"GM0513_44,GM0513_136,GM0513_143,GM0513_111,GM0513_32,GM0513_87,GM0513_141,GM0513_142,GM0513_130,GM0513_49,GM0513_65,GM1931_54"
"48",Switch Datacenters   Amsterdam,"143445",LTHP0048,124451,479656,"GM0437_19,GM0437_24"
"49",RWZI   Hilversum,"145066",LTHP0049,142430,470573,
"50",RWZI   Amstelveen,"145186",LTHP0050,121259,480565,"GM0362_120,GM0362_129,GM0362_81,GM0362_87"
"51",RWZI   Houten,"156537",LTHP0051,137354,448740,"GM0321_49,GM0321_77,GM0321_80,GM0321_53,GM0356_74,GM0356_57,GM0356_52,GM0356_116"
"52",W_Gemaal_625,"157680",LTHP0052,110452,506600,"GM0383_47,GM0383_60,GM0450_4,GM0450_5"
"53",Debanensite NL BV,"157680",LTHP0053,112387,514448,
"54",Uniserver Internet BV,"157680",LTHP0054,112387,514448,
"55",A  Friend of Mine BV,"157680",LTHP0055,123628,487692,
"56",Architectenweb BV,"157680",LTHP0056,127154,486235,
"57",Equinix  Netherlands  BV,"157680",LTHP0057,124631,479274,GM0437_19
"58",Futurewhiz Media BV,"157680",LTHP0058,122333,485987,
"59",Global Sports Media BV,"157680",LTHP0059,123140,484546,
"60",Google Netherlands BV,"157680",LTHP0060,119884,483433,
"61",Greenhost BV,"157680",LTHP0061,122181,486566,
"62",Grey Matter Entertainment BV,"157680",LTHP0062,117868,483737,
"63",Groupon Netherlands BV,"157680",LTHP0063,123140,484546,
"64",Jobsites BV,"157680",LTHP0064,120666,486221,
"65",Kenes Education BV,"157680",LTHP0065,122937,487852,
"66",Nutrill,"157680",LTHP0066,122279,484474,
"67",Presspage BV,"157680",LTHP0067,125000,479895,
"68",Provarix BV,"157680",LTHP0068,118835,485622,
"69",Rackspace Benelux BV,"157680",LTHP0069,117433,488770,
"70",Realworks BV,"157680",LTHP0070,119868,486415,
"71",SO Wifi BV,"157680",LTHP0071,120537,486511,
"72",Vandebron Energie BV,"157680",LTHP0072,121469,486471,
"73",Yourscene BV,"157680",LTHP0073,119681,486684,
"74",Z24 Media BV,"157680",LTHP0074,124098,486665,
"75",Newest Industry BV,"157680",LTHP0075,78581,390096,
