fid,source_name,available_heat,source_id,geo_coordinate_x,geo_coordinate_y,neighbourhoods_in_range
"1",Equinix AM5,"102930",LTLP0001,124867,478510,GM0437_19
"2",Equinix AM6,"102930",LTLP0002,124049,483346,"GM0437_13,GM0437_4,GM0437_31,GM0437_6,GM0437_17,GM0437_29,GM0437_5"
"3",NLDC,"111690",LTLP0003,114131,478456,"GM0358_66,GM0358_25,GM0358_49"
"4",Dataplace  Graan voor Visch Zuid,"126144",LTLP0004,107061,478277,
"5",Cogent Datacenter Amsterdam,"126144",LTLP0005,109382,488727,
"6",Switch Datacenters   Amsterdam,"143445",LTLP0006,124451,479656,"GM0437_19,GM0437_24"
"7",EuroFiber Nijverheidsweg  Utrecht,"157680",LTLP0007,134214,457034,"GM0344_1_137,GM0344_1_106,GM0344_1_2,GM0344_1_118,GM0344_1_146,GM0344_1_20,GM0344_1_88,GM0344_1_180,GM0344_1_68"
"8",RAM Infotechnology  Utrecht,"157680",LTLP0008,133904,453432,"GM0344_4_49,GM0344_4_22,GM0344_3_111,GM0344_3_27"
"9",Digital Realty Trust NL   H J E  Wenckebachweg,"190530",LTLP0009,123975,483272,"GM0437_13,GM0437_4,GM0437_31,GM0437_6,GM0437_17,GM0437_29,GM0437_5"
"10",Atom86,"220752",LTLP0010,111566,476520,"GM0358_17,GM0358_44,GM0358_68,GM0358_4,GM0358_45,GM0358_65"
"11",Interxion AMS 3,"315360",LTLP0011,112952,477537,GM0358_33
"12",Interxion AMS 6,"315360",LTLP0012,112612,477662,
"13",S W I F T  Society for Worldwide Interbank Financial Telecommunication SCRL,"409968",LTLP0013,96196,461573,
"14",ABN AMRO Datacenter,"409968",LTLP0014,119957,480657,"GM0362_166,GM0362_73,GM0362_35,GM0362_175,GM0362_129,GM0362_84,GM0362_81,GM0362_88,GM0362_93,GM0362_25,GM0362_127,GM0362_12,GM0362_104,GM0362_107,GM0362_17,GM0362_152,GM0362_170,GM0362_54,GM0362_132,GM0362_149,GM0362_31"
"15",ABN AMRO Datacenter,"409968",LTLP0015,119786,478878,"GM0362_36,GM0362_18,GM0362_22,GM0362_164,GM0362_72,GM0362_10,GM0362_183,GM0362_159,GM0362_126,GM0362_124,GM0362_146,GM0362_128,GM0362_105,GM0362_184,GM0362_118,GM0362_38,GM0362_23,GM0362_3,GM0362_57,GM0362_33"
"16",Interoute Communications Ltd,"409968",LTLP0016,111930,477009,
"17",Interxion AMS 7,"409968",LTLP0017,112589,477228,"GM0358_9,GM0358_33,GM0358_24"
"18",Verizon Schiphol,"409968",LTLP0018,115080,481757,
"19",NLDC   Aalsmeer,"409968",LTLP0019,113091,474818,"GM0358_51,GM0358_5,GM0358_32,GM0358_27,GM0358_21,GM0358_57,GM0358_8"
"20",Datapark Nederland  Alblasserdam,"409968",LTLP0020,105217,430196,"GM0482_5,GM0482_6,GM0482_16,GM0482_19,GM0482_21,GM0482_11,GM0482_20,GM0482_24,GM0482_27"
"21",Dataplace Rotterdam,"409968",LTLP0021,106208,428826,"GM0482_19,GM0590_23,GM1978_6,GM0590_32"
"22",Tele2  POP   Alkmaar  Alkmaar,"409968",LTLP0022,112725,514921,
"23",Datacenter NoordHolland,"409968",LTLP0023,113242,515529,
"24",Tele2  POP   Amersfoort  Amersfoort,"409968",LTLP0024,157171,464869,"GM0307_2_147,GM0307_2_112,GM0307_2_162,GM0307_2_42,GM0307_2_136,GM0307_2_87"
"25",Pink Roccade  Amsterdam  Amsterdam,"409968",LTLP0025,125385,479232,
"26",Tele2  Amsterdam 1   Amsterdam  Amsterdam,"409968",LTLP0026,125519,479117,
"27",Vancis  Amsterdam,"409968",LTLP0027,125507,485536,
"28",Viatel  Amsterdam  Amsterdam,"409968",LTLP0028,117749,485543,
"29",Equinix AM4,"409968",LTLP0029,125922,485276,
"30",Globalone,"409968",LTLP0030,117220,488799,
"31",Nikhef Housing,"409968",LTLP0031,125286,485458,
"32",RDC Datacentrum,"409968",LTLP0032,120806,483033,
"33",XS4ALL DC2,"409968",LTLP0033,120901,483275,
