buurtcode,QI_oppervlakteklasse,QI_bouwjaarklasse,aantal_gebouwen,totaal_oppervlakte,gem_epi,buurtnaam
GM0059_0,Small,<1991,3,475.0,1.3509052631578948,cluster_GM0059_0
GM0059_0,Small,1991-2000,1,106.0,1.3,cluster_GM0059_0
GM0059_1,Medium,<1991,1,599.0,2.8,cluster_GM0059_1
GM0059_10,Medium,<1991,26,16178.0,2.1067332179503024,cluster_GM0059_10
GM0059_10,Medium,1991-2000,9,5483.0,0.996512857924494,cluster_GM0059_10
GM0059_10,Medium,>2000,2,2150.0,1.3,cluster_GM0059_10
GM0059_10,Small,<1991,11,1018.0,2.7313850687622785,cluster_GM0059_10
GM0059_10,Large,<1991,2,13719.0,1.66122822363146,cluster_GM0059_10
GM0059_11,Medium,<1991,1,306.0,2.25,cluster_GM0059_11
GM0059_11,Small,<1991,2,310.0,2.8,cluster_GM0059_11
GM0059_12,Medium,<1991,1,265.0,1.6,cluster_GM0059_12
GM0059_13,Medium,<1991,4,1735.0,1.7625936599423633,cluster_GM0059_13
GM0059_13,Small,>2000,1,43.0,1.3,cluster_GM0059_13
GM0059_14,Small,<1991,1,174.0,2.25,cluster_GM0059_14
GM0059_14,Small,>2000,1,140.0,1.3,cluster_GM0059_14
GM0059_15,Medium,<1991,13,3854.0,2.2115464452516864,cluster_GM0059_15
GM0059_15,Small,<1991,1,178.0,2.25,cluster_GM0059_15
GM0059_16,Small,<1991,1,42.0,1.6,cluster_GM0059_16
GM0059_17,Medium,<1991,10,5841.0,2.1914740626605034,cluster_GM0059_17
GM0059_17,Medium,1991-2000,1,906.0,1.3,cluster_GM0059_17
GM0059_17,Small,<1991,8,613.0,2.0112561174551384,cluster_GM0059_17
GM0059_17,Small,>2000,10,684.0,1.3,cluster_GM0059_17
GM0059_18,Medium,<1991,9,4113.0,1.5828178944809144,cluster_GM0059_18
GM0059_18,Small,<1991,11,1176.0,2.28562925170068,cluster_GM0059_18
GM0059_18,Small,1991-2000,3,523.0,1.3000000000000003,cluster_GM0059_18
GM0059_18,Small,>2000,1,57.0,1.3,cluster_GM0059_18
GM0059_19,Medium,<1991,12,5335.0,2.1675257731958766,cluster_GM0059_19
GM0059_19,Small,<1991,7,479.0,1.913465553235908,cluster_GM0059_19
GM0059_19,Small,>2000,3,292.0,1.3,cluster_GM0059_19
GM0059_2,Medium,<1991,4,3084.0,1.5991569390402076,cluster_GM0059_2
GM0059_2,Medium,1991-2000,1,407.0,1.3,cluster_GM0059_2
GM0059_2,Small,<1991,7,746.0,2.337734584450402,cluster_GM0059_2
GM0059_2,Small,1991-2000,1,63.0,1.3,cluster_GM0059_2
GM0059_20,Medium,<1991,6,3829.0,2.316766779838078,cluster_GM0059_20
GM0059_21,Medium,<1991,2,2841.0,1.6,cluster_GM0059_21
GM0059_21,Small,<1991,20,1543.0,1.784854180168503,cluster_GM0059_21
GM0059_21,Small,1991-2000,1,76.0,1.3,cluster_GM0059_21
GM0059_21,Large,<1991,1,2742.0,1.2,cluster_GM0059_21
GM0059_22,Small,<1991,2,190.0,2.174736842105263,cluster_GM0059_22
GM0059_23,Medium,<1991,1,443.0,1.3,cluster_GM0059_23
GM0059_23,Small,<1991,1,42.0,1.6,cluster_GM0059_23
GM0059_23,Large,<1991,1,3059.0,1.3,cluster_GM0059_23
GM0059_24,Small,<1991,11,1077.0,2.151949860724234,cluster_GM0059_24
GM0059_25,Small,>2000,1,96.0,1.3,cluster_GM0059_25
GM0059_26,Medium,<1991,5,1812.0,2.2128973509933774,cluster_GM0059_26
GM0059_26,Medium,>2000,3,1578.0,1.3,cluster_GM0059_26
GM0059_27,Medium,<1991,1,200.0,1.6,cluster_GM0059_27
GM0059_27,Large,1991-2000,1,2723.0,1.16,cluster_GM0059_27
GM0059_28,Medium,<1991,10,5878.0,2.1709424974481113,cluster_GM0059_28
GM0059_28,Medium,>2000,3,2537.0,1.3,cluster_GM0059_28
GM0059_28,Small,<1991,9,1037.0,2.0006268081002894,cluster_GM0059_28
GM0059_28,Small,>2000,1,178.0,1.3,cluster_GM0059_28
GM0059_29,Medium,<1991,6,4433.0,1.888123167155425,cluster_GM0059_29
GM0059_29,Medium,1991-2000,1,326.0,1.3,cluster_GM0059_29
GM0059_29,Medium,>2000,1,725.0,1.3,cluster_GM0059_29
GM0059_29,Small,<1991,3,270.0,2.0533333333333332,cluster_GM0059_29
GM0059_29,Small,1991-2000,1,49.0,1.3,cluster_GM0059_29
GM0059_29,Small,>2000,3,200.0,1.3,cluster_GM0059_29
GM0059_29,Large,1991-2000,1,2012.0,1.3,cluster_GM0059_29
GM0059_3,Medium,<1991,3,3301.0,2.195455922447743,cluster_GM0059_3
GM0059_3,Small,<1991,1,198.0,2.25,cluster_GM0059_3
GM0059_3,Small,1991-2000,1,105.0,1.3,cluster_GM0059_3
GM0059_3,Large,<1991,1,10015.0,1.6,cluster_GM0059_3
GM0059_30,Medium,<1991,3,1138.0,1.5999999999999999,cluster_GM0059_30
GM0059_30,Medium,>2000,1,672.0,1.3,cluster_GM0059_30
GM0059_31,Medium,<1991,3,2872.0,1.5999999999999999,cluster_GM0059_31
GM0059_31,Medium,>2000,1,1181.0,1.3,cluster_GM0059_31
GM0059_31,Small,1991-2000,1,126.0,1.3,cluster_GM0059_31
GM0059_32,Medium,<1991,4,1768.0,2.068014705882353,cluster_GM0059_32
GM0059_33,Medium,<1991,9,5521.0,2.077047636297772,cluster_GM0059_33
GM0059_33,Medium,1991-2000,2,1912.0,1.3,cluster_GM0059_33
GM0059_33,Medium,>2000,6,4751.0,1.0329383287728902,cluster_GM0059_33
GM0059_33,Large,<1991,1,3120.0,2.25,cluster_GM0059_33
GM0059_34,Medium,1991-2000,1,635.0,1.45,cluster_GM0059_34
GM0059_34,Medium,>2000,1,238.0,1.3,cluster_GM0059_34
