fid,neighbourhood_code,neighbourhood_name,adjacent_neighbourhoods,geo_coordinate_x,geo_coordinate_y,municipality_code,municipality_name
"1",GM0059_12,cluster_GM0059_12,"GM0059_11,GM0059_47,GM0059_42,GM0059_46,GM0059_13,GM0059_6,GM0059_25,GM0059_35,GM0059_38,GM0059_37,GM0059_15",206029.014122462,576770.668930705,GMGM0059,Achtkarspelen
"2",GM0059_5,cluster_GM0059_5,"GM0059_1,GM0059_22,GM0059_9,GM0059_40,GM0059_39,GM0059_44,GM0059_31",203480.457729183,583810.803029213,GMGM0059,Achtkarspelen
"3",GM0059_11,cluster_GM0059_11,"GM0737_17,GM0059_47,GM0059_29,GM0059_12,GM0059_46,GM0059_13,GM0059_25,GM0059_33",205229.154785804,575010.134510006,GMGM0059,Achtkarspelen
"4",GM0059_4,cluster_GM0059_4,"GM0059_7,GM0059_41",209632.493749463,584156.910161421,GMGM0059,Achtkarspelen
"5",GM0059_30,cluster_GM0059_30,"GM0059_1,GM1970_77,GM1970_32,GM0059_17,GM0059_32,GM0059_22,GM0059_9,GM0059_36,GM0059_45,GM0059_14,GM0059_40,GM0059_39",201497.873244441,583410.95566662,GMGM0059,Achtkarspelen
"6",GM0059_7,cluster_GM0059_7,"GM1970_31,GM1970_4,GM0059_19,GM0059_41,GM0059_4,GM0059_34,GM0059_23",209630.760867934,584346.844791423,GMGM0059,Achtkarspelen
"7",GM0059_6,cluster_GM0059_6,"GM0059_42,GM0059_12,GM0059_25,GM0059_2,GM0059_8,GM0059_33,GM0059_0,GM0059_38,GM0059_37,GM0059_16,GM0059_15",207151.135449048,577497.783859476,GMGM0059,Achtkarspelen
"8",GM0059_1,cluster_GM0059_1,"GM1970_77,GM1970_32,GM0059_17,GM0059_30,GM0059_22,GM0059_5,GM0059_44",202046.429306041,584984.676562556,GMGM0059,Achtkarspelen
"9",GM0059_0,cluster_GM0059_0,"GM0059_20,GM0059_6,GM0059_8,GM0059_19,GM0059_43,GM0059_38,GM0059_37,GM0059_16",207014.805161,578435.134339694,GMGM0059,Achtkarspelen
"10",GM0059_3,cluster_GM0059_3,"GM0059_27,GM0059_21,GM0059_10,GM0059_34,GM0059_23",206250.882492967,584940.448358606,GMGM0059,Achtkarspelen
