fid,source_name,available_heat,source_id,geo_coordinate_x,geo_coordinate_y,neighbourhoods_in_range
1,Equinix AM5,102930,LTLP0001,124867,478510,BU04370008
2,Equinix AM6,102930,LTLP0002,124049,483346,BU04370001
3,NLDC,111690.0001,LTLP0003,114131,478456,"BU03580206,BU03580200"
4,Dataplace  Graan voor Visch Zuid,126144,LTLP0004,107061,478277,
5,Cogent Datacenter Amsterdam,126144,LTLP0005,109382,488727,
6,Switch Datacenters   Amsterdam,143445,LTLP0006,124451,479656,BU04370008
7,EuroFiber Nijverheidsweg  Utrecht,157680,LTLP0007,134214,457034,"BU03440224,BU03440231,BU03440132,BU03440131"
8,RAM Infotechnology  Utrecht,157680,LTLP0008,133904,453432,"BU03441041,BU03440953"
9,Digital Realty Trust NL   H J E  Wenckebachweg,190530.0001,LTLP0009,123975,483272,"BU04370002,BU04370001"
10,Atom86,220752,LTLP0010,111566,476520,"BU03580000,BU03580200"
11,Interxion AMS 3,315360,LTLP0011,112952,477537,BU03580200
12,Interxion AMS 6,315360,LTLP0012,112612,477662,
13,S W I F T  Society for Worldwide Interbank Financial Telecommunication SCRL,409968,LTLP0013,96196,461573,
14,ABN AMRO Datacenter,409968,LTLP0014,119957,480657,"BU03620602,BU03620304,BU03620303,BU03620603,BU03620601,BU03620102,BU03620502"
15,ABN AMRO Datacenter,409968,LTLP0015,119786,478878,"BU03620903,BU03620803,BU03620401,BU03620805,BU03620902,BU03620901,BU03620604"
16,Interoute Communications Ltd,409968,LTLP0016,111930,477009,
17,Interxion AMS 7,409968,LTLP0017,112589,477228,BU03580200
18,Verizon Schiphol,409968,LTLP0018,115080,481757,
19,NLDC   Aalsmeer,409968,LTLP0019,113091,474818,"BU03580001,BU03580004"
20,Datapark Nederland  Alblasserdam,409968,LTLP0020,105217,430196,"BU04820502,BU04820503,BU04820501,BU04820105,BU04820102,BU04820103,BU04820104"
21,Dataplace Rotterdam,409968,LTLP0021,106208,428826,"BU19781604,BU05900001,BU05900002,BU04820502,BU04820503,BU04820604,BU04820501"
22,Tele2  POP   Alkmaar  Alkmaar,409968,LTLP0022,112725,514921,
