fid,source_name,available_heat,source_id,geo_coordinate_x,geo_coordinate_y,neighbourhoods_in_range
1,DRSH Zuiveringsslib N V,105866.352,HTLP0001,110420,425520,"BU19782001,BU06100307,BU05230003,BU05230002,BU05059800,BU19780202,BU19782002,BU19782003,BU06100401,BU06100406,BU06100402,BU06100403,BU06100306,BU06100305,BU06100404,BU06100405,BU06100303,BU06100304,BU06100302,BU06100301,BU06100210,BU06100211,BU06100208,BU06100207,BU06100202,BU06100201,BU06100206,BU06100209,BU05059801,BU06100205,BU06100204,BU06100203,BU19780201,BU19780205,BU19781602,BU19781603,BU19781601,BU19781604,BU19781605,BU06100109,BU06100108,BU06100107,BU06100106,BU06100101,BU06100104,BU06100105,BU06100103,BU19782004,BU05900006,BU05050608,BU05051105,BU05050605,BU05050606,BU05900007,BU05900008,BU06100102,BU05051103,BU05050604,BU05051101,BU05051102,BU06420105,BU05900004,BU05900003,BU05900005,BU05900001,BU05310502,BU05900002,BU06420106,BU04820502,BU04820503,BU04820604,BU04820501,BU06420109,BU06420107,BU05051012,BU05051106,BU05051011,BU05051107,BU05051108,BU05051109,BU05051110,BU05051111,BU05051112,BU05051002,BU05051003,BU05051004,BU05050508,BU05050510,BU05050507,BU05050509,BU05051010,BU05051007,BU05051006,BU05051013,BU05051000,BU05051001,BU05051005,BU05050905,BU05050603,BU05050607,BU05050602,BU05050505,BU05050500,BU05050504,BU05050600,BU05051100,BU05050601,BU05051104,BU05050205,BU05050501,BU05050206,BU05050204,BU05050503,BU05050502,BU05050203,BU05050202,BU05050103,BU05050200,BU05050201,BU05050108,BU05050109,BU05050112,BU05050114,BU05050113,BU05050405,BU06420102,BU05050106,BU05050101,BU05050107,BU05050102,BU05050100,BU06420103,BU06420104,BU06420101,BU05050302,BU05050111,BU05050110,BU05051008,BU05051009,BU05050901,BU05059805,BU05050908,BU05050904,BU05050400,BU05050401,BU05050402,BU05050406,BU05050403,BU05050404,BU05050506,BU05050801,BU05050800,BU05050802,BU05050900,BU05050307,BU05050304,BU05050305,BU05050306,BU05059804"
2,HVC Afvalcentrale Dordrecht,617884.848,HTLP0002,110212,425400,"BU19782001,BU06100307,BU05230003,BU05230002,BU19780403,BU05230001,BU05059800,BU19780404,BU19780401,BU19780406,BU19780202,BU19781104,BU19781105,BU19780204,BU19780206,BU19780409,BU05230000,BU19780410,BU19782002,BU19782003,BU06100401,BU06100406,BU06100402,BU06100403,BU06100306,BU06100305,BU06100404,BU06100405,BU06100303,BU06100304,BU06100302,BU06100301,BU06100210,BU06100211,BU06100208,BU06100207,BU06100202,BU06100201,BU06100206,BU06100209,BU05059801,BU06100205,BU06100204,BU06100203,BU19780408,BU19781507,BU19780307,BU19780305,BU19780309,BU19780301,BU19780302,BU19781101,BU19780303,BU19781102,BU19780304,BU19781106,BU19781801,BU19781802,BU19780201,BU19780203,BU19780205,BU19781803,BU19310005,BU19781207,BU19781204,BU19310002,BU19310006,BU19310007,BU19310004,BU19310010,BU19310008,BU19310001,BU19310009,BU19780901,BU19780904,BU04820601,BU19781202,BU04820302,BU04820303,BU04820304,BU04820401,BU19781201,BU04820602,BU19781203,BU19781205,BU19781206,BU19781602,BU19781603,BU19781601,BU19781604,BU19781605,BU04820206,BU04820205,BU04820202,BU04820201,BU05970800,BU05971000,BU06100109,BU06100108,BU06100107,BU06100106,BU06100101,BU06100104,BU06100105,BU06100103,BU19782004,BU05900006,BU05050608,BU05051105,BU05050605,BU05050606,BU05900007,BU05900008,BU06100102,BU05051103,BU05050604,BU05051101,BU05051102,BU06420105,BU05900004,BU05900003,BU05900005,BU05900001,BU05310502,BU05900002,BU06420106,BU04820404,BU04820402,BU04820305,BU04820306,BU04820502,BU04820503,BU04820604,BU04820501,BU04820101,BU04820105,BU04820102,BU04820103,BU04820104,BU04820403,BU04820603,BU04820307,BU04820203,BU04820301,BU06420111,BU06420109,BU06420108,BU06420107,BU06420112,BU06420113,BU06420115,BU06420312,BU05310301,BU05310302,BU05310103,BU05310102,BU05970900,BU05310501,BU04820204,BU06420114,BU05310201,BU05051012,BU05051106,BU05051011,BU05051107,BU05051108,BU05051109,BU05051110,BU05051111,BU05051112,BU05051002,BU05051003,BU05051004,BU05050508,BU05050510,BU05050507,BU05050509,BU05051010,BU05051007,BU05051006,BU05051013,BU05051000,BU05051001,BU05051005,BU05050905,BU05050603,BU05050607,BU05050602,BU05050505,BU05050500,BU05050504,BU05050600,BU05051100,BU05050601,BU05051104,BU05050205,BU05050501,BU05050206,BU05050204,BU05050503,BU05050502,BU05050203,BU05050202,BU05050103,BU05050200,BU05050201,BU05050108,BU05050109,BU06420307,BU06420308,BU06420310,BU06420309,BU06420311,BU06420404,BU06420406,BU06420409,BU06420410,BU06420706,BU06420707,BU05310400,BU05310204,BU05310203,BU05310101,BU05310202,BU05970500,BU05970400,BU05050112,BU05050114,BU05050113,BU05050405,BU06420102,BU05050106,BU05050101,BU05050107,BU05050102,BU05050100,BU06420103,BU06420110,BU06420104,BU06420208,BU06420203,BU06420209,BU05050104,BU06420101,BU06420202,BU06420201,BU05051901,BU05051902,BU05051900,BU05050105,BU05050302,BU05050111,BU05050110,BU05051903,BU06420505,BU06420205,BU06420303,BU06420204,BU06420206,BU06420313,BU06420207,BU05051008,BU05051009,BU05050901,BU05059805,BU05050908,BU05050907,BU05050904,BU05050400,BU05050401,BU05050402,BU05050406,BU05050403,BU05050404,BU05050506,BU05050700,BU05050703,BU05050701,BU05050801,BU05050800,BU05050802,BU05050900,BU05050307,BU05050304,BU05050300,BU05050303,BU05050305,BU05050301,BU05050306,BU05050705,BU05050706,BU05050704,BU05050910,BU05051914,BU05050707,BU05050906,BU05050909,BU05050903,BU05050902,BU05051910,BU05051911,BU05051912,BU05051913,BU05051915,BU05051916,BU05051917,BU05051918,BU05051919,BU05059804,BU19630699,BU05051909,BU05051907,BU05051905,BU05051906,BU05050702,BU06420609,BU06420408,BU06420608,BU06420407,BU06420607,BU06420405,BU06420610,BU06420606,BU06420605,BU06420604,BU06420403,BU06420402,BU06420603,BU06420602,BU06420708,BU06420601,BU06420401,BU06420501,BU06420304,BU06420305,BU06420306,BU19630650,BU19630600,BU06420701,BU06420508,BU06420507,BU06420509,BU06420506,BU06420702,BU05051904,BU06420502,BU06420511,BU06420301,BU06420503,BU06420510,BU06420302,BU06420504,BU06420514,BU06420515,BU06420513,BU06420512,BU19630499,BU06420705,BU06420703"
3,HVC Alkmaar,1135296,HTLP0003,112698,513765,"BU03830501,BU03830511,BU03830601,BU04500005,BU04500006,BU03830711,BU03830721,BU03830411,BU03830421,BU03830111,BU03830101,BU03830211,BU03830401,BU03830701,BU03830431,BU03830311,BU03830301,BU03830011,BU03830001,BU03830221,BU03830201,BU04500001,BU04500004"
4,Afval Energie Bedrijf Amsterdam,1419120,HTLP0004,114552,490378,"BU03620101,BU03620102,BU03620201,BU03621401,BU03621402"
5,AVR Rozenburg,2852998.848,HTLP0005,78545,434865,"BU05990327,BU05992194,BU19631299,BU19305003,BU19301301,BU19301206,BU19305001,BU19301411,BU19305002,BU19301707,BU19301504,BU19631300,BU19303103,BU19303104,BU19303101,BU19303102,BU19303105,BU19303301,BU19303302,BU05992307,BU17830420,BU05560502,BU05992705,BU05560602,BU05991703,BU17830301,BU17830306,BU17830352,BU17830351,BU05010003,BU06140109,BU05010002,BU05010005,BU05010009,BU05010006,BU05010000,BU05010004,BU05010001,BU05010100,BU05010109,BU05010300,BU05010209,BU19302901,BU19302504,BU05300901,BU06140103,BU06130205,BU06130102,BU06130101,BU06130104,BU06130207,BU19301708,BU06130312,BU06130310,BU06130311,BU06130309,BU06130313,BU06130706,BU05992196,BU05991593,BU05991391,BU05991692,BU05991699,BU19301001,BU19301002,BU19301003,BU05992295,BU19300905,BU06130308,BU19301701,BU19300904,BU19300603,BU19300903,BU19300901,BU19301505,BU19301501,BU19300702,BU19300701,BU19300602,BU19300601,BU19300703,BU19301401,BU19300102,BU19300106,BU19300105,BU19300902,BU19301004,BU17830702,BU17830154,BU17830701,BU18420004,BU18420009,BU18420103,BU17830712,BU17830714,BU17830713,BU17830711,BU17830710,BU17830703,BU17830157,BU06060906,BU06060905,BU06060803,BU05990452,BU05992459,BU06060908,BU18420002,BU05032205,BU05032204,BU05032600,BU18420000,BU06060902,BU06060901,BU06060903,BU06060904,BU06060907,BU06060909,BU06220701,BU06220706,BU06220707,BU18420005,BU06060707,BU06060602,BU06060301,BU06060608,BU06060203,BU06060701,BU06060802,BU06220404,BU06060309,BU06060706,BU06060704,BU06060705,BU06220704,BU06220705,BU06060202,BU06060000,BU06060102,BU06060101,BU06060604,BU06060605,BU06060606,BU06060201,BU06060603,BU06060302,BU06060607,BU06060303,BU06060304,BU06060305,BU06220501,BU06220505,BU06220504,BU06060702,BU06220605,BU06220503,BU06220602,BU06060703,BU06220604,BU06220606,BU06060103,BU06060104,BU06060107,BU06060106,BU06060105,BU05991853,BU05991926,BU06060500,BU06060801,BU06060405,BU06060307,BU06060306,BU06060308,BU06060403,BU06060402,BU06060404,BU06060401,BU06220403,BU06220402,BU05010200,BU05010202,BU05010201,BU06220303,BU05992306,BU06220301,BU06220302,BU06220601,BU06220502,BU06220401,BU06220603,BU06220702,BU06220703,BU06220708,BU06220801,BU06220304,BU06220305,BU06220306,BU06220307,BU06220201,BU06220204,BU06220202,BU06220203,BU06220101,BU06220104,BU06220102,BU06220103,BU05560202,BU05560402,BU05560403,BU05560203,BU05560801,BU18420100,BU18420101,BU18420106,BU18420108,BU18420109,BU05560302,BU05560301,BU05560702,BU05560701,BU06220205,BU05992704,BU05560405,BU05560101,BU05560303,BU05560401,BU05560201,BU05560601,BU05560501,BU05560404,BU19302701,BU19302502,BU19302501,BU19302503,BU19302702,BU19300401,BU19300301,BU19300302,BU19301408,BU19301409,BU19301410,BU19301503,BU19301502,BU19301506,BU19301403,BU19301404,BU19301405,BU19301402,BU19301406,BU19301407,BU19301102,BU19301101,BU19301204,BU19301203,BU19301205,BU19301202,BU19301201,BU19300504,BU19300503,BU19300501,BU19300502,BU19300104,BU19300101,BU19300103,BU19300805,BU19300804,BU19300803,BU19300802,BU19300801,BU19301702,BU19301705,BU19301706,BU19301601,BU19301704,BU19300201,BU19301703,BU19300202,BU19302703,BU05300200,BU05300601,BU05300505,BU05300201,BU05300503,BU05300600,BU05300800,BU05301002,BU05301003,BU05301001,BU19302902"
6,FrieslandCampina Leeuwarden,530750.88,HTLP0006,183850,579150,"BU07370102,BU18910202,BU07370108,BU07370100,BU18910309,BU19701009,BU19701008,BU19700909,BU07370300,BU07370309,BU07370201,BU07370209,BU07370208,BU07370101,BU07370109,BU07370200,BU07370009,BU18910209,BU07370508,BU07370401,BU07370409,BU07370408,BU07370400,BU07370509,BU07370501,BU07370900,BU07370909"
7,Duurzame energie installatie 1,66225.6,HTLP0007,170869,449824,"BU03450404,BU03450405,BU03450103,BU03450100,BU03450102,BU03450105,BU03450104,BU03450101"
8,Duurzame energie installatie 1 Dwarsweg,85147.2,HTLP0008,170911,449823,"BU03450506,BU03390009,BU03450402,BU03450403,BU03450404,BU03450405,BU03450103,BU03450100,BU03450102,BU03450003,BU03450401,BU03450505,BU03400601,BU03450205,BU03450207,BU03450105,BU03450206,BU03450200,BU03450104,BU03450101,BU03450002,BU03450000,BU03450001"
9,Duurzame energie installatie 2,85147.2,HTLP0009,174257,447964,
10,Duurzame energie installatie 3,85147.2,HTLP0010,174151,451668,
