fid,neighbourhood_code,neighbourhood_name,adjacent_neighbourhoods,geo_coordinate_x,geo_coordinate_y,municipality_code,municipality_name
"1",BU00590000,Buitenpost,BU00590005,205560.963682622,585275.585195409,GMGM0059,Achtkarspelen
"2",BU00590001,Twijzel,"BU00590007,BU00590006,BU00590005",202569.472870371,583688.496287581,GMGM0059,Achtkarspelen
"3",BU00590002,Kootstertille,"BU00590007,BU00590108",202340.103983488,580923.917879215,GMGM0059,Achtkarspelen
"4",BU00590003,Twijzelerheide,"BU19701409,BU18910200,BU19701401,BU00590008",199044.757540153,583960.921900038,GMGM0059,Achtkarspelen
"5",BU00590004,Gerkesklooster,"BU00590009,BU00590100,BU00590107",209540.134784063,584133.614349701,GMGM0059,Achtkarspelen
"6",BU00590005,Verspreide huizen Buitenpost,"BU19701206,BU19701109,BU19701204,BU19701400,BU19701402,BU00590009,BU00590007,BU00590006,BU00590001,BU00590109,BU00590000",206549.899292749,585051.047623695,GMGM0059,Achtkarspelen
"7",BU00590006,Verspreide huizen Twijzel,"BU19701409,BU19701400,BU00590007,BU00590008,BU00590001,BU00590005",202511.423707766,583807.783917671,GMGM0059,Achtkarspelen
"8",BU00590007,Verspreide huizen Kootstertille,"BU07370709,BU00590006,BU00590008,BU00590001,BU00590109,BU00590005,BU00590108,BU00590002,BU07370708",202142.300652063,581969.686212368,GMGM0059,Achtkarspelen
"9",BU00590008,Verspreide huizen Twijzelerheide,"BU18910208,BU19701409,BU18910200,BU19701400,BU07370709,BU00590007,BU00590006,BU00590003,BU07370809",199300.632574405,583504.908422306,GMGM0059,Achtkarspelen
"10",BU00590009,Verspreide huizen Gerkesklooster,"BU19701206,BU00590004,BU00590100,BU00590109,BU00590107,BU00590005",209750.278983816,584902.864861761,GMGM0059,Achtkarspelen
"11",BU00590100,Stroobos,"BU00590009,BU00590004,BU00590107",210218.321209655,583825.852365943,GMGM0059,Achtkarspelen
"12",BU00590102,Drogeham,BU00590108,203606.108202425,579726.453774421,GMGM0059,Achtkarspelen
"13",BU00590103,Augustinusga,BU00590109,206594.054887401,581374.848524006,GMGM0059,Achtkarspelen
"14",BU00590107,Verspreide huizen Stroobos,"BU00590009,BU00590004,BU00590100,BU00590109,BU00590208",209351.758228616,583058.999949868,GMGM0059,Achtkarspelen
"15",BU00590108,Verspreide huizen Drogeham,"BU00590007,BU00590109,BU00590102,BU00590002,BU00590207,BU00590201,BU07370708",203716.171925026,580027.625714449,GMGM0059,Achtkarspelen
"16",BU00590109,Verspreide huizen Augustinusga,"BU00590009,BU00590007,BU00590202,BU00590103,BU00590107,BU00590005,BU00590208,BU00590108,BU00590207",206805.448298274,581746.378518962,GMGM0059,Achtkarspelen
"17",BU00590200,Surhuisterveen,"BU00590208,BU00590206",207168.998961056,577308.784190727,GMGM0059,Achtkarspelen
"18",BU00590201,Harkema,"BU00590208,BU00590108,BU00590207",204772.470702889,577899.226414025,GMGM0059,Achtkarspelen
"19",BU00590202,Surhuizum,"BU00590109,BU00590208",207856.868562072,580109.424201921,GMGM0059,Achtkarspelen
"20",BU00590203,Boelenslaan,BU00590209,205626.608119464,575196.509839554,GMGM0059,Achtkarspelen
"21",BU00590206,Verspreide huizen Surhuisterveen,"BU00590208,BU00590207,BU00590209,BU00590200",206306.322317475,576210.23824508,GMGM0059,Achtkarspelen
"22",BU00590207,Verspreide huizen Harkema,"BU00590109,BU00590208,BU00590108,BU00590201,BU00590209,BU00590206,BU07370708",204550.145399181,577969.811504854,GMGM0059,Achtkarspelen
"23",BU00590208,Verspreide huizen Surhuizum,"BU00590202,BU00590109,BU00590107,BU00590207,BU00590201,BU00590206,BU00590200",208695.851932699,580264.712692127,GMGM0059,Achtkarspelen
"24",BU00590209,Verspreide huizen Boelenslaan,"BU00590207,BU00590203,BU00590206,BU07370708",204881.547704671,575005.325253361,GMGM0059,Achtkarspelen
"25",BU00600000,Nes,BU00600008,180586.549341977,606600.533364568,GMGM0060,Ameland
"26",BU00600001,Buren,"BU00600008,BU00609998",186350.014587337,607853.57773907,GMGM0060,Ameland
"27",BU00600002,Ballum,BU00600007,175112.825753914,606464.776580138,GMGM0060,Ameland
"28",BU00600003,Hollum,BU00600009,171891.716741204,605997.900715893,GMGM0060,Ameland
"29",BU00600007,Verspreide huizen Ballum,"BU00600009,BU00600002,BU00600008,BU00609998",175287.258746708,606877.544614137,GMGM0060,Ameland
"30",BU00600008,Verspreide huizen Nes,"BU00600007,BU00600000,BU00600001,BU00609998",179731.658969007,607261.279907236,GMGM0060,Ameland
"31",BU00600009,Verspreide huizen Hollum,"BU00600003,BU00600007,BU00609998",171981.276230918,606821.510846443,GMGM0060,Ameland
"32",BU00880000,Schiermonnikoog,BU00880009,206422.689898488,610695.187654481,GMGM0088,Schiermonnikoog
"33",BU00880009,Verspreide huizen Schiermonnikoog,"BU00880000,BU00889998,BU19700508,BU19709998",210915.908870349,612123.841875658,GMGM0088,Schiermonnikoog
"34",BU02790000,Scherpenzeel,"BU03510011,BU02790008,BU02790009,BU03390009",161669.612980469,454744.160047,GMGM0279,Scherpenzeel
"35",BU02790008,Verspreide huizen ten zuiden van Scherpenzeel,"BU03510011,BU02790000,BU03390009,BU03510012",161529.097613547,454097.811101775,GMGM0279,Scherpenzeel
"36",BU02790009,Verspreide huizen ten noorden van Scherpenzeel,"BU03510011,BU02790000,BU03390009",163230.829027736,456158.837567815,GMGM0279,Scherpenzeel
"37",BU03070100,Hof,"BU03070103,BU03070102,BU03070101,BU03070104,BU03070105,BU03070107",155162.505136913,463220.82957819,GMGM0307,Amersfoort
"38",BU03070101,Nieuwstraat,"BU03070103,BU03070102,BU03070106,BU03070100,BU03070104,BU03070105",155311.64900027,463063.28227586,GMGM0307,Amersfoort
"39",BU03070102,Mooierstraat,"BU03070103,BU03070106,BU03070100,BU03070101,BU03070105,BU03070107",155169.033485417,462912.723021534,GMGM0307,Amersfoort
"40",BU03070103,Lieve Vrouwekerkhof,"BU03070102,BU03070106,BU03070100,BU03070101,BU03070104,BU03070107",155004.512807314,463095.520631676,GMGM0307,Amersfoort
"41",BU03070104,Coninckstraat,"BU03070103,BU03070100,BU03070101,BU03070108,BU03070701,BU03070702,BU03070105,BU03070107",155306.934545433,463425.310969038,GMGM0307,Amersfoort
"42",BU03070105,Beestenmarkt,"BU03070102,BU03070106,BU03070100,BU03070101,BU03071500,BU03070104,BU03070701,BU03070702,BU03071400",155537.824287917,463114.726495988,GMGM0307,Amersfoort
"43",BU03070106,Grote Haag,"BU03070103,BU03070102,BU03070101,BU03071500,BU03070105,BU03070204,BU03070202,BU03070107",155087.010769016,462793.353450832,GMGM0307,Amersfoort
"44",BU03070107,Stadhuisplein,"BU03070103,BU03070102,BU03070106,BU03070100,BU03070108,BU03070104,BU03070202,BU03070200,BU03070401,BU03070603,BU03070307",154832.759959391,463146.423386281,GMGM0307,Amersfoort
"45",BU03070108,Schimmelpenninckstraat,"BU03070601,BU03070104,BU03070700,BU03070701,BU03070107,BU03070401,BU03070603",155001.045193599,463570.565674941,GMGM0307,Amersfoort
"46",BU03070200,Smallepad,"BU03070206,BU03070202,BU03070107,BU03070401,BU03070307,BU03071801,BU03070503",154531.123561986,463000.186566229,GMGM0307,Amersfoort
"47",BU03070202,Snouckaertlaan,"BU03070106,BU03070205,BU03070204,BU03070206,BU03070200,BU03070107",154643.968649264,462851.94116967,GMGM0307,Amersfoort
"48",BU03070204,Zonnehof,"BU03070106,BU03071500,BU03071502,BU03070205,BU03070206,BU03070202",154797.814804104,462648.003104935,GMGM0307,Amersfoort
"49",BU03070205,Weltevreden,"BU03071500,BU03071502,BU03071600,BU03070204,BU03070206,BU03070202,BU03071700,BU03071801",154696.337242515,462482.328757122,GMGM0307,Amersfoort
"50",BU03070206,Bloemweg,"BU03070205,BU03070204,BU03070202,BU03070200,BU03071700,BU03071801",154489.616191433,462685.837790428,GMGM0307,Amersfoort
