buurtcode,QI_oppervlakteklasse,QI_bouwjaarklasse,aantal_gebouwen,totaal_oppervlakte,gem_epi,buurtnaam
BU00590000,Small,>2000,3,424.0,1.3,Buitenpost
BU00590000,Small,<1991,38,3625.0,2.151718620689655,Buitenpost
BU00590000,Small,1991-2000,4,628.0,1.3,Buitenpost
BU00590000,Medium,>2000,2,1739.0,1.2999999999999998,Buitenpost
BU00590000,Medium,<1991,43,28861.0,1.9451010013513041,Buitenpost
BU00590000,Medium,1991-2000,10,6118.0,1.0435812356979406,Buitenpost
BU00590000,Large,<1991,5,29535.0,1.5602332825461316,Buitenpost
BU00590000,Large,1991-2000,1,2723.0,1.16,Buitenpost
BU00590001,Small,<1991,5,606.0,2.278630363036304,Twijzel
BU00590001,Medium,>2000,1,672.0,1.3,Twijzel
BU00590001,Medium,<1991,9,3441.0,1.9415286253995931,Twijzel
BU00590001,Large,<1991,1,3212.0,2.25,Twijzel
BU00590002,Small,>2000,1,64.0,1.3,Kootstertille
BU00590002,Small,<1991,13,1569.0,2.180943275971957,Kootstertille
BU00590002,Small,1991-2000,3,301.0,1.3,Kootstertille
BU00590002,Medium,>2000,1,1510.0,1.3,Kootstertille
BU00590002,Medium,<1991,12,6587.0,1.9645210262638533,Kootstertille
BU00590002,Medium,1991-2000,1,223.0,1.3,Kootstertille
BU00590003,Small,>2000,2,172.0,1.3,Twijzelerheide
BU00590003,Small,<1991,7,573.0,2.0399650959860383,Twijzelerheide
BU00590003,Medium,<1991,9,4916.0,2.302766476810415,Twijzelerheide
BU00590003,Medium,1991-2000,1,906.0,1.3,Twijzelerheide
BU00590004,Small,>2000,1,98.0,1.3,Gerkesklooster
BU00590004,Small,<1991,1,184.0,2.8,Gerkesklooster
BU00590004,Small,1991-2000,1,23.0,1.3,Gerkesklooster
BU00590004,Medium,>2000,2,1227.0,1.3,Gerkesklooster
BU00590004,Medium,<1991,5,3133.0,2.1562240663900414,Gerkesklooster
BU00590005,Small,>2000,7,675.0,1.3,Verspreide huizen Buitenpost
BU00590005,Small,<1991,6,352.0,2.6568181818181817,Verspreide huizen Buitenpost
BU00590005,Small,1991-2000,2,202.0,1.3,Verspreide huizen Buitenpost
BU00590005,Medium,>2000,2,1830.0,1.3,Verspreide huizen Buitenpost
BU00590005,Medium,<1991,2,1087.0,1.6,Verspreide huizen Buitenpost
BU00590007,Small,>2000,2,185.0,1.3,Verspreide huizen Kootstertille
BU00590007,Small,<1991,1,174.0,2.25,Verspreide huizen Kootstertille
BU00590007,Medium,<1991,1,471.0,2.25,Verspreide huizen Kootstertille
BU00590008,Small,>2000,8,512.0,1.3,Verspreide huizen Twijzelerheide
BU00590008,Small,<1991,1,40.0,1.6,Verspreide huizen Twijzelerheide
BU00590008,Medium,<1991,2,1524.0,2.0716535433070864,Verspreide huizen Twijzelerheide
BU00590100,Small,>2000,2,96.0,1.3,Stroobos
BU00590100,Small,<1991,3,429.0,2.25,Stroobos
BU00590100,Small,1991-2000,1,49.0,1.3,Stroobos
BU00590100,Medium,>2000,1,582.0,1.3,Stroobos
BU00590100,Medium,<1991,3,1865.0,1.9781501340482575,Stroobos
BU00590100,Large,<1991,1,3593.0,1.6,Stroobos
BU00590102,Small,>2000,1,178.0,1.3,Drogeham
BU00590102,Small,<1991,9,1037.0,2.0006268081002894,Drogeham
BU00590102,Medium,>2000,2,1881.0,1.3,Drogeham
BU00590102,Medium,<1991,10,5878.0,2.1709424974481113,Drogeham
BU00590103,Small,>2000,1,50.0,1.3,Augustinusga
BU00590103,Small,<1991,7,479.0,1.913465553235908,Augustinusga
BU00590103,Medium,<1991,5,2067.0,2.1346879535558783,Augustinusga
BU00590108,Small,<1991,1,136.0,2.25,Verspreide huizen Drogeham
BU00590108,Medium,>2000,2,871.0,1.3000000000000003,Verspreide huizen Drogeham
BU00590109,Small,>2000,1,102.0,1.3,Verspreide huizen Augustinusga
BU00590109,Medium,<1991,1,515.0,2.8,Verspreide huizen Augustinusga
BU00590200,Small,>2000,21,2844.0,1.3,Surhuisterveen
BU00590200,Small,<1991,45,4784.0,2.131132943143813,Surhuisterveen
BU00590200,Small,1991-2000,6,540.0,1.2999999999999998,Surhuisterveen
BU00590200,Medium,>2000,16,6950.0,1.135948201438849,Surhuisterveen
BU00590200,Medium,<1991,67,39931.0,1.9053164208259248,Surhuisterveen
BU00590200,Medium,1991-2000,14,6567.0,1.2429511192325262,Surhuisterveen
BU00590200,Large,>2000,1,2024.0,1.3,Surhuisterveen
BU00590200,Large,<1991,6,19758.0,2.002321085130074,Surhuisterveen
BU00590200,Large,1991-2000,1,2180.0,1.3,Surhuisterveen
BU00590201,Small,>2000,5,487.0,1.3,Harkema
BU00590201,Small,<1991,17,1519.0,2.1125740618828175,Harkema
BU00590201,Small,1991-2000,2,122.0,1.4795081967213115,Harkema
BU00590201,Medium,>2000,7,3488.0,1.2722362385321102,Harkema
BU00590201,Medium,<1991,17,11076.0,2.051107800650054,Harkema
BU00590201,Medium,1991-2000,1,326.0,1.3,Harkema
BU00590201,Large,1991-2000,1,2012.0,1.3,Harkema
BU00590202,Small,>2000,1,140.0,1.3,Surhuizum
BU00590202,Medium,<1991,6,2753.0,2.073864874682165,Surhuizum
BU00590203,Small,<1991,2,310.0,2.8,Boelenslaan
BU00590203,Medium,<1991,4,1607.0,1.7237710018668329,Boelenslaan
BU00590206,Small,>2000,2,270.0,1.3,Verspreide huizen Surhuisterveen
BU00590206,Medium,>2000,4,2593.0,1.156999614346317,Verspreide huizen Surhuisterveen
BU00590207,Small,>2000,2,204.0,1.3000000000000003,Verspreide huizen Harkema
BU00590207,Medium,>2000,1,725.0,1.3,Verspreide huizen Harkema
BU00590208,Small,<1991,2,177.0,2.6197740112994348,Verspreide huizen Surhuizum
BU00590209,Small,>2000,1,43.0,1.3,Verspreide huizen Boelenslaan
BU00590209,Medium,<1991,2,643.0,2.25,Verspreide huizen Boelenslaan
BU00600000,Small,>2000,28,3298.0,1.2770042449969676,Nes
BU00600000,Small,<1991,49,4874.0,2.120428805908904,Nes
BU00600000,Small,1991-2000,25,1629.0,1.3000000000000003,Nes
BU00600000,Medium,>2000,5,2351.0,1.078285835814547,Nes
BU00600000,Medium,<1991,32,15038.0,2.0911331294055064,Nes
BU00600000,Medium,1991-2000,1,1400.0,1.3,Nes
BU00600000,Large,<1991,1,2397.0,1.6,Nes
BU00600001,Small,>2000,74,9806.0,1.3059035284519678,Buren
BU00600001,Small,<1991,270,23233.0,2.0252851547367965,Buren
BU00600001,Small,1991-2000,175,14917.0,1.3018730307702602,Buren
BU00600001,Medium,>2000,43,13729.0,1.2629892927379998,Buren
BU00600001,Medium,<1991,31,13766.0,2.072002033996804,Buren
BU00600001,Medium,1991-2000,3,874.0,1.3,Buren
BU00600001,Large,<1991,1,4254.0,1.6,Buren
BU00600002,Small,>2000,9,933.0,1.2999999999999998,Ballum
BU00600002,Small,<1991,23,2342.0,2.374359521776259,Ballum
BU00600002,Small,1991-2000,2,233.0,1.2999999999999998,Ballum
BU00600002,Medium,>2000,1,725.0,1.3,Ballum
BU00600002,Medium,<1991,8,4608.0,2.1422743055555555,Ballum
BU00600002,Large,<1991,1,2200.0,2.25,Ballum
BU00600003,Small,>2000,5,441.0,1.2529478458049887,Hollum
BU00600003,Small,<1991,95,7244.0,2.2449723909442296,Hollum
BU00600003,Small,1991-2000,11,637.0,1.2999999999999998,Hollum
BU00600003,Medium,<1991,25,15503.0,2.164548797007031,Hollum
BU00600003,Medium,1991-2000,1,394.0,1.3,Hollum
BU00600003,Large,1991-2000,1,2060.0,1.28,Hollum
BU00600007,Small,>2000,23,2657.0,1.3,Verspreide huizen Ballum
BU00600007,Small,<1991,217,15548.0,2.1256759711860047,Verspreide huizen Ballum
BU00600007,Small,1991-2000,11,1000.0,1.284,Verspreide huizen Ballum
BU00600007,Medium,>2000,4,1515.0,1.3,Verspreide huizen Ballum
BU00600007,Medium,<1991,11,9840.0,1.9528506097560976,Verspreide huizen Ballum
BU00600008,Small,>2000,17,2421.0,1.3000000000000003,Verspreide huizen Nes
BU00600008,Small,<1991,77,5903.0,2.2501863459258007,Verspreide huizen Nes
BU00600008,Small,1991-2000,184,11774.0,1.4521182266009847,Verspreide huizen Nes
BU00600008,Medium,>2000,5,1448.0,1.3,Verspreide huizen Nes
BU00600008,Medium,<1991,7,4474.0,2.1365333035315155,Verspreide huizen Nes
BU00600008,Medium,1991-2000,5,4634.0,1.3,Verspreide huizen Nes
BU00600008,Large,>2000,1,2219.0,1.3,Verspreide huizen Nes
BU00600008,Large,<1991,2,5937.0,1.9434478692942563,Verspreide huizen Nes
BU00600008,Large,1991-2000,1,4805.0,1.3,Verspreide huizen Nes
BU00600009,Small,>2000,141,14100.0,1.2862858156028372,Verspreide huizen Hollum
BU00600009,Small,<1991,330,19671.0,1.8899222205276813,Verspreide huizen Hollum
BU00600009,Small,1991-2000,92,7346.0,1.301840457391778,Verspreide huizen Hollum
BU00600009,Medium,>2000,5,1404.0,1.3,Verspreide huizen Hollum
BU00600009,Medium,<1991,3,1521.0,2.25,Verspreide huizen Hollum
BU00600009,Medium,1991-2000,2,538.0,1.0962453531598513,Verspreide huizen Hollum
BU00600009,Large,<1991,1,3540.0,1.6,Verspreide huizen Hollum
BU00600009,Large,1991-2000,1,2263.0,1.3,Verspreide huizen Hollum
BU00880000,Small,>2000,45,2861.0,1.2880461377140864,Schiermonnikoog
BU00880000,Small,<1991,208,15516.0,2.1034512761020876,Schiermonnikoog
BU00880000,Small,1991-2000,54,3190.0,1.2999999999999994,Schiermonnikoog
BU00880000,Medium,>2000,8,2150.0,1.2497674418604654,Schiermonnikoog
BU00880000,Medium,<1991,19,9538.0,1.9954109876284336,Schiermonnikoog
BU00880000,Large,<1991,1,2586.0,2.25,Schiermonnikoog
BU00880009,Small,>2000,39,4635.0,1.2758144552319306,Verspreide huizen Schiermonnikoog
BU00880009,Small,<1991,339,23533.0,2.199778608762164,Verspreide huizen Schiermonnikoog
BU00880009,Small,1991-2000,102,6779.0,1.3057014308895118,Verspreide huizen Schiermonnikoog
BU00880009,Medium,>2000,3,987.0,1.1920364741641336,Verspreide huizen Schiermonnikoog
BU00880009,Medium,<1991,13,4528.0,1.9930322438162547,Verspreide huizen Schiermonnikoog
BU02790000,Small,>2000,19,1547.0,1.3,Scherpenzeel
BU02790000,Small,<1991,38,4423.0,2.199841736378024,Scherpenzeel
BU02790000,Small,1991-2000,16,1815.0,1.3,Scherpenzeel
BU02790000,Medium,>2000,37,21135.0,1.2602734800094633,Scherpenzeel
BU02790000,Medium,<1991,36,15498.0,1.8571260807846173,Scherpenzeel
BU02790000,Medium,1991-2000,14,9308.0,1.2172292651482595,Scherpenzeel
BU02790000,Large,>2000,4,22114.0,1.106789364203672,Scherpenzeel
BU02790000,Large,<1991,1,4003.0,1.6,Scherpenzeel
BU02790000,Large,1991-2000,1,2326.0,1.3,Scherpenzeel
BU02790008,Small,>2000,1,109.0,1.3000000000000003,Verspreide huizen ten zuiden van Scherpenzeel
BU02790008,Medium,>2000,2,2127.0,1.3,Verspreide huizen ten zuiden van Scherpenzeel
BU02790008,Medium,1991-2000,1,246.0,1.3,Verspreide huizen ten zuiden van Scherpenzeel
BU02790009,Small,<1991,5,409.0,2.1578239608801955,Verspreide huizen ten noorden van Scherpenzeel
BU02790009,Small,1991-2000,116,9012.0,1.3000000000000007,Verspreide huizen ten noorden van Scherpenzeel
BU02790009,Medium,>2000,1,277.0,1.3,Verspreide huizen ten noorden van Scherpenzeel
BU02790009,Medium,<1991,4,1546.0,2.0390685640362225,Verspreide huizen ten noorden van Scherpenzeel
BU02790009,Medium,1991-2000,2,456.0,1.3,Verspreide huizen ten noorden van Scherpenzeel
BU02790009,Large,>2000,1,3690.0,1.3,Verspreide huizen ten noorden van Scherpenzeel
BU03070100,Small,<1991,117,11272.0,2.10819552874379,Hof
BU03070100,Medium,<1991,35,15376.0,2.3581575182101977,Hof
BU03070100,Large,<1991,3,25173.0,1.7578842410519206,Hof
BU03070101,Small,<1991,38,3850.0,2.504205194805195,Nieuwstraat
BU03070101,Medium,>2000,1,403.0,0.6,Nieuwstraat
BU03070101,Medium,<1991,18,6078.0,1.9069874958868045,Nieuwstraat
BU03070101,Medium,1991-2000,1,325.0,1.3,Nieuwstraat
BU03070101,Large,<1991,1,3406.0,2.8,Nieuwstraat
BU03070102,Small,<1991,10,1381.0,2.237545257060101,Mooierstraat
BU03070102,Small,1991-2000,11,1181.0,1.110177815410669,Mooierstraat
BU03070102,Medium,<1991,22,8663.0,2.1368717534341455,Mooierstraat
BU03070102,Medium,1991-2000,1,309.0,1.05,Mooierstraat
BU03070103,Small,<1991,24,2858.0,2.345038488453464,Lieve Vrouwekerkhof
BU03070103,Small,1991-2000,1,60.0,1.3,Lieve Vrouwekerkhof
BU03070103,Medium,>2000,2,448.0,0.9927678571428571,Lieve Vrouwekerkhof
BU03070103,Medium,<1991,28,12870.0,2.0957163947163946,Lieve Vrouwekerkhof
BU03070104,Small,>2000,2,140.0,1.3,Coninckstraat
BU03070104,Small,<1991,64,5834.0,2.13540452519712,Coninckstraat
BU03070104,Small,1991-2000,4,300.0,1.3000000000000003,Coninckstraat
BU03070104,Medium,<1991,33,14912.0,2.2989176502145923,Coninckstraat
BU03070104,Large,<1991,1,5275.0,1.6,Coninckstraat
BU03070105,Small,>2000,2,144.0,1.2999999999999998,Beestenmarkt
BU03070105,Small,<1991,37,3800.0,2.705365789473684,Beestenmarkt
BU03070105,Medium,>2000,2,915.0,0.6337158469945354,Beestenmarkt
BU03070105,Medium,<1991,14,5793.0,2.104574486449163,Beestenmarkt
BU03070106,Small,>2000,13,670.0,1.1958955223880596,Grote Haag
BU03070106,Small,<1991,63,6966.0,1.8810120585701977,Grote Haag
BU03070106,Small,1991-2000,8,835.0,1.3,Grote Haag
BU03070106,Medium,>2000,7,4804.0,1.231838051623647,Grote Haag
BU03070106,Medium,<1991,31,14244.0,1.9735404380791912,Grote Haag
BU03070106,Medium,1991-2000,3,2206.0,1.2999999999999998,Grote Haag
BU03070106,Large,<1991,1,3508.0,1.49,Grote Haag
BU03070107,Small,<1991,26,3007.0,1.8536947123378777,Stadhuisplein
BU03070107,Small,1991-2000,13,1538.0,1.2781534460338102,Stadhuisplein
BU03070107,Medium,>2000,2,1892.0,1.1687103594080337,Stadhuisplein
BU03070107,Medium,<1991,26,12132.0,1.9083679525222548,Stadhuisplein
BU03070107,Medium,1991-2000,14,8147.0,1.0904664293605009,Stadhuisplein
BU03070107,Large,>2000,1,12671.0,1.0,Stadhuisplein
BU03070107,Large,<1991,5,41406.0,1.5010674781432642,Stadhuisplein
BU03070107,Large,1991-2000,3,9551.0,1.139116322898126,Stadhuisplein
BU03070108,Small,<1991,6,343.0,2.419387755102041,Schimmelpenninckstraat
BU03070108,Small,1991-2000,1,138.0,0.77,Schimmelpenninckstraat
BU03070108,Medium,<1991,3,2083.0,2.54915506481037,Schimmelpenninckstraat
BU03070108,Medium,1991-2000,2,1657.0,1.3,Schimmelpenninckstraat
BU03070200,Small,>2000,1,165.0,1.3,Smallepad
BU03070200,Small,<1991,1,16.0,1.6,Smallepad
BU03070200,Small,1991-2000,3,132.0,1.3000000000000003,Smallepad
BU03070200,Medium,>2000,50,36272.0,1.2763721327745923,Smallepad
BU03070200,Medium,<1991,6,3715.0,1.9353970390309556,Smallepad
BU03070200,Medium,1991-2000,24,25675.0,1.2873417721518987,Smallepad
BU03070200,Large,>2000,4,18014.0,1.244263350727212,Smallepad
BU03070200,Large,1991-2000,4,21070.0,1.136326530612245,Smallepad
BU03070202,Small,>2000,1,60.0,1.06,Snouckaertlaan
BU03070202,Small,<1991,16,2006.0,2.3238035892323032,Snouckaertlaan
