fid,source_name,available_heat,source_id,geo_coordinate_x,geo_coordinate_y,neighbourhoods_in_range
1,Geothermie GEOLP0001,999999,GEOLP0001,191758.4222,579514.2416,"BU07370009,BU07370408,BU07370400,BU07370909"
2,Geothermie GEOLP0002,999999,GEOLP0002,66731.17466,445366.2953,"BU17839998,BU05992308,BU05991701,BU05992307,BU17830421,BU17830420,BU05999998"
3,Geothermie GEOLP0003,999999,GEOLP0003,68200.4974,446822.3907,"BU17839998,BU05991701,BU17830421,BU17830420,BU05999998"
4,Geothermie GEOLP0004,999999,GEOLP0004,93483.14416,444135.032,"BU16211321,BU16211311,BU16211543,BU16211111,BU16211411"
5,Geothermie GEOLP0005,999999,GEOLP0005,97211.46558,440494.098,"BU18920492,BU18920209,BU05991466,BU05020884,BU05020885,BU05020889,BU05020887,BU05020888,BU05020883,BU05020880,BU05020556,BU05020553,BU05020557,BU05020774,BU05020659,BU05020777,BU05020775,BU05020776,BU05020778,BU05020779,BU05020555,BU05020551,BU05020552,BU05020658,BU05020661,BU05020666,BU05020772,BU05020773,BU05020771,BU05020770,BU05020881,BU05020882,BU05991467,BU05020886,BU16211543,BU05990664,BU05990665,BU16211514,BU16211522,BU05991463,BU05990662,BU05990660,BU05990842,BU05990843,BU05991449,BU05990836,BU05020333,BU05020335,BU05020444,BU05020332,BU05020441,BU05020442,BU05020554,BU05020445,BU05020443,BU05020448,BU05020446,BU05020225,BU05020631,BU05020226,BU05020229,BU05020334,BU05020336,BU05020664,BU05020622,BU05020338,BU05020337,BU05420003,BU05020447,BU05020994,BU05991444,BU05020665,BU05020621,BU05020223,BU05020662,BU05991448,BU05020224,BU05020663,BU05020228,BU05020117,BU05420001"
6,Geothermie GEOLP0006,999999,GEOLP0006,83403.10315,449665.7864,"BU06370501,BU16212412,BU16213312,BU19260112,BU19260106,BU19260107,BU19260104,BU19260105,BU16212311,BU16212851,BU16212864,BU16212221,BU16212231,BU16212254,BU16211552,BU16212741,BU16212331,BU16212321,BU19260108,BU19260225,BU05184215,BU19260221,BU19260226,BU19260353,BU19260113,BU19260102,BU19260231,BU19260223,BU19260224,BU19260222,BU19260232,BU05184209,BU05184211,BU05184110,BU05184317,BU05184418,BU05184316,BU19161300,BU19260227,BU05183960,BU05183826,BU06030221,BU06030111,BU06030112,BU05184106,BU06030391,BU19160900,BU06030222,BU06030225,BU06030224,BU06030581,BU06030633,BU06030771,BU06030772,BU06030643,BU06031082,BU06031083,BU06031194,BU06031193,BU05184107,BU05184213,BU05184208,BU05031600,BU05184214,BU05184212,BU05180907,BU05181309,BU05181251,BU05181252,BU05181142,BU05189998,BU05181591,BU05181492,BU05181893,BU05181481,BU05181894,BU05181250,BU05181953,BU05181983,BU05182054,BU05183130,BU05182055,BU05183131,BU05181882,BU19161001,BU05182567,BU19160902,BU19161100,BU19160901,BU19161002,BU19161101,BU19161200,BU19161201,BU19161202,BU19161301,BU06030392,BU05183825,BU05183819,BU05182762,BU06030223,BU06030434,BU05182916,BU05182917,BU05183822,BU06030431,BU05183824,BU05182718,BU06030432,BU06030641,BU05180605,BU05180373,BU05180477,BU05180374,BU05180476,BU05180546,BU05180478,BU05183135,BU05183032,BU05183033,BU05183034,BU05182915,BU05183721,BU05182144,BU05181143,BU05181041,BU05182110,BU05182763,BU05182664,BU05182665,BU05182666,BU05180479,BU05182449,BU05180475,BU05182814,BU05182811,BU05182813,BU05182245,BU05182812,BU05182347,BU05180448,BU05181590,BU05181806,BU05181697,BU05181795,BU17830966,BU17830521,BU17830508,BU17830509,BU05183387,BU05181785,BU05183488,BU05183489,BU05181786,BU05181840,BU05183284,BU05183639,BU05183637,BU05183620,BU06030851,BU05183638,BU05183823,BU06030853,BU05183536,BU06030642,BU05183480,BU05183399,BU05183398,BU05183396,BU17830900,BU17830904,BU05184002,BU06030852,BU05184001,BU06030854,BU06030961,BU06030963,BU17830803,BU17830609,BU17830612,BU17830611,BU05184004,BU05184005,BU05032801,BU05032802,BU05032803,BU05032806,BU05032808,BU19260342,BU19260343,BU05031406,BU05031405,BU05031400,BU05031401,BU05031302,BU05031300,BU05031301,BU05031100,BU06031064,BU06031084,BU05031101,BU05031205,BU05031200,BU05031202,BU05031203,BU05031601,BU05031201,BU05031604,BU05031208,BU05031603,BU05031602,BU19260341,BU05031102,BU05031103,BU05031204,BU05031108,BU05031107,BU05031206,BU05031207,BU05031303,BU05031104,BU05031106,BU05032700,BU05032800,BU05031109,BU05032809,BU05031305,BU05031306,BU05032400,BU05031307,BU05032402,BU05031105,BU05031407,BU05031402,BU05031403,BU05031404,BU05031304,BU05032302,BU05032300,BU05032703,BU05032901,BU05032407,BU05032702,BU05032408,BU05032805,BU05032804,BU19260352,BU19260344,BU19260351,BU19260111,BU05032807,BU19260109,BU19260103,BU19260101,BU19260114,BU05032505,BU05032502,BU05032500,BU18420001,BU05032401,BU05032405,BU05032406,BU05032403,BU05032509,BU05032507,BU05032508,BU05032404,BU05032504,BU05032506,BU05032501,BU05032503,BU05032510,BU18420002,BU05032305,BU05032303,BU05032304,BU05032301,BU05032201,BU05032205,BU05032202,BU05032200,BU05032203,BU05032204,BU05032600,BU06060902,BU06060901,BU06060903,BU06060904,BU06060909,BU06220701,BU06220706,BU06220707,BU18420005,BU06220704,BU06220705,BU06220501,BU06220605,BU06220503,BU06220602,BU06220604,BU06220606,BU06220601,BU06220502,BU06220401,BU06220603,BU06220702,BU06220703,BU06220708,BU06220801,BU06220104,BU06220103,BU18420101,BU18420109,BU05560701"
7,Geothermie GEOLP0007,999999,GEOLP0007,77420.86513,445050.0949,"BU05189998,BU17830901,BU17830902,BU05181590,BU17830903,BU05181697,BU17830966,BU17830601,BU17830610,BU17830521,BU17830510,BU17830508,BU17830509,BU17830905,BU17839998,BU17830606,BU05183399,BU05183398,BU17830607,BU17830900,BU17830904,BU17830803,BU17830609,BU17830801,BU17830612,BU17830802,BU17830611,BU17830608,BU17830602,BU05184004,BU05184005,BU05031406,BU05031405,BU05031400,BU06031064,BU05031407,BU05031403,BU05031404,BU17830420,BU17830480,BU17830352,BU17830351,BU17830401,BU17830406,BU17830407,BU17830408,BU17830502,BU17830504,BU17830505,BU17830507,BU17830404,BU17830405,BU17830403,BU17830409,BU17830410,BU17830702,BU17830154,BU17830257,BU18420007,BU17830701,BU18420004,BU18420009,BU18420103,BU17830712,BU17830714,BU17830713,BU17830711,BU17830710,BU17830703,BU17830201,BU17830207,BU17830211,BU17830251,BU17830256,BU17830253,BU17830101,BU17830111,BU17830113,BU17830103,BU17830160,BU17830161,BU17830159,BU17830105,BU17830157,BU17830155,BU05032502,BU05032500,BU18420001,BU05032509,BU05032507,BU05032501,BU05032510,BU18420002,BU05032205,BU05032600,BU18420000,BU06060909,BU06220707,BU18420005,BU06220801,BU18420100,BU18420101,BU18420106,BU18420108,BU18420109,BU05560701"
8,Geothermie GEOLP0008,999999,GEOLP0008,100502.8069,436112.5603,"BU19310109,BU05420005,BU05420002,BU05420001,BU05420000"
9,Geothermie GEOLP0009,999999,GEOLP0009,91978.93072,436112.5603,"BU05990532,BU05990558,BU05991081,BU05991086,BU05990119,BU05990110,BU05990112,BU05990111,BU05990113,BU05991079,BU05991571,BU05991085,BU05991017,BU05990118,BU05990329,BU05990320,BU05990324,BU05990322,BU05990325,BU05990323"
10,Geothermie GEOLP0010,999999,GEOLP0010,82276.44532,434492.0913,"BU05992295,BU06220303,BU05992306,BU06220301,BU06220302,BU06220304,BU06220305,BU06220306,BU06220307,BU06220201,BU06220204,BU06220202,BU06220203,BU06220101,BU06220102,BU06220103"
