neighbourhood_code,space_heating_demand_per_house,hot_water_demand_per_house,space_heating_demand_per_m2_utility,hot_water_demand_per_m2_utility,electricity_demand_per_house,electricity_demand_per_m2_utility,share_of_houses_demolished,number_of_new_apartments,number_of_new_terraced_houses,number_of_new_detached_houses,number_of_new_semi_detached_houses,number_of_new_houses_unknown_type,epi_of_new_houses,size_of_new_houses,existing_heat_network_share,trace_length
BU00590207,54,8,0.415384615,0.061538462,13,0.1,0,0,0,0,0,0,0.9,100,0,8734.632827
BU00590208,64,8,0.492307692,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,16483.8346
BU00590209,61,9,0.469230769,0.069230769,11,0.084615385,0,0,0,0,0,0,0.9,100,0,15075.67202
BU00600000,47,6,0.361538462,0.046153846,318,2.446153846,0,0,0,0,0,0,0.9,100,0,13000.99572
BU00600001,49,6,0.376923077,0.046153846,1014,7.8,0,0,0,0,0,0,0.9,100,0,23648.31412
BU00600002,56,7,0.430769231,0.053846154,417,3.207692308,0,0,0,0,0,0,0.9,100,0,3853.725464
BU00600003,48,7,0.369230769,0.053846154,316,2.430769231,0,0,0,0,0,0,0.9,100,0,9203.335178
BU00600007,58,4,0.446153846,0.030769231,1320,10.15384615,0,0,0,0,0,0,0.9,100,0,21810.54935
BU00600008,50,5,0.384615385,0.038461538,1415,10.88461538,0,0,0,0,0,0,0.9,100,0,11135.27241
BU00600009,47,5,0.361538462,0.038461538,1513,11.63846154,0,0,0,0,0,0,0.9,100,0,17086.01999
BU00880000,49,7,0.376923077,0.053846154,514,3.953846154,0,0,0,0,0,0,0.9,100,0,10327.35707
BU00880009,62,5,0.476923077,0.038461538,1313,10.1,0,0,0,0,0,0,0.9,100,0,16832.07992
BU02790000,33,7,0.253846154,0.053846154,116,0.892307692,0,0,0,0,0,0,0.9,100,0,62431.53602
BU02790008,34,6,0.261538462,0.046153846,113,0.869230769,0,0,0,0,0,0,0.9,100,0,4766.16497
BU02790009,41,7,0.315384615,0.053846154,612,4.707692308,0,0,0,0,0,0,0.9,100,0,7978.912501
BU03070100,66,4,0.507692308,0.030769231,632,4.861538462,0,0,0,0,0,0,0.9,100,0,2293.474299
BU03070101,42,5,0.323076923,0.038461538,225,1.730769231,0,0,0,0,0,0,0.9,100,0,1343.37809
BU03070102,44,4,0.338461538,0.030769231,438,3.369230769,0,0,0,0,0,0,0.9,100,0,722.7506199
BU03070103,37,6,0.284615385,0.046153846,420,3.230769231,0,0,0,0,0,0,0.9,100,0,1369.40804
BU03070104,37,6,0.284615385,0.046153846,317,2.438461538,0,0,0,0,0,0,0.9,100,0,4948.148218
BU03070105,25,5,0.192307692,0.038461538,220,1.692307692,0,0,0,0,0,0,0.9,100,0,3701.363133
BU03070106,36,4,0.276923077,0.030769231,435,3.346153846,0,0,0,0,0,0,0.9,100,0,2880.255925
BU03070107,50,3,0.384615385,0.023076923,743,5.715384615,0,0,0,0,0,0,0.9,100,0,2919.273179
BU03070108,37,6,0.284615385,0.046153846,119,0.915384615,0,0,0,0,0,0,0.9,100,0,1279.347528
BU03070200,29,1,0.223076923,0.007692308,848,6.523076923,0,0,0,0,0,0,0.9,100,0,1267.52136
BU03070202,40,4,0.307692308,0.030769231,630,4.846153846,0,0,0,0,0,0,0.9,100,0,1619.549668
BU03070204,55,3,0.423076923,0.023076923,636,4.892307692,0,0,0,0,0,0,0.9,100,0,1598.375971
BU03070205,26,6,0.2,0.046153846,115,0.884615385,0,0,0,0,0,0,0.9,100,0,1069.386737
BU03070206,45,5,0.346153846,0.038461538,323,2.484615385,0,0,0,0,0,0,0.9,100,0,914.9182041
BU03070300,35,7,0.269230769,0.053846154,112,0.861538462,0,0,0,0,0,0,0.9,100,0,6905.723708
BU03070301,34,7,0.261538462,0.053846154,12,0.092307692,0,0,0,0,0,0,0.9,100,0,4817.520299
BU03070302,30,7,0.230769231,0.053846154,111,0.853846154,0,0,0,0,0,0,0.9,100,0,4330.683507
BU03070303,32,8,0.246153846,0.061538462,11,0.084615385,0,0,0,0,0,0,0.9,100,0,7960.968192
BU03070304,34,7,0.261538462,0.053846154,112,0.861538462,0,0,0,0,0,0,0.9,100,0,5399.438809
BU03070305,29,7,0.223076923,0.053846154,11,0.084615385,0,0,0,0,0,0,0.9,100,0,6890.782882
BU03070306,18,5,0.138461538,0.038461538,326,2.507692308,0,0,0,0,0,0,0.9,100,0,2791.971005
BU03070307,25,3,0.192307692,0.023076923,741,5.7,0,0,0,0,0,0,0.9,100,0,599.7207802
BU03070401,35,2,0.269230769,0.015384615,837,6.438461538,0,0,0,0,0,0,0.9,100,0,1682.97702
BU03070402,34,1,0.261538462,0.007692308,554,4.261538462,0,0,0,0,0,0,0.9,100,0,2581.373063
BU03070403,49,1,0.376923077,0.007692308,654,5.030769231,0,0,0,0,0,0,0.9,100,0,8487.661287
BU03070404,38,1,0.292307692,0.007692308,544,4.184615385,0,0,0,0,0,0,0.9,100,0,12370.84647
BU03070500,44,4,0.338461538,0.030769231,923,7.1,0,0,0,0,0,0,0.9,100,0,4617.252155
BU03070501,75,4,0.576923077,0.030769231,930,7.153846154,0,0,0,0,0,0,0.9,100,0,4375.958091
BU03070502,35,2,0.269230769,0.015384615,737,5.669230769,0,0,0,0,0,0,0.9,100,0,6511.508933
BU03070503,34,1,0.261538462,0.007692308,1050,8.076923077,0,0,0,0,0,0,0.9,100,0,1102.529344
BU03070600,30,7,0.230769231,0.053846154,12,0.092307692,0,0,0,0,0,0,0.9,100,0,3979.717499
BU03070601,27,5,0.207692308,0.038461538,114,0.876923077,0,0,0,0,0,0,0.9,100,0,4247.670989
BU03070603,22,6,0.169230769,0.046153846,215,1.653846154,0,0,0,0,0,0,0.9,100,0,2353.236941
BU03070700,30,6,0.230769231,0.046153846,112,0.861538462,0,0,0,0,0,0,0.9,100,0,7038.244112
BU03070701,27,6,0.207692308,0.046153846,116,0.892307692,0,0,0,0,0,0,0.9,100,0,6501.544216
BU03070702,30,6,0.230769231,0.046153846,113,0.869230769,0,0,0,0,0,0,0.9,100,0,6681.572801
BU03070800,30,6,0.230769231,0.046153846,112,0.861538462,0,0,0,0,0,0,0.9,100,0,8731.653472
BU03070801,26,5,0.2,0.038461538,12,0.092307692,0,0,0,0,0,0,0.9,100,0,5858.363836
