fid,source_name,available_heat,source_id,geo_coordinate_x,geo_coordinate_y,neighbourhoods_in_range
"1","Casema GV18, Den Haag",220752,LTHP0001,83288.916909,455089.83945,"BU05183960,BU05182567,BU19160900,BU19161000,BU19161100,BU05182664,BU05182665,BU05182449,BU05182666,BU05182763,BU05182762"
"2","Vodafone, Leidschenveen",220752,LTHP0002,86698.082905,453456.582509,"BU05184421,BU05184420,BU05184419,BU05184110,BU05184316,BU05184211,BU05184418,BU05184317,BU19160503"
"3","Datapark Nederland, Alblasserdam",220752,LTHP0003,105217.440249,430195.814729999,"BU04820503,BU04820502,BU04820604,BU04820501,BU04820305,BU04820306,BU04820404,BU04820402,BU04820105,BU04820104,BU04820603,BU04820403,BU04820103,BU04820102,BU04820101,BU05310501"
"4","Tele2 (POP), Alkmaar, Alkmaar",220752,LTHP0004,112725.00811,514920.595095,BU03610904
"5",Alldatacenter BV,220752,LTHP0005,103851.878016,460578.853920999,
"6","Alticom Alphen ad rijn , Alphen a/d Rijn",220752,LTHP0006,104302.218679,461252.236738,
"7","Tele2 (POP), Amersfoort, Amersfoort",220752,LTHP0007,157171.107565999,464869.400907,"BU03071002,BU03072001,BU03072500,BU03071100,BU03072501,BU03072505,BU03072504,BU03072006,BU03071001,BU03071003,BU03072503,BU03072502,BU03071101"
"8","Level3 Amsterdam, Amsterdam-Zuidoost",220752,LTHP0008,125078.989642,478806.926519999,BU04370008
"9","Nikhef - SARA Amsterdam - TelecityGroup Amsterdam Science Park, Amsterdam",220752,LTHP0009,125286.557099,485244.10788,
"10","Pink Roccade, Amsterdam, Amsterdam",220752,LTHP0010,125385.107004,479231.566284,
"11","Schuberg Philis - XS4ALL DC2, Amsterdam",220752,LTHP0011,121291.978355,487357.259513999,
"12","Tele2 (Amsterdam-1), Amsterdam, Amsterdam",220752,LTHP0012,125518.872604,479117.053469999,
"13","Vancis, Amsterdam",220752,LTHP0013,125506.726509999,485536.088015999,
"14","Viatel, Amsterdam, Amsterdam",220752,LTHP0014,117749.499864,485542.674348999,
"15","Datahouse Capelle, Capelle aan den IJssel",220752,LTHP0015,99875.3220049999,440903.151325999,"BU18920492,BU05020774,BU05020777,BU05020775,BU05020776,BU05020778,BU05020779,BU05020773,BU05020770,BU05020771,BU05020886,BU05020881,BU05020882,BU05020880,BU05020883,BU05020884,BU05020885,BU05020887,BU05020888,BU05020889,BU18920493"
"16","InterBox Internet, Capelle a/d Ijssel",220752,LTHP0016,99816.235971,441914.431097999,"BU05991466,BU05020777,BU05020776,BU05020778,BU05020886,BU05020882,BU05991468,BU05020880,BU05020883,BU05020884,BU05020885,BU05020887,BU05020888,BU05020889,BU18920412,BU18920493"
"17","KPN Capelle, Capelle aan den IJssel",220752,LTHP0017,99520.114711,441746.139991,"BU05991466,BU05020777,BU05020775,BU05020776,BU05020778,BU05020773,BU05020771,BU05020886,BU05020881,BU05020882,BU05991468,BU05020880,BU05020883,BU05020884,BU05020885,BU05020887,BU05020888,BU05020889,BU18920493"
"18","ReliNed Cabine Culemborg, Culemborg",220752,LTHP0018,144189.347431,439502.945123,
"19","BIT, Ede (3x)",220752,LTHP0019,171315.974174,449178.501751,
"20","Bunker Kloetinge, Goes",220752,LTHP0020,52247.2877749999,391375.438996999,"BU06640330,BU06640338,BU06640106,BU06640111,BU06640101,BU06640103,BU06640102,BU06640331"
"21","Zeelandnet, Kamperland",220752,LTHP0021,51133.57306,391691.407843999,"BU06640105,BU06640106,BU06640108,BU06640107,BU06640104,BU06640101,BU06640103,BU06640102"
"22","Tele2 (POP), Haarlem, Haarlem",220752,LTHP0022,105144.055561,489492.321514,
"23","Equant, Schiphol Rijk, Equant",220752,LTHP0023,112718.856757,477287.532180999,"BU03580201,BU03580200"
"24","KPN CyberCenter Oude Meer, Oude Meer",220752,LTHP0024,113858.810767,478218.849190999,"BU03580200,BU03580206"
"25","Nedcomp, Hardinxveld-Giessendam",220752,LTHP0025,119348.285919999,426949.052738,"BU05230001,BU06890100,BU05230000,BU06890101,BU06890308,BU06890309"
"26","Alticom Hilversum, Hilversum",220752,LTHP0026,139820.965669,472733.069630999,
"27","Data Hotel Hilversum, Hilversum",220752,LTHP0027,140236.900121,472268.738017999,
"28","Interxion Hil-1 - Media Gateway - TCN Data Hotel, Hilversum",220752,LTHP0028,140343.789217999,471918.277462999,
"29","ITDev Solutions, Houten",220752,LTHP0029,140033.994180999,449650.82647,"BU03211123,BU03211127,BU03211126,BU03211013,BU03211011,BU03211014,BU03211012,BU03211120,BU03211122,BU03211151,BU03211125,BU03211129,BU03211121,BU03211124,BU03211128,BU03212062,BU03211017,BU03211018,BU03211016,BU03211050,BU03212064,BU03212065,BU03211010,BU03211015"
"30","KPN Bunker, Bussum",220752,LTHP0030,142024.355327,475840.057686,
"31","DataCenter Fryslan 1, Leeuwarden",220752,LTHP0031,180306.027644999,579908.039742999,
"32","DataCenter Fryslan 2, Leeuwarden",220752,LTHP0032,180261.982072,579872.083734999,
"33",Nick,220752,LTHP0033,182627.721315,580213.285551,
"34","Tele2 (POP), Leeuwarden, Leeuwarden",220752,LTHP0034,183183.472478,579634.897216,
"35","Alticom Lopik, Lopikerkapel",220752,LTHP0035,132114.289041,445398.515837999,"BU06200007,BU03310003,BU03530030,BU03310009"
"36","ZeelandNet Zakelijk, Goes",220752,LTHP0036,37873.059045,391981.033112999,"BU06870500,BU06640551,BU06870502,BU06870509,BU06540802"
"37","Global Crossing, Amsterdam",220752,LTHP0037,123970.209426999,483074.373021,"BU04370007,BU04370001,BU04370002"
"38","Essent Kabelcom, Aagtdorp",220752,LTHP0038,87012.4238679999,451027.217048,"BU05184215,BU19260221,BU19260225,BU19260226,BU19260227,BU05184211,BU19260223,BU19260224,BU19260222,BU19260231,BU19260232"
"39","Tele2, Rijswijk/Den Haag, Rijswijk/Den Haag",220752,LTHP0039,82695.5138109999,450307.862505,"BU06030434,BU06030581,BU06030633,BU06031082,BU06030771,BU06030643,BU06030225,BU06030772,BU06031083,BU06030392,BU06031193,BU06031084"
"40","Alticom Rotterdam, Rotterdam",220752,LTHP0040,90334.364816,432167.154680999,"BU05991575,BU05991577,BU05991578,BU05991570,BU06130521,BU06130420,BU05992198,BU05992194"
"41","Easynet DC Rotterdam, Rotterdam",220752,LTHP0041,91018.0225499999,435557.045520999,"BU05991574,BU05991571,BU05991085,BU05990324,BU05990325,BU05990320,BU05990111,BU05990119,BU05990118,BU05992194,BU05990329,BU05990321,BU05990322"
"42","Intermax ? DC Schiecentrale-Weena-Schouwburgplein, Rotterdam",220752,LTHP0042,92272.997673,437583.135238,"BU05990110,BU05990532,BU05990531,BU05990516,BU05990515,BU05990535,BU05990814,BU05990325,BU05990111,BU05990119,BU05990113,BU05990112"
"43","KPN RT1, Rotterdam",220752,LTHP0043,92724.460116,437269.836128,"BU05990110,BU05991088,BU05990516,BU05990515,BU05990535,BU05990814,BU05990111,BU05990119,BU05990113,BU05990112"
"44","Luna, Rotterdam, Rotterdam",220752,LTHP0044,91421.5123029999,435765.757577,"BU05991574,BU05991571,BU05991085,BU05990324,BU05990325,BU05990320,BU05990111,BU05990119,BU05990118,BU05992194,BU05990329,BU05990322"
"45","World Port Center, Rotterdam, Rotterdam",220752,LTHP0045,93015.760013,435592.976979999,"BU05991571,BU05991085,BU05991017,BU05990110,BU05991079,BU05991086,BU05991088,BU05990119,BU05990112,BU05990118"
"46","Interoute, Soesterberg, Soesterberg",220752,LTHP0046,147501.00716,459455.966659,"BU03420804,BU03420801,BU03420802,BU03420705,BU03550504,BU03550508"
"47","Casema, Utrecht",220752,LTHP0047,135640.566445,452734.598729,"BU03440723,BU03440812,BU03440722,BU03440733,BU03560600,BU03440821,BU03562000,BU03440953,BU03440831,BU03440822,BU03441041,BU03560800"
"48","DCA, Utrecht",220752,LTHP0048,139433.449578,455513.919516,"BU03440535,BU03440526,BU03440531,BU03440534,BU03440532,BU03120008,BU03440533,BU03100009,BU03100001"
"49","EuroFiber Nijverheidsweg, Utrecht",220752,LTHP0049,134214.295637,457034.213699,"BU03440241,BU03440232,BU03440223,BU03440224,BU03440231,BU03440132,BU03440222,BU03440131,BU03440133,BU03440931,BU03440114,BU03440124,BU03440112,BU03440934"
"50","Eurofiber Zonnebaan, Utrecht",220752,LTHP0050,131256.641695,458841.089616,"BU03440911,BU03440133,BU03441014,BU03440912,BU03441011,BU19041201,BU19041204,BU19041209,BU19041202"
"51","RAM Infotechnology, Utrecht",220752,LTHP0051,133904.202471,453431.684116,"BU03440953,BU03440831,BU03441041,BU03560800,BU03440952,BU03440832,BU03440951"
"52","Tele2, Utrecht, Utrecht",220752,LTHP0052,131899.646363,459354.981045,"BU19040117,BU03440911,BU03440133,BU03440244,BU19040104,BU19041201,BU19041204,BU19041202"
"53","Alticom Wormer, Wormer",220752,LTHP0053,114910.079795,501245.100306999,
"54","Interoute, Zandvoort, Zandvoort",220752,LTHP0054,96916.2591439999,488844.159417,"BU04730107,BU04730103,BU04730105,BU04730106,BU04730404,BU04730201,BU04730101,BU04730102,BU04730206,BU04730401,BU04730402"
"55","ColoCenter, Zoetermeer",220752,LTHP0055,93937.364151,449814.375428,"BU06370801,BU06370501,BU16213312,BU16212412"
"56",Alticom Den Haag,220752,LTHP0056,82938.9839999999,455238.34,"BU05183960,BU05182813,BU19161000,BU19161100,BU05182664,BU05182665,BU05182449,BU05182666,BU05182763,BU05182762"
"57",Data Facilities The Hague,220752,LTHP0057,86391.8371,453410.0372,"BU05184106,BU05184419,BU05184110,BU05184316,BU05184211,BU05184418,BU05184317,BU19160503"
"58",NLDC - Aalsmeer,220752,LTHP0058,113090.853,474817.88,"BU03580004,BU03580001,BU04515000,BU04515500,BU03580201"
"59",Dataplace Rotterdam,220752,LTHP0059,106208.484,428825.857,"BU19270609,BU04820503,BU04820502,BU04820604,BU04820501,BU05310502,BU05900001,BU05900002"
"60",Datacenter NoordHolland,220752,LTHP0060,113241.776,515528.677,BU03610904
"61",Century Link Amsterdam,220752,LTHP0061,124862,478731,BU04370008
"62",Colt - Oud Zuid,220752,LTHP0062,118019,484062,
"63",Datacenter.com,220752,LTHP0063,124230,480269,"BU04370007,BU04370008"
"64",Digital Realty Trust - Naritaweg,220752,LTHP0064,116847,489062,
"65",Digital Realty Trust NL - Amsterdam Science Park,220752,LTHP0065,125280.742,485551.321999999,
"66",Digital Realty Trust NL - H.J.E. Wenckebachweg,220752,LTHP0066,123975,483272,"BU04370001,BU04370002"
"67",Equinix AM1,220752,LTHP0067,124631,479277,BU04370008
"68",Equinix AM2,220752,LTHP0068,124631,479277,BU04370008
"69",Equinix AM4,220752,LTHP0069,125921.939,485275.626999999,
"70",Equinix AM5,220752,LTHP0070,124867.17,478510.054999999,BU04370008
"71",Equinix AM6,220752,LTHP0071,124048.53,483345.994,"BU04370001,BU04370002"
"72",Equinix AM7,220752,LTHP0072,124357,479549,"BU04370007,BU04370008,BU04370000"
"73",euNetworks,220752,LTHP0073,123119,482874,"BU04370007,BU04370001,BU04370002"
"74",Global Switch,220752,LTHP0074,116952.569,484156.999,
"75",Globalone,220752,LTHP0075,117220,488799,
"76",Interxion AMS-9,220752,LTHP0076,125401,485445,
"77",KPN Datacenter Amsterdam,220752,LTHP0077,125526.2336,479230.5763,
"78",Nikhef Housing,220752,LTHP0078,125286,485458,
"79",RDC Datacentrum,220752,LTHP0079,120805.778999999,483033.221,
"80",Switch Datacenters - Amsterdam,220752,LTHP0080,124451,479656,"BU04370007,BU04370008"
"81",Verizon - Kollenbergweg,220752,LTHP0081,124200,479771,"BU04370007,BU04370008,BU04370000"
"82",Verizon Joan Muyskenweg,220752,LTHP0082,122746,482825,"BU04370007,BU04370001,BU04370002"
"83",XS4ALL DC2,220752,LTHP0083,120901.0287,483274.886,
"84",Databarn Rivium B.V.,220752,LTHP0084,97166.8589999999,436082.789999999,"BU05020992,BU05020991,BU05992540,BU05020993,BU05991444,BU05991283,BU05990845,BU05020998,BU05020110,BU05020996,BU05020997,BU05020995,BU05991446,BU05420000,BU05020115,BU05020111,BU05020112"
