fid,source_name,available_heat,source_id,geo_coordinate_x,geo_coordinate_y,neighbourhoods_in_range
"1",Eurogen CV,112898.88,HTLP0001,77212,433504.000000001,"BU19301409,BU19301410,BU19301502,BU19301501,BU19301503,BU19301505,BU19301707,BU19300901,BU19301001,BU19300904,BU19300905,BU05991699,BU05991692,BU19300701,BU05992196,BU05991391,BU05992295,BU06220304,BU06220307,BU19300602,BU19301003,BU19301002,BU19301004,BU19301701,BU19300601,BU19300902,BU19300603,BU19300903,BU19300703,BU19301404,BU19301402,BU19301406,BU19301401,BU19300702,BU19301407,BU06220101,BU06220102,BU06220103,BU06220104,BU06220305,BU06220306,BU06220402,BU06060405,BU06220403,BU19301705,BU19301704,BU19301601,BU19300201,BU19300202,BU19301703,BU19301702,BU19300301,BU19300302,BU19300102,BU19300802,BU19301203,BU19300801,BU19300804,BU19300803,BU19301202,BU19301403,BU19305003,BU19300401,BU19300101,BU19300103,BU19300105,BU19300503,BU19300502,BU19300501,BU19300504,BU19300106,BU19300104,BU19301102,BU19301101,BU19300805,BU19301204,BU19301706,BU19302703,BU19302901,BU19303302,BU19302502,BU19302503,BU19302501,BU19302701,BU19302702,BU19301301,BU19301205,BU19301206,BU19301201,BU19301405,BU19301411,BU19301408,BU19301506,BU19305001,BU05880209,BU19303102,BU19303101,BU19303103,BU19303104,BU19303301,BU05300503,BU05300600,BU05300800,BU19302902,BU19303105,BU19303501,BU19303502,BU19303503,BU05300502,BU05300404,BU05300402,BU05300401,BU05300201,BU05300505,BU05300601,BU06220702,BU06220704,BU06220705,BU06220708,BU06060703,BU06220501,BU06220601,BU06220602,BU06220605,BU06220606,BU06220603,BU06220604,BU06220703,BU06220504,BU06220503,BU06220401,BU06220502,BU06060701,BU06220404,BU06220505,BU06060702,BU06060309,BU06060301,BU06060308,BU06060602,BU06060608,BU06220204,BU06220202,BU06220203,BU05560202,BU05560402,BU05560403,BU05560203,BU05560801,BU05560502,BU05560602,BU05560601,BU05560702,BU05560301,BU05560302,BU05560701,BU06220302,BU06220205,BU06220801,BU06220201,BU05992704,BU05560405,BU05560101,BU05560303,BU05560401,BU05560201,BU05010006,BU05010000,BU05010004,BU05010003,BU05010002,BU05010001,BU05010005,BU05010201,BU05010200,BU05010202,BU05992306,BU06220301,BU06220303,BU05010209,BU05010109,BU05010100,BU05010009,BU05010300,BU05992705,BU05560404,BU05560501,BU19302504,BU05300504,BU05300200,BU05991703,BU05992307,BU06140109,BU06140103,BU05300400,BU05300901,BU06140009,BU06220707,BU06220701,BU06220706"
"2",Zeeland Refinery N.V.,0,HTLP0002,39593,385373,"BU17141108,BU17141109,BU07152800,BU17141100,BU06870209,BU06870200,BU07170009,BU16950309,BU06870500,BU06640551,BU06870502,BU06870503,BU06870509,BU06870501,BU06870105,BU06870109,BU06870300,BU06870000,BU06870301,BU06870309,BU06870302,BU06870400,BU06870409,BU06870102,BU06870106,BU07180503,BU07180506,BU07180507,BU07180504,BU07180502,BU07180602,BU07180701,BU07180600,BU07180601,BU07180203,BU07180702,BU07180603,BU07180501,BU07180505,BU07180500,BU07180207,BU07180402,BU07180407,BU07180406,BU07180408,BU06540502,BU06540501,BU06640550,BU06640559,BU06640660,BU06540202,BU06540201,BU06541202,BU06540302,BU06540402,BU06540301,BU06540401,BU06540903,BU06541502,BU06541501,BU06540902,BU06540901,BU06540802,BU06540801,BU07180800,BU07180103,BU07180700,BU07180100,BU06640778,BU06640889,BU06540702,BU06640779,BU06541101,BU06541102,BU06540102,BU06541402,BU06541002,BU06541001,BU06541302,BU06541201"
"3",Gunvor Petroleum Rotterdam B.V. (GPR),0,HTLP0003,71000,439203,"BU19302703,BU19302502,BU19302503,BU19302501,BU05300600,BU05300800,BU19302902,BU05300201,BU05300505,BU05300601,BU05560202,BU05560402,BU05560403,BU05560203,BU05560801,BU05560502,BU05560602,BU05560601,BU05560702,BU05560301,BU05560302,BU05560701,BU06220302,BU06220205,BU06220801,BU05992704,BU05560405,BU05560101,BU05560303,BU05560401,BU05560201,BU05010006,BU05010000,BU05010004,BU05010003,BU05010002,BU05010001,BU05010005,BU05010201,BU05010200,BU05010202,BU05992306,BU06220301,BU06220303,BU05010209,BU05010109,BU05010100,BU05010009,BU05010300,BU05992705,BU05560404,BU05560501,BU19302504,BU05300504,BU05300200,BU06140102,BU06140108,BU05991703,BU05992307,BU05991702,BU05992308,BU05991701,BU06140109,BU06140004,BU06140000,BU05300900,BU05300107,BU06140103,BU05300901,BU06140104,BU06140105,BU06140106,BU06140100,BU06140002,BU06140003,BU06140001,BU06140101,BU06140009,BU06140005"
"4",Tata Steel IJmuiden BV,191108.16,HTLP0004,100985,499055,"BU04500006,BU03830421,BU03830431,BU03830411,BU03960403,BU03830221,BU03830201,BU03830311,BU04500001,BU04500004,BU03830301,BU03830001,BU03830101,BU03830011,BU03750800,BU03960409,BU03750801,BU03960401,BU03960408,BU03960402,BU03750102,BU03750501,BU03960602,BU03960600,BU03960603,BU03960607,BU03960502,BU03960503,BU03960501,BU03960202,BU04500002,BU04500003,BU03960900,BU03750701,BU03750700,BU03960802,BU03960901,BU03960801,BU03750702,BU03960702,BU03750703,BU03750500,BU03750300,BU03750301,BU03750302,BU03960200,BU03960201,BU03960400,BU03960404,BU03960604,BU03960500,BU03960100,BU03960601,BU03960101,BU03960700,BU03960701,BU03960302,BU03960303,BU03960301,BU03960300,BU03960605,BU03960800,BU03961002,BU03961100,BU03750601,BU03751003,BU03751001,BU03750600,BU03961001,BU04730106,BU03770109,BU04730404,BU04730401,BU03770001,BU03770002,BU03770003,BU03770004,BU03770009,BU03770005,BU03770100,BU03770101,BU03770000,BU03930002,BU03930003,BU03930004,BU03930009,BU03750502,BU03750400,BU03750401,BU03750003,BU03750000,BU03750001,BU03750900,BU03751002,BU03750901,BU03750902,BU03751000,BU03750303,BU03750201,BU03750202,BU03750005,BU03750200,BU03750100,BU03750101,BU03750004,BU03750002"
"5",YARA Sluiskil BV,228320.64,HTLP0005,47750,366500,"BU06770522,BU07152200,BU07154300,BU07151900,BU07154000,BU07153700,BU07154600,BU07157900,BU07158200,BU07158500,BU07158800,BU06771136,BU06771135,BU06770112,BU07153100,BU07155800,BU07155500,BU07150402,BU07150101,BU07156100,BU07152800,BU07155200,BU07153400,BU07154900,BU07150703,BU07150403,BU07150704,BU07151004,BU07151001,BU07151301,BU07151600,BU07151002,BU07156700,BU07150702,BU07151005,BU07151003,BU07150404,BU07150401,BU07150701,BU07150705,BU07156400,BU07157000,BU07157300,BU07157600"
"6",Esso Nederland BV (Raffinaderij Rotterdam),0,HTLP0006,79871,432082,"BU05991570,BU19301409,BU19301410,BU19301502,BU19301501,BU19301503,BU19301505,BU19301707,BU19301708,BU19301504,BU19300901,BU19301001,BU19300904,BU19300905,BU05991699,BU05991692,BU06130308,BU19300701,BU06130414,BU06130205,BU06130103,BU06130417,BU06130415,BU06130416,BU06130418,BU06130419,BU06130420,BU06130522,BU06130101,BU06130104,BU06130207,BU05992198,BU05992196,BU05992194,BU05991593,BU06130706,BU06130312,BU06130102,BU06130311,BU06130309,BU06130313,BU06130310,BU05991391,BU05992295,BU06220304,BU06220307,BU19300602,BU19301003,BU19301002,BU19301004,BU19301701,BU19300601,BU19300902,BU19300603,BU19300903,BU19300703,BU19301404,BU19301402,BU19301406,BU19301401,BU19300702,BU19301407,BU05991926,BU05990327,BU05990328,BU06060203,BU06060304,BU06060305,BU06220101,BU06220102,BU06220103,BU06220104,BU06220305,BU06220306,BU06220402,BU06060405,BU06060404,BU06060500,BU06060403,BU06060402,BU06060401,BU06060307,BU06060306,BU06220403,BU19301705,BU19301704,BU19301601,BU19300201,BU19300202,BU19301703,BU19301702,BU19300301,BU19300302,BU19300102,BU19300802,BU19301203,BU19300801,BU19300804,BU19300803,BU19301202,BU19301403,BU19305003,BU19300401,BU19300101,BU19300103,BU19300105,BU19300503,BU19300502,BU19300501,BU19300504,BU19300106,BU19300104,BU19301102,BU19301101,BU19300805,BU19301204,BU19301706,BU19302703,BU19302901,BU19303302,BU19302502,BU19302503,BU19302501,BU19302701,BU19302702,BU19301301,BU19301205,BU19301206,BU19301201,BU19301405,BU19301411,BU19301408,BU19301506,BU19305001,BU19305002,BU05880009,BU05840004,BU05840013,BU05840002,BU05880109,BU05880100,BU05880000,BU05840005,BU05840006,BU05840003,BU05840009,BU05840012,BU05840008,BU05840007,BU05880200,BU05880209,BU19303102,BU19303101,BU19303103,BU19303104,BU19303301,BU05300503,BU05300600,BU05300800,BU19302902,BU19303105,BU19303501,BU19303502,BU19303503,BU05300402,BU05300505,BU05300601,BU06220702,BU06220704,BU06220705,BU06220708,BU06060703,BU06060706,BU06060705,BU05991853,BU06060801,BU06220501,BU06220601,BU06220602,BU06220605,BU06220606,BU06220603,BU06220604,BU06220703,BU06060606,BU06060604,BU06060000,BU06060104,BU06060105,BU06060106,BU06060107,BU06060103,BU06060101,BU06060102,BU06060605,BU06060303,BU06060201,BU06060202,BU06220504,BU06220503,BU06220401,BU06220502,BU06060701,BU06220404,BU06220505,BU06060607,BU06060603,BU06060802,BU06060702,BU06060707,BU06060704,BU06060309,BU06060301,BU06060308,BU06060302,BU06060602,BU06060608,BU06220204,BU06220202,BU06220203,BU05560202,BU05560402,BU05560403,BU05560203,BU05560801,BU05560502,BU05560602,BU05560601,BU05560702,BU05560301,BU05560302,BU05560701,BU06220302,BU06220205,BU06220801,BU06220201,BU05992704,BU05560405,BU05560101,BU05560303,BU05560401,BU05560201,BU05010006,BU05010000,BU05010004,BU05010003,BU05010002,BU05010001,BU05010005,BU05010201,BU05010200,BU05010202,BU05992306,BU06220301,BU06220303,BU05010209,BU05010109,BU05010100,BU05010009,BU05010300,BU05992705,BU05560404,BU05560501,BU19302504,BU05300200,BU05991703,BU05992307,BU06140109,BU05300901,BU06060907,BU06060906,BU06060908,BU06060905,BU06060803,BU06220707,BU06220701,BU06220706,BU06060909,BU06060902,BU06060901,BU06060903,BU06060904"
"7",Shell Nederland Raffinaderij BV,0,HTLP0007,82574,432924,"BU05991575,BU05991574,BU05991572,BU05991571,BU05991085,BU05991573,BU05991577,BU05991578,BU05990532,BU05991570,BU06130521,BU06130623,BU06130624,BU06130625,BU06130626,BU05990324,BU05990325,BU05990320,BU05990111,BU05990119,BU05990113,BU05990118,BU19301409,BU19301410,BU19301502,BU19301501,BU19301503,BU19301505,BU19301707,BU19301708,BU19301504,BU19300901,BU19301001,BU19300904,BU19300905,BU05991699,BU05991692,BU06130308,BU19300701,BU06130414,BU06130205,BU06130103,BU06130417,BU06130415,BU06130416,BU06130418,BU06130419,BU06130420,BU06130522,BU06130101,BU06130104,BU06130207,BU05992198,BU05992196,BU05992194,BU05991593,BU06130706,BU06130312,BU06130102,BU06130311,BU06130309,BU06130313,BU06130310,BU05991391,BU05992295,BU06220304,BU06220307,BU19300602,BU19301003,BU19301002,BU19301004,BU19301701,BU19300601,BU19300902,BU19300603,BU19300903,BU19300703,BU19301404,BU19301402,BU19301406,BU19301401,BU19300702,BU19301407,BU05990329,BU05991926,BU05990321,BU05990322,BU05990323,BU05990327,BU05990328,BU06060203,BU06060304,BU06060305,BU06220101,BU06220102,BU06220103,BU06220104,BU06220305,BU06220306,BU06220402,BU06060405,BU06060404,BU06060500,BU06060403,BU06060402,BU06060401,BU06060307,BU06060306,BU06220403,BU05850009,BU19301705,BU19301704,BU19301601,BU19300201,BU19300202,BU19301703,BU19301702,BU19300301,BU19300302,BU19300102,BU19300802,BU19301203,BU19300801,BU19300804,BU19300803,BU19301202,BU19301403,BU19305003,BU19300401,BU19300101,BU19300103,BU19300105,BU19300503,BU19300502,BU19300501,BU19300504,BU19300106,BU19300104,BU19301102,BU19301101,BU19300805,BU19301204,BU19301706,BU19302703,BU19302901,BU19303302,BU19302502,BU19302503,BU19302501,BU19302701,BU19302702,BU19301301,BU19301205,BU19301206,BU19301201,BU19301405,BU19301411,BU19301408,BU19301506,BU19305001,BU19305002,BU05880009,BU05840010,BU05840004,BU05840013,BU05840001,BU05850001,BU05840002,BU05840011,BU05880109,BU05880100,BU05880000,BU05840005,BU05840006,BU05840003,BU05840009,BU05840012,BU05840008,BU05840007,BU05880200,BU05880209,BU19303102,BU19303101,BU19303103,BU19303104,BU19303301,BU19302902,BU19303105,BU19303502,BU06220702,BU06220704,BU06220705,BU06220708,BU06060703,BU06060706,BU06060705,BU05991853,BU05990558,BU05990451,BU06060801,BU06220501,BU06220601,BU06220602,BU06220605,BU06220606,BU06220603,BU06220604,BU06220703,BU06060606,BU06060604,BU06060000,BU06060104,BU06060105,BU06060106,BU06060107,BU06060103,BU06060101,BU06060102,BU06060605,BU06060303,BU06060201,BU06060202,BU06220504,BU06220503,BU06220401,BU06220502,BU06060701,BU06220404,BU06220505,BU06060607,BU06060603,BU06060802,BU06060702,BU06060707,BU06060704,BU06060309,BU06060301,BU06060308,BU06060302,BU06060602,BU06060608,BU06220204,BU06220202,BU06220203,BU05560202,BU05560402,BU05560403,BU05560203,BU05560801,BU05560502,BU05560602,BU05560601,BU05560702,BU05560301,BU05560302,BU05560701,BU06220302,BU06220205,BU06220801,BU06220201,BU05992704,BU05560405,BU05560101,BU05560303,BU05560401,BU05560201,BU05010201,BU05010200,BU05010202,BU05992306,BU06220301,BU06220303,BU05010209,BU05010109,BU05010100,BU05010300,BU05992705,BU05560404,BU05560501,BU19302504,BU05992307,BU05990457,BU05992459,BU05990456,BU05992650,BU05990455,BU05990454,BU06060907,BU06060906,BU06060908,BU06060905,BU05990452,BU06060803,BU06220707,BU06220701,BU06220706,BU06060909,BU06060902,BU06060901,BU06060903,BU06060904"
"8",BP Raffinaderij Rotterdam B.V.,0,HTLP0008,67036,440390,"BU05560202,BU05560402,BU05560403,BU05560203,BU05560801,BU05560502,BU05560602,BU05560601,BU05992704,BU05560405,BU05560401,BU05560201,BU05010006,BU05010000,BU05010004,BU05010003,BU05010002,BU05010001,BU05010005,BU05010201,BU05992306,BU05010209,BU05010109,BU05010100,BU05010009,BU05010300,BU05992705,BU05560404,BU05560501,BU05300200,BU06140102,BU06140108,BU05991703,BU05992307,BU05991702,BU05992308,BU05991701,BU06140109,BU06140004,BU06140000,BU06140103,BU05300901,BU06140104,BU06140105,BU06140106,BU06140100,BU06140002,BU06140003,BU06140001,BU06140101,BU06140009,BU06140005"
"9",Air Liquide Pergen VOF,378432,HTLP0009,84800,433523,"BU04891328,BU04892039,BU04893052,BU05991081,BU05991082,BU05991080,BU05991284,BU05991575,BU05991574,BU05991572,BU05991576,BU05991571,BU05991085,BU05991573,BU05991577,BU05991578,BU05991017,BU05990110,BU05990847,BU05991079,BU05991086,BU05991087,BU05991088,BU05990661,BU05990660,BU05990836,BU05990532,BU05990531,BU05990516,BU05990534,BU05990515,BU05990535,BU05990814,BU05990837,BU05990841,BU05991570,BU06130521,BU06130623,BU06130624,BU06130625,BU04893051,BU04891937,BU06130626,BU05990324,BU05990325,BU05990320,BU05990111,BU05990119,BU05990113,BU05990112,BU05990118,BU04891225,BU04891226,BU04891227,BU04893050,BU04891430,BU04891429,BU04891836,BU19301409,BU19301410,BU19301502,BU19301501,BU19301503,BU19301505,BU19301707,BU19301708,BU19301504,BU19300901,BU19301001,BU19300904,BU19300905,BU05991699,BU05991692,BU06130308,BU19300701,BU06130414,BU06130205,BU06130103,BU06130417,BU06130415,BU06130416,BU06130418,BU06130419,BU06130420,BU06130522,BU06130101,BU06130104,BU06130207,BU05992198,BU05992196,BU05992194,BU05991593,BU06130706,BU06130312,BU06130102,BU06130311,BU06130309,BU06130313,BU06130310,BU05991391,BU05992295,BU06220304,BU06220307,BU19300602,BU19301003,BU19301002,BU19301004,BU19301701,BU19300601,BU19300902,BU19300603,BU19300903,BU19300703,BU19301404,BU19301402,BU19301406,BU19301401,BU19300702,BU19301407,BU05990329,BU05991926,BU05990321,BU05990322,BU05990323,BU05990327,BU05990328,BU06060203,BU06060304,BU06060305,BU06220101,BU06220102,BU06220103,BU06220104,BU06220305,BU06220306,BU06220402,BU06060405,BU06060404,BU06060500,BU06060403,BU06060402,BU06060401,BU06060307,BU06060306,BU06220403,BU04891634,BU04891735,BU04891432,BU04891431,BU05850003,BU04893160,BU05850009,BU05850101,BU05850000,BU19301705,BU19301704,BU19301601,BU19300201,BU19300202,BU19301703,BU19301702,BU19300301,BU19300302,BU19300102,BU19300802,BU19301203,BU19300801,BU19300804,BU19300803,BU19301202,BU19301403,BU19305003,BU19300401,BU19300101,BU19300103,BU19300105,BU19300503,BU19300502,BU19300501,BU19300504,BU19300106,BU19300104,BU19301102,BU19301101,BU19300805,BU19301204,BU19301706,BU19302703,BU19302901,BU19303302,BU19302502,BU19302503,BU19302501,BU19302701,BU19302702,BU19301301,BU19301205,BU19301206,BU19301201,BU19301405,BU19301411,BU19301408,BU19301506,BU19305001,BU19305002,BU05880009,BU05840010,BU05840004,BU05840013,BU05840001,BU05850001,BU05840002,BU05850108,BU05850102,BU05840011,BU05880109,BU05880000,BU05840005,BU05840006,BU05840003,BU05840009,BU05840012,BU05840008,BU05840007,BU19303102,BU19303101,BU19303103,BU19303301,BU19302902,BU19303105,BU06220702,BU06220704,BU06220705,BU06220708,BU06060703,BU06060706,BU06060705,BU05991853,BU05990558,BU05990451,BU06060801,BU06220501,BU06220601,BU06220602,BU06220605,BU06220606,BU06220603,BU06220604,BU06220703,BU06060606,BU06060604,BU06060000,BU06060104,BU06060105,BU06060106,BU06060107,BU06060103,BU06060101,BU06060102,BU06060605,BU06060303,BU06060201,BU06060202,BU06220504,BU06220503,BU06220401,BU06220502,BU06060701,BU06220404,BU06220505,BU06060607,BU06060603,BU06060802,BU06060702,BU06060707,BU06060704,BU06060309,BU06060301,BU06060308,BU06060302,BU06060602,BU06060608,BU06220204,BU06220202,BU06220203,BU05560202,BU05560402,BU05560403,BU05560203,BU05560801,BU05560702,BU05560301,BU05560302,BU05560701,BU06220302,BU06220205,BU06220801,BU06220201,BU05992704,BU05560405,BU05560101,BU05560303,BU05560401,BU05560201,BU05010201,BU05010200,BU05010202,BU05992306,BU06220301,BU06220303,BU05010209,BU05010300,BU05560404,BU19302504,BU05992307,BU19260111,BU19260352,BU05990457,BU05992459,BU05990456,BU05992650,BU05990455,BU05990454,BU06060907,BU06060906,BU06060908,BU05032600,BU05032704,BU06060905,BU05990452,BU05032902,BU06060803,BU06220707,BU06220701,BU06220706,BU06060909,BU06060902,BU06060901,BU06060903,BU06060904"
"10",SABIC Innovative Plastics BV,16398.72,HTLP0010,76463,391896,
