fid,neighbourhood_code,neighbourhood_name,adjacent_neighbourhoods,geo_coordinate_x,geo_coordinate_y,municipality_code,municipality_name
"1",BU18920104,Moerkapelle-Oost,"BU18920191,BU18920101,BU18920107",99561.7452089178,451170.010462772,GM1892,Zuidplas
"2",BU18920105,Bedrijventerrein Moerkapelle,"BU18920191,BU18920101,BU18920292,BU18920106",99940.4350301087,450707.0855408,GM1892,Zuidplas
"3",BU18920106,Moerkapelle kassengebied,"BU18920191,BU18920101,BU18920105,BU18920292,BU06270205",100459.461424125,450217.371499656,GM1892,Zuidplas
"4",BU18920107,Jonge Veenen,"BU18920191,BU18920101,BU18920104",99988.2633912241,451228.413510621,GM1892,Zuidplas
"5",BU18920191,Verspreide bebouwing Moerkapelle,"BU06270105,BU18920101,BU18920102,BU18920103,BU18920104,BU18920105,BU18920107,BU16213344,BU18920292,BU18920106,BU06270205,BU18920291",100040.9696509,451969.87270093,GM1892,Zuidplas
"6",BU18920201,Kern Zevenhuizen,"BU18920205,BU18920203,BU18920204,BU18920293,BU18920291,BU18920206",99689.8254443001,447324.998798732,GM1892,Zuidplas
"7",BU18920202,Swanla,"BU18920203,BU18920292,BU18920291",99869.0016908987,447867.304289509,GM1892,Zuidplas
"8",BU18920203,Zevenhuizen Bloemenbuurt,"BU18920201,BU18920202,BU18920204,BU18920211,BU18920292,BU18920291",99936.6391217075,447404.334230093,GM1892,Zuidplas
"9",BU18920204,Bedrijventerrein Zevenhuizen,"BU18920201,BU18920203,BU18920211,BU18920292,BU18920293",100221.123932824,446984.132330829,GM1892,Zuidplas
"10",BU18920205,Zevenhuizen-West 1,"BU18920201,BU18920293,BU18920291,BU18920206",99476.7540330143,447258.716574198,GM1892,Zuidplas
"11",BU18920206,Zevenhuizen-West 2,"BU18920201,BU18920205,BU18920293",99558.0468261802,446875.867657946,GM1892,Zuidplas
"12",BU18920207,Recreatiepark De Korenmolen,"BU18920293,BU18920291",98474.5615686542,447074.650780756,GM1892,Zuidplas
"13",BU18920208,Recreatiepark De Bonk,"BU16213334,BU16211514,BU18920293",97425.4272953379,444647.678225253,GM1892,Zuidplas
"14",BU18920209,Oud Verlaat,"BU16211514,BU05991463,BU05991466,BU18920293,BU18920210,BU05991468",98008.0087485267,443296.093066573,GM1892,Zuidplas
"15",BU18920211,Zevenhuizen-Zuid,"BU18920203,BU18920204,BU18920292",100589.89009716,446819.715310768,GM1892,Zuidplas
"16",BU18920291,Verspreide bebouwing Tweemanspolder,"BU18920191,BU16213344,BU16213334,BU18920201,BU18920207,BU18920205,BU18920202,BU18920203,BU18920292,BU18920293",98771.4762530387,448615.913909084,GM1892,Zuidplas
"17",BU18920292,Verspreide bebouwing Zuidplaspolder Zevenhuizen,"BU18920191,BU18920105,BU18920202,BU18920203,BU18920204,BU18920211,BU18920106,BU06270205,BU18920491,BU18920293,BU18920291,BU05991468,BU18920399",101180.325222598,447466.787251347,GM1892,Zuidplas
"18",BU18920293,Verspreide bebouwing Eendragtspolder,"BU16213334,BU16211514,BU18920208,BU18920201,BU18920207,BU18920205,BU18920204,BU18920292,BU18920209,BU18920291,BU18920210,BU05991468,BU18920206",98766.7611683475,445674.901948182,GM1892,Zuidplas
"19",BU04020506,Egelshoek,BU04020905,138974.811457717,466466.220457841,GM0402,Hilversum
"20",BU16960300,Oud-Loosdrecht,"BU16960400,BU19040306,BU19040303,BU19040901,BU19040601,BU19040604",133902.848101947,468860.815328,GM1696,Wijdemeren
"21",BU04847001,Nesse,"BU04847004,BU04847006,BU04847003,BU04847002",104722.955033753,456306.853028813,GM0484,Alphen aan den Rijn
"22",BU16960400,Nieuw-Loosdrechtsedijk,"BU04020905,BU16960402,BU16960401,BU16960300,BU16960500,BU03100600,BU19040204,BU19040901",134919.205489147,467220.199225293,GM1696,Wijdemeren
"23",BU04847002,Rijneveld-Noord,"BU04847001,BU04847003,BU04847015,BU19010307",106764.23254436,456446.339846935,GM0484,Alphen aan den Rijn
"24",BU16960401,Muijeveld,"BU16960400,BU16960402,BU16960500",133815.435698335,466465.228304306,GM1696,Wijdemeren
"25",BU04847003,Rijneveld-Zuid,"BU04847004,BU04847001,BU04847006,BU04847007,BU04847002,BU04847015",106681.956699715,455784.187139135,GM0484,Alphen aan den Rijn
"26",BU19040801,Polder Aetsveld,"BU19040803,BU19040804",131392.117289954,477165.760726821,GM1904,Stichtse Vecht
"27",BU16960402,Boomhoek,"BU16960400,BU16960401,BU16960500",135431.723004363,466522.198384547,GM1696,Wijdemeren
"28",BU04847004,Laag Boskoop,"BU04847011,BU04847008,BU04847005,BU04847001,BU04847006,BU04847003",104057.327228277,455122.895475838,GM0484,Alphen aan den Rijn
"29",BU19040802,Polder Garsten Noord,"BU19040302,BU19040803,BU19040805,BU19040601",130267.554329284,474651.328431044,GM1904,Stichtse Vecht
"30",BU04847005,Draaistok,"BU04847011,BU04847008,BU04847004,BU04847006,BU04847014",104736.674854274,454712.169375537,GM0484,Alphen aan den Rijn
"31",BU19040803,Kanaalzone sector Nigtevecht,"BU07360703,BU19040305,BU19040302,BU19040802,BU19040805,BU19040801,BU19040804",129904.119640776,476047.10753632,GM1904,Stichtse Vecht
"32",BU04847006,Biezen-West,"BU04847011,BU04847005,BU04847004,BU04847001,BU04847014,BU04847007,BU04847003",105871.626632331,454863.909793376,GM0484,Alphen aan den Rijn
"33",BU19040804,Nigtevecht Dorp,"BU19040803,BU19040805,BU19040801",130493.215626804,476340.451891984,GM1904,Stichtse Vecht
"34",BU04847007,Biezen-Oost,"BU04847006,BU04847014,BU04847003,BU04847015",106799.540172166,454773.591405996,GM0484,Alphen aan den Rijn
"35",BU19040805,Nigtevecht Garsten,"BU19040803,BU19040802,BU19040804",130102.890537112,476019.375992,GM1904,Stichtse Vecht
"36",BU04847008,Zonnedauw,"BU04847009,BU04847011,BU04847005,BU04847004,BU06270105",103553.048170124,454300.876399495,GM0484,Alphen aan den Rijn
"37",BU04847009,Snijdelwijk,"BU04847012,BU04847011,BU04847008,BU04847010,BU04847013,BU06270105",103872.770407896,453801.359897082,GM0484,Alphen aan den Rijn
"38",BU04847010,Vogelbuurt,"BU04847009,BU04847013,BU06270105",103905.961061868,453347.15436039,GM0484,Alphen aan den Rijn
"39",BU04020905,Landelijk Gebied 95,"BU03100300,BU16960400,BU04020506,BU03100600",139095.17225719,467132.792621278,GM0402,Hilversum
"40",BU04847011,Voorofschebuurt,"BU04847009,BU04847012,BU04847008,BU04847005,BU04847004,BU04847006,BU04847014",104562.939709964,454106.303988308,GM0484,Alphen aan den Rijn
"41",BU04847012,Appelbuurt,"BU04847009,BU04847011,BU04847014,BU04847013",104807.612727918,453848.484286918,GM0484,Alphen aan den Rijn
"42",BU04847013,Botanicusbuurt,"BU04847009,BU04847012,BU04847014,BU06270407,BU06270304,BU04847010,BU06270105",104621.427623387,453410.634800202,GM0484,Alphen aan den Rijn
"43",BU04847014,Zuidwijk,"BU04847012,BU04847011,BU04847005,BU04847006,BU04847007,BU19010619,BU04847015,BU19010617,BU06270407,BU19010618,BU04847013",106010.847952589,453615.466583117,GM0484,Alphen aan den Rijn
"44",BU04847015,Spoelwijk,"BU04847014,BU04847007,BU19010619,BU04847003,BU04847002,BU19010307,BU19010308,BU19010620",107917.815219945,454860.55218391,GM0484,Alphen aan den Rijn
"45",BU00803601,Camminghaburen-Noord,BU00803702,185348.749681657,580954.253640179,GM0080,Leeuwarden
"46",BU00803701,Grote Wielen,"BU07370209,BU07370309,BU00803702",187255.393371101,582082.287221286,GM0080,Leeuwarden
"47",BU16213344,Kruisweg,"BU06370601,BU16213353,BU06370600,BU18920191,BU16213334,BU16213323,BU18920291",97874.3137235469,451114.144396702,GM1621,Lansingerland
"48",BU18920101,Kern Moerkapelle,"BU18920191,BU18920102,BU18920103,BU18920104,BU18920105,BU18920107,BU18920106",99382.2416152721,450867.770109983,GM1892,Zuidplas
"49",BU18920102,Wilde Veenen,"BU18920191,BU18920101,BU18920103",99008.4658842816,450952.990757924,GM1892,Zuidplas
"50",BU18920103,Moerkapelle-West,"BU18920191,BU18920101,BU18920102",99038.9455153792,451131.104091833,GM1892,Zuidplas
"51",BU00580000,Dokkum binnen de Bolwerken,"BU00580005,BU00580011,BU00580002,BU00580003,BU00580001",195738.304169012,593445.348095689,GM1970,Noardeast-Fryslân
"52",BU00580001,Dokkum Noord,"BU00580004,BU00580006,BU00580005,BU00580000,BU00580003,BU00580104,BU00580008",196257.314886462,594098.824184507,GM1970,Noardeast-Fryslân
"53",BU00580002,Dokkum Fonteinslanden,"BU00580005,BU00580011,BU00580000,BU00580009,BU00580010",196005.423368323,592871.313935619,GM1970,Noardeast-Fryslân
"54",BU00580003,Dokkum Fugellan,"BU00580011,BU00580000,BU00580104,BU00580001,BU00580109",196813.922141332,593788.281388622,GM1970,Noardeast-Fryslân
"55",BU00580004,Dokkum Betterwird,"BU00580006,BU18910301,BU00580604,BU00580104,BU00580001,BU00580008",194548.377079397,593795.828822561,GM1970,Noardeast-Fryslân
"56",BU00580005,Dokkum Hoedemakerspolder,"BU00580006,BU00580002,BU00580000,BU00580009,BU00580001",195259.094245478,593056.037895705,GM1970,Noardeast-Fryslân
"57",BU00580006,Dokkum De Woudhorne,"BU00580004,BU00580005,BU18910301,BU00580007,BU00580009,BU00580001",194582.968695579,592853.735934654,GM1970,Noardeast-Fryslân
"58",BU00580007,De Trije Terpen,"BU00580006,BU18910301,BU18910008,BU00580009",194684.994239556,591997.520037755,GM1970,Noardeast-Fryslân
"59",BU00580008,Dokkum Weeshuislanden,"BU00580004,BU00580104,BU00580001",195766.846344684,594274.129304425,GM1970,Noardeast-Fryslân
"60",BU00580009,Dokkum Jantjeszeepolder,"BU00580006,BU00580005,BU00580002,BU00580007,BU18910008,BU00580010",195861.586944243,592172.918499551,GM1970,Noardeast-Fryslân
"61",BU00580010,Dokkum Kooilanden,"BU00580011,BU00580002,BU18910008,BU18910109,BU00580009",196821.36330499,592152.673816091,GM1970,Noardeast-Fryslân
"62",BU00580011,Dokkum Hogedijken,"BU00580002,BU00580000,BU00580003,BU18910109,BU00580010,BU00580109",196865.907216275,593105.863070831,GM1970,Noardeast-Fryslân
"63",BU00580100,Metslawier,BU00580107,200190.206201386,597301.181059434,GM1970,Noardeast-Fryslân
"64",BU00580101,Jouswier,"BU00580208,BU00580309,BU00580108,BU00580107,BU00580109",200687.245852576,595782.908931494,GM1970,Noardeast-Fryslân
"65",BU00580102,Niawier,"BU00580108,BU00580408",198925.994181213,597891.585330254,GM1970,Noardeast-Fryslân
"66",BU00580103,Wetsens,"BU00580108,BU00580104,BU00580109,BU00580702",198218.966445356,595885.889521765,GM1970,Noardeast-Fryslân
"67",BU00580104,Aalsum,"BU00580004,BU00580003,BU00580604,BU00580001,BU00580008,BU00580103,BU00580109,BU00580702,BU00580703",196476.994381903,595192.867084172,GM1970,Noardeast-Fryslân
"68",BU00580105,Oostrum,"BU00580208,BU00580109",200010.796954715,594177.666002905,GM1970,Noardeast-Fryslân
"69",BU00580107,Verspreide huizen Metslawier,"BU00580309,BU00580308,BU00580108,BU00580100,BU00580408,BU00580101",200423.077330027,597427.645031505,GM1970,Noardeast-Fryslân
"70",BU00580108,Verspreide huizen Niawier,"BU00580102,BU00580107,BU00580408,BU00580103,BU00580109,BU00580702,BU00580101",198680.095475753,597250.9430213,GM1970,Noardeast-Fryslân
"71",BU00580109,Verspreide huizen Oostrum,"BU00580011,BU00580003,BU18910109,BU18910108,BU00580208,BU00580108,BU00580104,BU00580103,BU00580105,BU00580101",198987.171925278,594109.887190994,GM1970,Noardeast-Fryslân
"72",BU00580200,Ee,BU00580208,202547.063714465,593963.684151501,GM1970,Noardeast-Fryslân
"73",BU00580201,Engwierum,"BU00790208,BU00580209",204679.139027125,592638.428956227,GM1970,Noardeast-Fryslân
"74",BU00580202,Dokkumer Nieuwe Zijlen,"BU00580209,BU00790009",206349.264503504,592648.696104515,GM1970,Noardeast-Fryslân
"75",BU00580208,Verspreide huizen Ee,"BU18910108,BU00790208,BU00790209,BU00580200,BU00580209,BU00580309,BU00580307,BU00580109,BU00580105,BU00580101",202781.628201908,594972.274068705,GM1970,Noardeast-Fryslân
"76",BU00580209,Verspreide huizen Engwierum,"BU00580201,BU00790208,BU00580202,BU00580208,BU00790009,BU00580307",205803.369287524,593743.706230121,GM1970,Noardeast-Fryslân
"77",BU00580300,Anjum,BU00580307,204261.215766086,598964.310209716,GM1970,Noardeast-Fryslân
"78",BU00580301,Lioessens,BU00580308,201606.140806231,599601.022225911,GM1970,Noardeast-Fryslân
"79",BU00580302,Morra,BU00580309,201662.784353164,598719.481451727,GM1970,Noardeast-Fryslân
"80",BU00580303,Oostmahorn,BU00580307,206260.555329546,599397.753295663,GM1970,Noardeast-Fryslân
"81",BU00580307,Verspreide huizen Anjum,"BU00580209,BU00580208,BU00580309,BU00580300,BU00580308,BU00580303",204949.986380831,599011.255098384,GM1970,Noardeast-Fryslân
"82",BU00580308,Verspreide huizen Lioessens,"BU00580409,BU00580309,BU00580307,BU00580107,BU00580408,BU00580301",202580.410004259,600616.72565808,GM1970,Noardeast-Fryslân
"83",BU00580309,Verspreide huizen Morra,"BU00580208,BU00580308,BU00580307,BU00580107,BU00580302,BU00580101",202026.61351011,597925.544924732,GM1970,Noardeast-Fryslân
"84",BU00580400,Oosternijkerk,BU00580408,199330.341667381,599398.514774694,GM1970,Noardeast-Fryslân
"85",BU00580401,Paesens,"BU00580409,BU00580509,BU00580503",201473.844569204,601910.544872766,GM1970,Noardeast-Fryslân
"86",BU00580408,Verspreide huizen Oosternijkerk,"BU00580409,BU00580308,BU00580102,BU00580108,BU00580107,BU00580400,BU00580508,BU00580509,BU00580709,BU00580702",199016.49744533,599337.157722743,GM1970,Noardeast-Fryslân
"87",BU00580409,Verspreide huizen Paesens,"BU00580308,BU00580408,BU00580509,BU00580503,BU00580401",201959.342384008,601561.434391853,GM1970,Noardeast-Fryslân
"88",BU00580500,Ternaard,BU00580506,193496.026886182,599616.403705209,GM1970,Noardeast-Fryslân
"89",BU00580501,Wierum,BU00580507,196699.486713076,601804.846149881,GM1970,Noardeast-Fryslân
"90",BU00580502,Nes,BU00580508,198926.127109528,601216.072735116,GM1970,Noardeast-Fryslân
"91",BU00580503,Moddergat,"BU00580409,BU00580509,BU00580401",200926.818187509,602154.673722643,GM1970,Noardeast-Fryslân
"92",BU00580506,Verspreide huizen Ternaard,"BU00580608,BU00580508,BU00580500,BU00580507,BU00580709,BU00580708",193466.804695205,599746.0388341,GM1970,Noardeast-Fryslân
"93",BU00580507,Verspreide huizen Wierum,"BU00580501,BU00580508,BU00580506",196193.116659945,601123.122378924,GM1970,Noardeast-Fryslân
"94",BU00580508,Verspreide huizen Nes,"BU00880009,BU00580408,BU00580502,BU00580509,BU00580506,BU00580507,BU00580709",198655.512998782,602491.054482959,GM1970,Noardeast-Fryslân
"95",BU00580509,Verspreide huizen Moddergat,"BU00580409,BU00580408,BU00580508,BU00580503,BU00580401",200278.231654515,601838.882884713,GM1970,Noardeast-Fryslân
"96",BU00580600,Holwerd,BU00580608,189384.079858898,598139.015506725,GM1970,Noardeast-Fryslân
"97",BU00580601,Waaxens,"BU00580608,BU00580609",190385.699855901,596765.914259309,GM1970,Noardeast-Fryslân
"98",BU00580602,Brantgum,BU00580609,191215.206903389,596314.63742471,GM1970,Noardeast-Fryslân
"99",BU00580603,Foudgum,"BU00580605,BU00580604,BU00580609,BU00580708,BU00580703",192335.254713585,595526.999551088,GM1970,Noardeast-Fryslân
"100",BU00580604,Bornwird,"BU00580004,BU00580605,BU00580603,BU18910301,BU00580104,BU00580703",193528.300839559,594314.393140174,GM1970,Noardeast-Fryslân
"101",BU00580605,Raard,"BU17220205,BU00580603,BU18910301,BU00580604,BU00580608,BU00580609",191723.111497092,593605.096433537,GM1970,Noardeast-Fryslân
"102",BU00580608,Verspreide huizen Holwerd,"BU17220205,BU00580605,BU17220204,BU00580600,BU00580601,BU00580609,BU17220009,BU00580506,BU00580708",189027.794422349,598065.653148573,GM1970,Noardeast-Fryslân
"103",BU00580609,Verspreide huizen Brantgum,"BU00580605,BU00580603,BU00580608,BU00580601,BU00580602,BU00580708,BU00580703",191522.482827744,596677.599761336,GM1970,Noardeast-Fryslân
"104",BU00580700,Hantum,BU00580708,193509.871943863,597564.195392634,GM1970,Noardeast-Fryslân
"105",BU00580701,Hantumhuizen,BU00580709,195578.395369877,598554.059211003,GM1970,Noardeast-Fryslân
"106",BU00580702,Hantumeruitburen,"BU00580108,BU00580408,BU00580709,BU00580708,BU00580104,BU00580103,BU00580703",196164.677595976,596893.433060786,GM1970,Noardeast-Fryslân
"107",BU00580703,Hiaure,"BU00580603,BU00580604,BU00580609,BU00580708,BU00580104,BU00580702",194038.732392438,596141.822923956,GM1970,Noardeast-Fryslân
"108",BU00580708,Verspreide huizen Hantum,"BU00580603,BU00580608,BU00580609,BU00580506,BU00580709,BU00580700,BU00580702,BU00580703",193394.949661048,597674.088826999,GM1970,Noardeast-Fryslân
"109",BU00580709,Verspreide huizen Hantumhuizen,"BU00580408,BU00580508,BU00580701,BU00580506,BU00580708,BU00580702",195701.572660324,598649.013448061,GM1970,Noardeast-Fryslân
"110",BU00590000,Buitenpost,BU00590005,205560.963996143,585275.585695099,GM0059,Achtkarspelen
"111",BU00590001,Twijzel,"BU00590005,BU00590007,BU00590006",202569.473181709,583688.496766678,GM0059,Achtkarspelen
"112",BU00590002,Kootstertille,"BU00590108,BU00590007",202340.10427364,580923.918366978,GM0059,Achtkarspelen
"113",BU00590003,Twijzelerheide,"BU00790309,BU18910200,BU00590008,BU00790301",199044.757828914,583960.922406516,GM0059,Achtkarspelen
"114",BU00590004,Gerkesklooster,"BU00590009,BU00590100,BU00590107",209540.135045641,584133.61480519,GM0059,Achtkarspelen
"115",BU00590005,Verspreide huizen Buitenpost,"BU00790106,BU00790104,BU00790009,BU00590009,BU00790300,BU00790302,BU00590109,BU00590000,BU00590007,BU00590006,BU00590001",206549.899578875,585051.04813668,GM0059,Achtkarspelen
"116",BU00590006,Verspreide huizen Twijzel,"BU00790309,BU00790300,BU00590005,BU00590007,BU00590008,BU00590001",202511.424036952,583807.784421363,GM0059,Achtkarspelen
"117",BU00590007,Verspreide huizen Kootstertille,"BU00590109,BU00590005,BU00590108,BU00590002,BU00590006,BU00590008,BU00590001,BU07370709,BU07370708",202142.300904295,581969.686639448,GM0059,Achtkarspelen
"118",BU00590008,Verspreide huizen Twijzelerheide,"BU00790309,BU00790300,BU18910200,BU18910208,BU07370809,BU00590007,BU00590006,BU00590003,BU07370709",199300.63283596,583504.908933493,GM0059,Achtkarspelen
"119",BU00590009,Verspreide huizen Gerkesklooster,"BU00790106,BU00590004,BU00590100,BU00590109,BU00590107,BU00590005",209750.279209896,584902.865304763,GM0059,Achtkarspelen
"120",BU00590100,Stroobos,"BU00590009,BU00590004,BU00590107",210218.321463641,583825.852861226,GM0059,Achtkarspelen
"121",BU00590102,Drogeham,BU00590108,203606.108500824,579726.454253287,GM0059,Achtkarspelen
"122",BU00590103,Augustinusga,BU00590109,206594.055186018,581374.849017111,GM0059,Achtkarspelen
"123",BU00590107,Verspreide huizen Stroobos,"BU00590009,BU00590004,BU00590100,BU00590208,BU00590109",209351.757883514,583059.000465638,GM0059,Achtkarspelen
"124",BU00590108,Verspreide huizen Drogeham,"BU00590109,BU00590102,BU00590007,BU00590002,BU00590201,BU00590207,BU07370708",203716.172151506,580027.62610795,GM0059,Achtkarspelen
