buurtcode,QI_oppervlakteklasse,QI_bouwjaarklasse,aantal_gebouwen,totaal_oppervlakte,gem_epi,buurtnaam
BU00580000,Small,<1991,179,14018.0,2.351173491225567,Dokkum binnen de Bolwerken
BU00580000,Small,1991-2000,2,180.0,1.3,Dokkum binnen de Bolwerken
BU00580000,Small,>2000,16,407.0,1.3,Dokkum binnen de Bolwerken
BU00580000,Medium,<1991,68,35702.0,2.26495462439079,Dokkum binnen de Bolwerken
BU00580000,Medium,>2000,1,204.0,0.69,Dokkum binnen de Bolwerken
BU00580000,Large,<1991,1,4251.0,1.49,Dokkum binnen de Bolwerken
BU00580000,Large,>2000,1,3975.0,0.9,Dokkum binnen de Bolwerken
BU00580001,Small,<1991,32,826.0,2.113740920096852,Dokkum Noord
BU00580001,Small,>2000,4,124.0,1.3,Dokkum Noord
BU00580001,Medium,<1991,13,6274.0,1.983007650621613,Dokkum Noord
BU00580001,Medium,1991-2000,3,2941.0,1.013927235634138,Dokkum Noord
BU00580001,Medium,>2000,3,2392.0,1.3,Dokkum Noord
BU00580002,Small,<1991,155,2664.0,2.232526276276276,Dokkum Fonteinslanden
BU00580002,Small,>2000,1,13.0,1.3000000000000003,Dokkum Fonteinslanden
BU00580002,Medium,<1991,10,7284.0,2.1752677100494235,Dokkum Fonteinslanden
BU00580002,Medium,1991-2000,1,650.0,1.3,Dokkum Fonteinslanden
BU00580002,Medium,>2000,3,1375.0,1.3000000000000003,Dokkum Fonteinslanden
BU00580003,Small,<1991,87,1254.0,2.146969696969697,Dokkum Fugellan
BU00580003,Small,1991-2000,1,21.0,1.3,Dokkum Fugellan
BU00580003,Small,>2000,2,150.0,1.3,Dokkum Fugellan
BU00580003,Medium,<1991,10,6514.0,2.0713847098556952,Dokkum Fugellan
BU00580003,Medium,1991-2000,3,2056.0,1.3,Dokkum Fugellan
BU00580003,Large,<1991,1,2035.0,1.48,Dokkum Fugellan
BU00580004,Small,<1991,3,195.0,1.8733333333333333,Dokkum Betterwird
BU00580004,Small,1991-2000,11,647.0,1.3,Dokkum Betterwird
BU00580004,Small,>2000,34,1276.0,1.3000000000000003,Dokkum Betterwird
