neighbourhood_code,heat_source_code,heat_source_name,distance_in_m
BU03072900,HTHP0080,gas WKK eneco,867.4729071405513
BU03072902,HTHP0080,gas WKK eneco,561.2089004894685
BU03073101,HTHP0080,gas WKK eneco,220.4214584703355
BU03211230,HTHP0017,Vijfwal,548.4494467140125
BU03211232,LTHP0086,Rovitech ICT BV,815.5615719937967
BU03211234,HTHP0017,Vijfwal,753.1646115146605
BU03211236,HTHP0017,Vijfwal,554.3414842952102
BU03211237,HTHP0017,Vijfwal,775.6523332369584
BU03211342,HTHP0017,Vijfwal,891.9283747707242
BU03211345,HTHP0023,Eneco HWC Nicolaas Beetsstraat,9207.437343387526
BU03212059,LTHP0086,Rovitech ICT BV,506.7001506814891
BU03440312,HTHP0024,Eneco HWC Overvecht,1523.3045536448722
BU03440321,HTHP0024,Eneco HWC Overvecht,195.9500840539436
BU03440322,HTHP0024,Eneco HWC Overvecht,1004.9953678315336
BU03440331,HTHP0024,Eneco HWC Overvecht,536.8195045931205
BU03440341,HTHP0024,Eneco HWC Overvecht,847.4380321462396
BU03440342,HTHP0024,Eneco HWC Overvecht,1235.7215561007451
BU03440431,HTHP0022,WOS_merkesstraat,684.3363604733611
BU03440533,HTHP0023,Eneco HWC Nicolaas Beetsstraat,4207.001886925356
BU03440534,HTHP0022,WOS_merkesstraat,843.4286834516697
BU03440535,HTHP0023,Eneco HWC Nicolaas Beetsstraat,2333.8610712791224
BU03440613,HTHP0085,Nuon Kanaalweg,971.1425402748334
BU03440628,HTHP0021,WOS_rijksstraatweg,3139.084429370372
BU03440822,HTHP0092,Eneco Merwedekanaal,3713.2877081488996
BU03440911,LTHP0116,WRK I,538.5737431198023
BU03440912,HTHP0016,Biowarmte Installatie Lage Weide,2392.3787622139635
BU03440913,HTHP0016,Biowarmte Installatie Lage Weide,1480.7169196160582
BU03440921,HTHP0016,Biowarmte Installatie Lage Weide,2311.224339273232
BU03440922,HTHP0016,Biowarmte Installatie Lage Weide,1607.4249732187616
BU03440932,HTHP0016,Biowarmte Installatie Lage Weide,1011.2084366507796
BU03440933,HTHP0021,WOS_rijksstraatweg,988.3272577006762
BU03440934,HTHP0021,WOS_rijksstraatweg,987.197035114413
BU03440941,HTHP0016,Biowarmte Installatie Lage Weide,1703.7227995697187
BU03440942,HTHP0067,BASF Nederland BV Catalysts,1629.1204018719409
BU03440943,HTHP0016,Biowarmte Installatie Lage Weide,2012.0858769570177
BU03530016,LTHP0195,Alticom IJsselstein,799.3656777584539
