code,name,geo_coordinate,number_of_house_equivalents_residences,number_of_house_equivalents_utility,m2_of_utility,total_heat_demand_of_residences,total_heat_demand_of_utility,total_electricity_demand_of_residences,total_electricity_demand_of_utility,geothermal_available,teo_available,ht_sources_available,lt_sources_available,preference_W_MTHT,preference_H,preference_E,elegible_W_LT,force_heat_network
BU00590000,Buitenpost,"[205560.96368262198, 585275.585195409]",2302.0,493.4751,73653.0,119704.0,29461.2,269334.0,66287.7,True,False,['HTHP0099'],[],0.26167957031446415,0.6537113087959401,0.08460912088959581,False,False
BU00590001,Twijzel,"[202569.472870371, 583688.496287581]",424.0,53.1377,7931.0,25440.0,3660.461542122,49184.0,7076.892305252,True,False,['HTHP0099'],[],0.13429220150110244,0.7997417577494565,0.06596604074944107,False,False
BU00590002,Kootstertille,"[202340.10398348802, 580923.917879215]",883.0,68.7018,10254.0,43267.0,3864.969231558,11479.0,1025.4,True,True,['HTHP0099'],[],0.16792720808215,0.713833210889262,0.11823958102858798,False,False
BU00590003,Twijzelerheide,"[199044.75754015302, 583960.921900038]",656.0,43.9989,6567.0,36080.0,2778.346159908,73472.0,5657.723079954,True,False,['HTHP0099'],[],0.12024234149370144,0.7707511099879475,0.10900654851835101,False,False
BU00590004,Gerkesklooster,"[209540.134784063, 584133.614349701]",322.0,31.2555,4665.0,17710.0,1973.6538504599998,36064.0,4019.07692523,True,True,[],['LTHP0242'],0.12644854665667563,0.740437552732397,0.1331139006109272,False,False
BU00590005,Verspreide huizen Buitenpost,"[206549.89929274897, 585051.047623695]",236.0,27.778200000000002,4146.0,14160.0,1913.538463452,26668.0,3603.830768274,True,True,['HTHP0099'],[],0.011797512475261963,0.660110148032491,0.32809233949224703,False,False
BU00590006,Verspreide huizen Twijzel,"[202511.42370776602, 583807.7839176711]",34.0,0.0,0,2312.0,0.0,340.0,0.0,True,False,['HTHP0099'],['LTHP0010'],0.0,0.7644117647058825,0.23558823529411768,False,False
BU00590007,Verspreide huizen Kootstertille,"[202142.30065206302, 581969.686212368]",128.0,5.561,830.0,7936.0,395.84615391,14848.0,740.61538436,True,True,['HTHP0099'],['LTHP0010'],0.0,0.8062148951761214,0.19378510482387856,False,False
BU00590008,Verspreide huizen Twijzelerheide,"[199300.632574405, 583504.9084223061]",93.0,13.9092,2076.0,6417.0,1101.8769235559998,10602.0,1820.492307852,True,True,['HTHP0099'],[],0.04145622033009528,0.846328738038895,0.11221504163100973,False,False
BU00590009,Verspreide huizen Gerkesklooster,"[209750.278983816, 584902.864861761]",29.0,0.0,0,1856.0,0.0,290.0,0.0,True,True,[],['LTHP0242'],0.0,0.919655172413793,0.0803448275862069,False,False
BU00590100,Stroobos,"[210218.321209655, 583825.852365943]",107.0,44.3138,6614.0,5671.0,2696.476925112,24182.0,11498.184612332001,True,True,[],['LTHP0242'],0.27320000116921694,0.6270828998987718,0.09971709893201122,False,False
BU00590102,Drogeham,"[203606.108202425, 579726.453774421]",652.0,60.125800000000005,8974.0,37164.0,3934.7538509860005,73676.0,7800.476921006,True,True,['HTHP0099'],[],0.13638281122123216,0.7593201532469867,0.10429703553178118,False,False
BU00590103,Augustinusga,"[206594.05488740103, 581374.848524006]",434.0,17.3932,2596.0,25606.0,1178.1846157840002,4774.0,219.66153946,True,True,['HTHP0099'],[],0.07523574330227213,0.8572454521430246,0.06751880455470341,False,False
BU00590107,Verspreide huizen Stroobos,"[209351.758228616, 583058.999949868]",22.0,0.0,0,1364.0,0.0,220.0,0.0,True,True,[],['LTHP0242'],0.0,0.8181818181818182,0.18181818181818182,False,False
BU00590108,Verspreide huizen Drogeham,"[203716.17192502602, 580027.625714449]",66.0,6.7469,1007.0,4026.0,472.515384383,7326.0,859.8230770780001,True,True,['HTHP0099'],['LTHP0010'],0.0,0.7850353540966905,0.21496464590330963,False,False
