code,name,geo_coordinate,neighbourhoods_in_range,used_heat,available_heat
HTHP0001,Avebe u.a. (Gasselternijveen),"[254450.0002, 556800.0005]","BU012,BU013,BU014",0,46042.0
HTHP0002,Avebe u.a. (Foxhol),"[243650.0002, 576850.0005]","BU011,BU012,BU013",18088.2128,46673.0
HTHP0003,Avebe u.a. (Ter Apelkanaal),"[266540.0002, 549498.0005]","BU010,BU011,BU012",0,47304.0
HTHP0004,Suiker Unie Vierverlaten,"[229011.0002, 581366.0005]","BU009,BU010,BU011",53940.62287058824,55503.0
HTHP0005,Nuon Power Generation BV (Eemshaven),"[252059.0801, 606940.2386]","BU008,BU009,BU010",114613.30154917648,10036016.64
HTHP0006,Eemscentrale,"[253453.2172, 605777.4958]","BU007,BU008,BU009",236577.77080815716,37275552.0
HTHP0007,Delesto BV,"[254588.488, 592077.86]","BU006,BU007,BU008",157373.4683294118,295176.96
HTHP0008,Eneco Bio Golden Raand C.V.,"[255923.2148, 591466.1945]","BU005,BU006,BU007",471662.6000004813,961217.28
