neighbourhood_code,heat_source_code,heat_source_name,distance_in_m
BU005,HTHP0008,Eneco Bio Golden Raand C.V.,23749.31025974954
BU006,HTHP0008,Eneco Bio Golden Raand C.V.,23377.321184385353
BU007,HTHP0007,Delesto BV,22188.09181010864
BU008,HTHP0006,Eemscentrale,29896.59922092801
BU009,HTHP0006,Eemscentrale,29304.673249174575
BU010,HTHP0005,Nuon Power Generation BV (Eemshaven),29710.406746172983
BU011,HTHP0004,Suiker Unie Vierverlaten,6451.122593992029
BU012,LTHP0001,"Bardeen Datahotel, Groningen",1322.5933709282017
BU013,HTHP0002,Avebe u.a. (Foxhol),9529.929642310712
