code,name,geo_coordinate,available_heat,neighbourhoods_in_range,used_heat
LTLP0001,Equinix AM5,"[124867, 478510]",102930,GM0437_19,0
LTLP0002,Equinix AM6,"[124049, 483346]",102930,"GM0437_13,GM0437_4,GM0437_31,GM0437_6,GM0437_17,GM0437_29,GM0437_5",0
LTLP0003,NLDC,"[114131, 478456]",111690,"GM0358_66,GM0358_25,GM0358_49",0
LTLP0004,Dataplace  Graan voor Visch Zuid,"[107061, 478277]",126144,nan,0
LTLP0005,Cogent Datacenter Amsterdam,"[109382, 488727]",126144,nan,0
LTLP0006,Switch Datacenters   Amsterdam,"[124451, 479656]",143445,"GM0437_19,GM0437_24",0
LTLP0007,EuroFiber Nijverheidsweg  Utrecht,"[134214, 457034]",157680,"GM0344_1_137,GM0344_1_106,GM0344_1_2,GM0344_1_118,GM0344_1_146,GM0344_1_20,GM0344_1_88,GM0344_1_180,GM0344_1_68",3691.628959276018
LTLP0008,RAM Infotechnology  Utrecht,"[133904, 453432]",157680,"GM0344_4_49,GM0344_4_22,GM0344_3_111,GM0344_3_27",6613.447474236376
LTLP0009,Digital Realty Trust NL   H J E  Wenckebachweg,"[123975, 483272]",190530,"GM0437_13,GM0437_4,GM0437_31,GM0437_6,GM0437_17,GM0437_29,GM0437_5",0
LTLP0010,Atom86,"[111566, 476520]",220752,"GM0358_17,GM0358_44,GM0358_68,GM0358_4,GM0358_45,GM0358_65",14385.92499420218
LTLP0011,Interxion AMS 3,"[112952, 477537]",315360,GM0358_33,0
LTLP0012,Interxion AMS 6,"[112612, 477662]",315360,nan,0
LTLP0013,S W I F T  Society for Worldwide Interbank Financial Telecommunication SCRL,"[96196, 461573]",409968,nan,0
LTLP0014,ABN AMRO Datacenter,"[119957, 480657]",409968,"GM0362_166,GM0362_73,GM0362_35,GM0362_175,GM0362_129,GM0362_84,GM0362_81,GM0362_88,GM0362_93,GM0362_25,GM0362_127,GM0362_12,GM0362_104,GM0362_107,GM0362_17,GM0362_152,GM0362_170,GM0362_54,GM0362_132,GM0362_149,GM0362_31",32901.19159815031
LTLP0015,ABN AMRO Datacenter,"[119786, 478878]",409968,"GM0362_36,GM0362_18,GM0362_22,GM0362_164,GM0362_72,GM0362_10,GM0362_183,GM0362_159,GM0362_126,GM0362_124,GM0362_146,GM0362_128,GM0362_105,GM0362_184,GM0362_118,GM0362_38,GM0362_23,GM0362_3,GM0362_57,GM0362_33",87242.62039617349
LTLP0016,Interoute Communications Ltd,"[111930, 477009]",409968,nan,0
LTLP0017,Interxion AMS 7,"[112589, 477228]",409968,"GM0358_9,GM0358_33,GM0358_24",0
LTLP0018,Verizon Schiphol,"[115080, 481757]",409968,nan,0
LTLP0019,NLDC   Aalsmeer,"[113091, 474818]",409968,"GM0358_51,GM0358_5,GM0358_32,GM0358_27,GM0358_21,GM0358_57,GM0358_8",13504.777918595806
LTLP0020,Datapark Nederland  Alblasserdam,"[105217, 430196]",409968,"GM0482_5,GM0482_6,GM0482_16,GM0482_19,GM0482_21,GM0482_11,GM0482_20,GM0482_24,GM0482_27",19129.00697770966
LTLP0021,Dataplace Rotterdam,"[106208, 428826]",409968,"GM0482_19,GM0590_23,GM1978_6,GM0590_32",9448.441628959275
LTLP0022,Tele2  POP   Alkmaar  Alkmaar,"[112725, 514921]",409968,nan,0
LTLP0023,Datacenter NoordHolland,"[113242, 515529]",409968,nan,0
LTLP0024,Tele2  POP   Amersfoort  Amersfoort,"[157171, 464869]",409968,"GM0307_2_147,GM0307_2_112,GM0307_2_162,GM0307_2_42,GM0307_2_136,GM0307_2_87",8514.25641025641
LTLP0025,Pink Roccade  Amsterdam  Amsterdam,"[125385, 479232]",409968,nan,0
LTLP0026,Tele2  Amsterdam 1   Amsterdam  Amsterdam,"[125519, 479117]",409968,nan,0
LTLP0027,Vancis  Amsterdam,"[125507, 485536]",409968,nan,0
LTLP0028,Viatel  Amsterdam  Amsterdam,"[117749, 485543]",409968,nan,0
LTLP0029,Equinix AM4,"[125922, 485276]",409968,nan,0
LTLP0030,Globalone,"[117220, 488799]",409968,nan,0
LTLP0031,Nikhef Housing,"[125286, 485458]",409968,nan,0
LTLP0032,RDC Datacentrum,"[120806, 483033]",409968,nan,0
LTLP0033,XS4ALL DC2,"[120901, 483275]",409968,nan,0
LTLP0034,Datahouse Capelle  Capelle aan den IJssel,"[99875, 440903]",409968,"GM0502_59,GM0502_63,GM0502_122,GM0502_85,GM0502_76,GM0502_101,GM0502_111,GM0502_93,GM0502_57,GM0502_9,GM0502_110,GM0502_8,GM0502_2,GM0502_60,GM0502_79,GM0502_51,GM0502_115,GM0502_26,GM0502_128,GM0502_47,GM0502_4,GM0502_134,GM0502_124,GM0502_48,GM0502_21,GM0502_55,GM0502_92,GM0502_16",0
LTLP0035,InterBox Internet  Capelle a d Ijssel,"[99816, 441914]",409968,"GM0599_5_113,GM0599_5_146,GM0599_5_22,GM0599_5_152,GM0502_76,GM0502_60,GM0502_79,GM1892_70,GM0502_55,GM0502_92",2165.3575572909062
LTLP0036,KPN Capelle  Capelle aan den IJssel,"[99520, 441746]",409968,"GM0599_5_113,GM0599_5_146,GM0599_5_26,GM0502_76,GM0502_57,GM0502_60,GM0502_79,GM1892_70,GM0599_5_19,GM0599_5_13,GM0502_55,GM0502_92",0
LTLP0037,Databarn Rivium B V,"[97167, 436083]",409968,"GM0502_78,GM0502_23,GM0542_49,GM0599_5_56,GM0599_5_79,GM0599_3_35,GM0599_3_63,GM0502_28,GM0599_5_116,GM0599_5_72",17990.106678764823
LTLP0038,ReliNed Cabine Culemborg  Culemborg,"[144189, 439503]",409968,nan,0
LTLP0039,Dataplace Utrecht,"[138344, 459472]",409968,"GM0310_51,GM0310_54,GM0310_23,GM0310_78,GM0344_1_82,GM0344_1_63",2396.6194871794874
LTLP0040,The Datacenter Group  TDCG    Delft,"[85698, 444833]",409968,"GM0503_142,GM0503_137,GM0503_235,GM0503_195,GM0503_53,GM0503_149,GM0503_191,GM0503_223,GM0503_99",42996.55277593566
LTLP0041,BIT  Ede  3x,"[171316, 449179]",409968,nan,0
LTLP0042,BIT 2A,"[171270, 448819]",409968,nan,0
LTLP0043,BIT 2B,"[171270, 448819]",409968,nan,0
LTLP0044,BIT 2C,"[171270, 448819]",409968,nan,0
LTLP0045,BIT 2D,"[171270, 448819]",409968,nan,0
LTLP0046,Bunker Kloetinge  Goes,"[52247, 391375]",409968,"GM0664_46,GM0664_57,GM0664_18,GM0664_81,GM0664_70,GM0664_77,GM0664_33,GM0664_8,GM0664_67,GM0664_58,GM0664_50,GM0664_72,GM0664_47,GM0664_26,GM0664_62,GM0664_71,GM0664_42",25948.34164905264
LTLP0047,Zeelandnet  Kamperland,"[51134, 391691]",409968,"GM0664_59,GM0664_46,GM0664_53,GM0664_37,GM0664_41,GM0664_1,GM0664_55,GM0664_6,GM0664_78,GM0664_73,GM0664_69,GM0664_29,GM0664_17,GM0664_67,GM0664_26,GM0664_3,GM0664_68,GM0664_23,GM0664_39,GM0664_31,GM0664_35,GM0664_42,GM0664_5,GM0664_15",38021.789893956826
LTLP0048,Alticom Goes,"[50686, 392388]",409968,"GM0664_64,GM0664_30,GM0664_90,GM0664_75,GM0664_59,GM0664_9,GM0664_60,GM0664_46,GM0664_53,GM0664_37,GM0664_41,GM0664_1,GM0664_78,GM0664_63,GM0664_43,GM0664_39,GM0664_31,GM0664_80",31861.10118450729
LTLP0049,Alticom Haarlem,"[106169, 489143]",409968,nan,0
LTLP0050,EvoSwitch,"[105821, 489565]",409968,nan,0
LTLP0051,Nedcomp  Hardinxveld Giessendam,"[119348, 426949]",409968,"GM0523_29,GM0523_20,GM0523_17,GM0523_30,GM0523_8,GM0523_24,GM1978_38",6895.2738461538465
LTLP0052,Nedcomp,"[115627, 426236]",409968,"GM0523_7,GM0523_6,GM0523_27,GM0523_33,GM0523_28,GM0523_31,GM0523_9,GM0610_8,GM0505_109",11001.551594878234
LTLP0053,ITDev Solutions  Houten,"[140034, 449651]",409968,"GM0321_85,GM0321_31,GM0321_72,GM0321_81,GM0321_54,GM0321_41,GM0321_62,GM0321_89,GM0321_34,GM0321_59,GM0321_23,GM0321_76,GM0321_39,GM0321_55,GM0321_65,GM0321_27,GM0321_36",31506.190769230772
LTLP0054,KPN Bunker  Bussum,"[142024, 475840]",409968,nan,0
LTLP0055,Alticom IJsselstein,"[132093, 446907]",409968,"GM0353_30,GM0353_41,GM0353_53,GM0353_46,GM0353_3,GM0353_23,GM0353_32",9940.212703766161
LTLP0056,Nick,"[182628, 580213]",409968,nan,0
LTLP0057,Tele2  POP   Leeuwarden  Leeuwarden,"[183183, 579635]",409968,nan,0
LTLP0058,Alticom Lopik  Lopikerkapel,"[132114, 445399]",409968,"GM0331_24,GM0353_23",0
LTLP0059,ZeelandNet Zakelijk  Goes,"[37873, 391981]",409968,"GM0687_4,GM0687_47,GM0664_47,GM0654_23",0
LTLP0060,Data Facilities Spijkenisse,"[80231, 430207]",409968,"GM1930_15,GM1930_17,GM1930_110,GM1930_21,GM1930_11",0
LTLP0061,Global Crossing  Amsterdam,"[123970, 483074]",409968,"GM0437_13,GM0437_4,GM0437_31,GM0437_6,GM0437_22,GM0437_17,GM0437_16,GM0437_29,GM0437_5",3780.44989276037
LTLP0062,Colt   Duivendrecht,"[123573, 482358]",409968,"GM0437_21,GM0437_18,GM0437_13,GM0437_12,GM0437_4,GM0437_31",0
LTLP0063,Essent Kabelcom  Aagtdorp,"[87012, 451027]",409968,"GM1926_12,GM1926_69,GM1926_42,GM1926_34,GM1926_38,GM1926_6,GM1926_50,GM1926_52,GM1926_82,GM1926_78,GM1926_55,GM1926_11,GM1926_39,GM1926_43,GM1926_74,GM1926_27,GM1926_28",23812.59179372865
LTLP0064,Tele2  Rijswijk Den Haag  Rijswijk Den Haag,"[82696, 450308]",409968,"GM0603_82,GM0603_78,GM0603_83,GM0603_36,GM0603_145,GM0603_95,GM0603_64,GM0603_86,GM0603_46,GM0603_122,GM0603_73,GM0603_150,GM0603_74,GM0603_125,GM0603_123",47018.83020564439
LTLP0065,Alticom Rotterdam  Rotterdam,"[90334, 432167]",409968,"GM0599_7_139,GM0599_7_180,GM0599_7_107,GM0599_7_32,GM0599_7_48",0
LTLP0066,Easynet DC Rotterdam  Rotterdam,"[91018, 435557]",409968,"GM0599_1_271,GM0599_1_238,GM0599_1_275,GM0599_1_167,GM0599_1_134,GM0599_1_8,GM0599_1_166,GM0599_1_138,GM0599_1_65,GM0599_1_32,GM0599_1_100,GM0599_1_293,GM0599_1_46,GM0599_1_93,GM0599_1_196,GM0599_1_156,GM0599_1_3,GM0599_1_139,GM0599_1_68,GM0599_1_185,GM0599_1_17,GM0599_1_163,GM0599_1_18,GM0599_1_228,GM0599_1_218",4018.0
LTLP0067,Intermax ? DC Schiecentrale Weena Schouwburgplein  Rotterdam,"[92273, 437583]",409968,"GM0599_1_180,GM0599_1_75,GM0599_1_1,GM0599_1_213,GM0599_1_269,GM0599_1_71,GM0599_1_252,GM0599_1_227,GM0599_1_224,GM0599_1_232,GM0599_1_4,GM0599_1_124,GM0599_1_111,GM0599_2_100,GM0599_1_45,GM0599_1_222,GM0599_1_120,GM0599_1_61,GM0599_1_128,GM0599_1_31,GM0599_1_174,GM0599_1_210,GM0599_1_51,GM0599_1_292,GM0599_1_95,GM0599_1_129,GM0599_1_282,GM0599_1_281,GM0599_2_89,GM0599_2_137,GM0599_2_187,GM0599_2_173,GM0599_2_188,GM0599_1_109,GM0599_2_60,GM0599_2_184",54035.75850756752
LTLP0068,KPN RT1  Rotterdam,"[92724, 437270]",409968,"GM0599_1_180,GM0599_1_116,GM0599_1_253,GM0599_1_141,GM0599_1_75,GM0599_1_1,GM0599_1_213,GM0599_1_269,GM0599_1_71,GM0599_1_252,GM0599_1_257,GM0599_1_274,GM0599_1_193,GM0599_1_94,GM0599_1_207,GM0599_1_87,GM0599_1_294,GM0599_1_78,GM0599_1_151,GM0599_1_47,GM0599_1_84,GM0599_1_6,GM0599_1_97,GM0599_1_64,GM0599_1_44,GM0599_1_197,GM0599_1_227,GM0599_1_224,GM0599_1_232,GM0599_1_0,GM0599_1_124,GM0599_1_111,GM0599_1_120,GM0599_1_128,GM0599_1_31,GM0599_1_174,GM0599_1_210,GM0599_1_51,GM0599_1_292,GM0599_1_95,GM0599_1_129",11661.280860473853
LTLP0069,Luna  Rotterdam  Rotterdam,"[91422, 435766]",409968,"GM0599_1_216,GM0599_1_58,GM0599_1_271,GM0599_1_232,GM0599_1_70,GM0599_1_234,GM0599_1_238,GM0599_1_275,GM0599_1_167,GM0599_1_80,GM0599_1_8,GM0599_1_138,GM0599_1_32,GM0599_1_100,GM0599_1_293,GM0599_1_46,GM0599_1_93,GM0599_1_196,GM0599_1_156,GM0599_1_3,GM0599_1_139,GM0599_1_68,GM0599_1_18",0
LTLP0070,World Port Center  Rotterdam  Rotterdam,"[93016, 435593]",409968,"GM0599_1_253,GM0599_1_201,GM0599_4_219,GM0599_4_143,GM0599_4_74,GM0599_4_108,GM0599_4_2,GM0599_4_119,GM0599_4_207,GM0599_4_21,GM0599_4_139,GM0599_1_74,GM0599_1_240,GM0599_1_153,GM0599_4_48,GM0599_4_92,GM0599_4_18",79157.9684866743
LTLP0071,Bytesnet   Spaanse kubus,"[88062, 438462]",409968,"GM0599_2_81,GM0599_2_53,GM0599_2_179,GM0599_2_159,GM0599_2_29,GM0599_2_28,GM0599_2_120,GM0599_2_122,GM0599_2_80,GM0606_31,GM0606_143,GM0606_150,GM0606_148,GM0606_30,GM0606_49",5314.31077357466
LTLP0072,NLDC   Rotterdam,"[90346, 432286]",409968,"GM0599_7_139,GM0599_7_134,GM0599_7_107,GM0599_7_32,GM0599_7_48",10347.735746606333
LTLP0073,SmartDC B V    Rotterdam,"[89478, 437581]",409968,"GM0599_1_113,GM0599_1_297,GM0599_1_158,GM0599_1_66,GM0599_1_34,GM0599_1_144,GM0599_1_189,GM0599_1_243,GM0599_2_143,GM0599_2_179,GM0599_1_140,GM0599_1_236,GM0599_1_255",15449.321774946822
LTLP0074,Tele2   8211  Spaanse Kubus,"[88064, 438458]",409968,"GM0599_2_81,GM0599_2_53,GM0599_2_179,GM0599_2_159,GM0599_2_29,GM0599_2_28,GM0599_2_120,GM0599_2_122,GM0599_2_80,GM0606_31,GM0606_143,GM0606_150,GM0606_148,GM0606_30,GM0606_49",0
LTLP0075,Verizon   Koperstraat,"[97514, 440485]",409968,"GM0599_5_4,GM0599_5_12,GM0599_5_154,GM0599_5_126,GM0599_5_32,GM0599_5_97,GM0599_5_148,GM0599_5_11,GM0599_5_93,GM0599_5_121,GM0599_5_20,GM0599_5_147,GM0599_5_50,GM0599_5_85,GM0599_5_1,GM0599_5_25,GM0599_5_168,GM0599_5_143,GM0599_5_145,GM0599_5_6,GM0599_5_34,GM0599_5_141",14218.000904977376
LTLP0076,Casema GV18  Den Haag,"[83289, 455090]",409968,"GM1916_2,GM0518_5_171,GM0518_5_115,GM0518_5_150,GM0518_5_41,GM0518_5_11,GM0518_5_95,GM0518_5_74,GM0518_5_227,GM0518_5_230,GM0518_5_141,GM0518_5_2,GM0518_5_5,GM0518_5_199,GM0518_5_177,GM0518_5_68,GM1916_22,GM1916_8,GM1916_110,GM1916_71,GM1916_61,GM0518_5_164,GM1916_28,GM1916_42,GM1916_50,GM1916_65,GM1916_10,GM0518_5_132,GM0518_5_56,GM0518_5_233",0
LTLP0077,Vodafone  Leidschenveen,"[86698, 453457]",409968,"GM0518_6_57,GM0518_6_66,GM0518_6_19,GM0518_6_3,GM0518_6_62,GM0518_6_50,GM0518_6_25",46524.232384179304
LTLP0078,Alticom Den Haag,"[82939, 455238]",409968,"GM0518_5_134,GM0518_5_192,GM0518_5_203,GM0518_5_103,GM0518_5_225,GM0518_5_188,GM0518_5_228,GM0518_5_108,GM0518_5_167,GM0518_5_150,GM0518_5_41,GM0518_5_11,GM0518_5_95,GM0518_5_74,GM0518_5_102,GM0518_5_230,GM0518_5_141,GM0518_5_2,GM0518_5_5,GM0518_5_199,GM0518_5_177,GM0518_5_68,GM0518_5_164,GM0518_5_132,GM0518_5_182,GM0518_5_156,GM0518_5_56,GM0518_5_233,GM0518_5_244",12233.061267168234
LTLP0079,Data Facilities The Hague,"[86392, 453410]",409968,"GM0518_6_19,GM0518_6_62,GM0518_6_50,GM0518_6_36",0
LTLP0080,Interoute  Soesterberg  Soesterberg,"[147501, 459456]",409968,"GM0355_27,GM0342_34,GM0342_12,GM0342_40,GM0342_45,GM0355_98",14964.502887590254
LTLP0081,Eurofiber   Eurofiber Datacenter Utrecht,"[130786, 460840]",409968,"GM1904_83,GM1904_59,GM1904_38,GM1904_48,GM1904_85,GM1904_18,GM1904_107,GM1904_26,GM1904_70,GM1904_95,GM1904_82,GM1904_36,GM1904_102,GM1904_61",40836.47490523806
LTLP0082,Greenhouse Datacenters B V,"[74219, 446525]",409968,"GM1783_14,GM1783_118,GM1783_73,GM1783_22,GM1783_175,GM1783_148,GM1783_41,GM1783_23,GM1783_109,GM1783_133",25935.55113122172
LTLP0083,Switch Datacenters   Woerden,"[121076, 455014]",409968,"GM0632_79,GM0632_41,GM0632_53,GM0632_61,GM0632_66,GM0632_80,GM0632_59,GM0632_86,GM0632_70,GM0632_16,GM0632_56,GM0632_7,GM0632_44,GM0632_18,GM0632_21,GM0632_42",66350.73077046675
LTLP0084,Alticom Wormer  Wormer,"[114910, 501245]",409968,nan,0
LTLP0085,Dataone Datacenter Wormer,"[114959, 500964]",409968,nan,0
LTLP0086,Interoute  Zandvoort  Zandvoort,"[96916, 488844]",409968,"GM0473_33,GM0473_35,GM0473_12,GM0473_8,GM0473_4,GM0473_31,GM0473_36",5832.089429453921
LTLP0087,ColoCenter  Zoetermeer,"[93937, 449814]",409968,"GM0637_209,GM0637_172,GM1621_20,GM0637_193,GM0637_45,GM0637_68,GM1621_62",32127.425641025642
LTLP0088,Global Switch,"[116953, 484157]",431430,nan,0
LTLP0089,Interxion AMS 5,"[111808, 477084]",473040,nan,0
LTLP0090,Interxion AMS 8,"[111062, 476659]",473040,"GM0358_68,GM0358_45",0
LTLP0091,NLDC   Oude Meer  Schiphol Rijk,"[113782, 478124]",473040,"GM0358_66,GM0358_25,GM0358_49",0
LTLP0092,EdgeConnex,"[112619, 477521]",567648,nan,0
LTLP0093,Maincubes,"[113078, 477309]",630720,"GM0358_9,GM0358_6,GM0358_33,GM0358_19,GM0358_24",3340.543327673957
LTLP0094,RWZI   Kralingseveer,"[97000, 435762]",640794,"GM0502_78,GM0542_49,GM0599_5_79,GM0599_3_35,GM0599_3_63,GM0502_28,GM0599_6_54,GM0599_5_72,GM0599_6_13",2522.769230769231
LTLP0095,RWZI   De Groote Lucht,"[80802, 435271]",659102,"GM0622_39,GM0622_71,GM0622_48,GM0622_140,GM0622_118,GM0622_129",13609.368325791856
LTLP0096,Interxion AMS 10,"[110803, 476467]",819936,nan,0
LTLP0097,RWZI Overvecht,"[135871, 457999]",1605182,"GM0344_1_69,GM0344_1_102,GM0344_1_140,GM0344_1_31,GM0344_1_181,GM0344_1_118,GM0344_1_76,GM0344_1_17,GM0344_1_10,GM0344_1_21,GM0344_1_153,GM0344_1_178,GM0344_1_169,GM0344_1_119,GM0344_1_93,GM0344_1_45,GM0344_1_125,GM0344_1_109,GM0344_1_22,GM0344_1_87,GM0344_1_162,GM0344_1_160",31370.978651208075
LTLP0098,RWZI   Amsterdam West,"[114645, 490219]",1094476,nan,0
