neighbourhood_code,heat_source_code,heat_source_name,distance_in_m
GM0307_2_73,HTLP0082,gas WKK eneco,801.1670624864468
GM0307_2_75,HTLP0082,gas WKK eneco,593.5585569385555
GM0307_1_86,HTLP0016,biomassaketel_deIsselt,3281.385235923757
GM0321_17,HTLP0018,Vijfwal,1178.57353319885
GM0321_56,HTLP0018,Vijfwal,534.6633533836435
GM0321_7,HTLP0018,Vijfwal,726.4215504172831
GM0321_0,HTLP0018,Vijfwal,484.6892290297644
GM0321_90,HTLP0018,Vijfwal,525.9612095981098
GM0321_40,HTLP0018,Vijfwal,812.9103119475036
GM0321_86,HTLP0018,Vijfwal,846.0008862247784
GM0321_25,HTLP0024,Eneco HWC Nicolaas Beetsstraat,8547.19964075092
GM0321_60,HTLP0024,Eneco HWC Nicolaas Beetsstraat,8438.78680428963
GM0344_2_23,HTLP0025,Eneco HWC Overvecht,1646.1148946155042
GM0344_1_66,HTLP0025,Eneco HWC Overvecht,1005.6547013334801
GM0344_1_65,HTLP0025,Eneco HWC Overvecht,902.0989491457722
GM0344_2_15,HTLP0023,WOS_merkesstraat,2198.3621737766334
GM0344_2_18,HTLP0025,Eneco HWC Overvecht,1606.3140669868635
GM0344_2_17,HTLP0023,WOS_merkesstraat,768.7919194713364
GM0344_1_125,HTLP0025,Eneco HWC Overvecht,231.61213683350255
GM0344_1_120,HTLP0025,Eneco HWC Overvecht,1334.737306582042
GM0344_1_71,HTLP0025,Eneco HWC Overvecht,487.82693191878195
GM0344_1_70,HTLP0025,Eneco HWC Overvecht,963.0961411594453
GM0344_2_222,HTLP0023,WOS_merkesstraat,2359.3935096009523
GM0344_1_109,HTLP0025,Eneco HWC Overvecht,179.30925501838166
GM0344_1_108,HTLP0094,Eneco Merwedekanaal,1488.136995979191
GM0344_2_221,HTLP0025,Eneco HWC Overvecht,1435.3704615447616
GM0344_1_101,HTLP0025,Eneco HWC Overvecht,1403.132023859852
GM0344_2_189,HTLP0023,WOS_merkesstraat,1452.753201790415
GM0344_1_119,HTLP0025,Eneco HWC Overvecht,146.00875908972444
GM0344_2_230,HTLP0025,Eneco HWC Overvecht,5707.1829768998105
GM0344_1_112,HTLP0025,Eneco HWC Overvecht,947.7434734070442
GM0344_1_111,HTLP0025,Eneco HWC Overvecht,1118.1626855679842
GM0344_3_124,HTLP0087,Nuon Kanaalweg,386.12526571501576
GM0344_3_128,HTLP0087,Nuon Kanaalweg,1263.591207782367
GM0344_2_197,HTLP0023,WOS_merkesstraat,2362.3278483276267
GM0344_2_196,HTLP0024,Eneco HWC Nicolaas Beetsstraat,1504.4022504549082
GM0344_3_135,HTLP0024,Eneco HWC Nicolaas Beetsstraat,615.1427019353972
GM0344_3_137,HTLP0024,Eneco HWC Nicolaas Beetsstraat,1399.0373636538948
GM0344_3_71,HTLP0087,Nuon Kanaalweg,1200.659613376292
GM0344_3_70,HTLP0024,Eneco HWC Nicolaas Beetsstraat,141.93953800418987
GM0344_3_44,HTLP0024,Eneco HWC Nicolaas Beetsstraat,571.743980162248
GM0344_3_112,HTLP0087,Nuon Kanaalweg,731.2124483201993
GM0344_3_208,HTLP0024,Eneco HWC Nicolaas Beetsstraat,417.6238771203434
GM0344_1_5,HTLP0025,Eneco HWC Overvecht,925.5228451609913
GM0344_1_9,HTLP0025,Eneco HWC Overvecht,1160.045537664818
GM0344_3_20,HTLP0024,Eneco HWC Nicolaas Beetsstraat,764.7933582113923
GM0344_1_0,HTLP0024,Eneco HWC Nicolaas Beetsstraat,1389.7086762401113
GM0344_3_205,HTLP0024,Eneco HWC Nicolaas Beetsstraat,97.97694539432321
GM0344_3_21,HTLP0024,Eneco HWC Nicolaas Beetsstraat,601.1452036986796
GM0344_1_1,HTLP0025,Eneco HWC Overvecht,1461.9103992119587
GM0344_2_72,HTLP0025,Eneco HWC Overvecht,1477.9360284197553
GM0344_3_36,HTLP0024,Eneco HWC Nicolaas Beetsstraat,527.5649716021014
GM0344_2_84,HTLP0023,WOS_merkesstraat,1519.209441662765
GM0344_2_87,HTLP0023,WOS_merkesstraat,951.9289922602463
GM0344_2_88,HTLP0023,WOS_merkesstraat,727.4179349492742
GM0344_4_32,HTLP0014,Biowarmte Installatie Lage Weide,1594.3920284926883
GM0344_1_182,HTLP0025,Eneco HWC Overvecht,593.7275157014242
GM0344_4_35,HTLP0022,WOS_rijksstraatweg,1227.7134485595454
GM0344_4_37,HTLP0014,Biowarmte Installatie Lage Weide,2127.4410334835316
GM0344_2_56,HTLP0023,WOS_merkesstraat,2174.5269578350067
GM0344_2_58,HTLP0023,WOS_merkesstraat,1356.9300261301044
GM0344_2_50,HTLP0024,Eneco HWC Nicolaas Beetsstraat,1673.1436486142234
GM0344_4_48,HTLP0014,Biowarmte Installatie Lage Weide,918.4972508456068
GM0344_3_9,HTLP0024,Eneco HWC Nicolaas Beetsstraat,364.2655818513883
GM0344_4_39,HTLP0014,Biowarmte Installatie Lage Weide,1371.6428357758375
GM0344_1_168,HTLP0025,Eneco HWC Overvecht,1008.715680007795
