buurtcode,QI_oppervlakteklasse,QI_bouwjaarklasse,aantal_gebouwen,totaal_oppervlakte,gem_epi,buurtnaam
BU001,Small,<1991,17,1587,2.29199748,Buurt A
BU001,Small,1991-2000,2,284,1.312676056,Buurt A
BU001,Medium,<1991,6,4190,2.165453461,Buurt A
BU001,Medium,1991-2000,1,1823,0.7,Buurt A
BU002,Small,<1991,32,2644,2.1798941,Buurt B
BU002,Small,1991-2000,2,216,0.741851852,Buurt B
BU002,Small,>2000,1,85,0.4,Buurt B
BU002,Medium,<1991,15,10942,2.031058307,Buurt B
BU003,Small,<1991,97,9153,2.385861466,Buurt C
BU003,Small,>2000,1,141,1.3,Buurt C
BU003,Medium,<1991,35,14716,2.308636178,Buurt C
BU003,Medium,>2000,1,327,1.3,Buurt C
BU003,Large,<1991,3,17065,2.655571052,Buurt C
BU004,Small,<1991,9,944,1.714088983,Buurt D
BU004,Small,1991-2000,1,198,1.3,Buurt D
BU004,Small,>2000,1,168,1.3,Buurt D
BU004,Medium,<1991,7,5367,1.938414384,Buurt D
BU004,Medium,>2000,1,244,1.3,Buurt D
BU004,Large,<1991,2,9639,1.328061002,Buurt D
BU004,Large,>2000,1,2617,1.3,Buurt D
BU005,Small,<1991,18,1702,2.478278496,Buurt E
BU005,Small,1991-2000,2,95,1.3,Buurt E
BU005,Small,>2000,1,124,1.3,Buurt E
BU005,Medium,<1991,6,3326,2.153370415,Buurt E
BU005,Medium,1991-2000,2,961,1.3,Buurt E
BU006,Small,<1991,64,5565,2.189901168,Buurt F
BU006,Small,1991-2000,9,956,1.084728033,Buurt F
BU006,Small,>2000,3,430,1.087906977,Buurt F
BU006,Medium,<1991,16,8792,2.041550273,Buurt F
BU006,Medium,1991-2000,9,4699,0.929329645,Buurt F
BU006,Medium,>2000,2,2217,0.862110961,Buurt F
BU006,Large,1991-2000,1,4739,1.04,Buurt F
BU006,Large,>2000,1,7319,1.3,Buurt F
BU007,Small,<1991,31,3085,2.156852512,Buurt G
BU007,Small,>2000,7,848,1.073879717,Buurt G
BU007,Medium,<1991,17,14339,2.079548783,Buurt G
BU007,Medium,>2000,6,2938,0.930306331,Buurt G
BU007,Large,<1991,3,12359,1.855364512,Buurt G
BU007,Large,1991-2000,1,17927,1.27,Buurt G
BU007,Large,>2000,1,2151,0.75,Buurt G
BU008,Small,<1991,24,2133,2.028035631,Buurt H
BU008,Small,>2000,2,121,1.3,Buurt H
BU008,Medium,<1991,20,14372,2.104972864,Buurt H
BU008,Medium,>2000,3,3552,0.994763514,Buurt H
BU008,Large,>2000,1,2454,1.3,Buurt H
BU009,Small,<1991,20,1231,2.075345248,Buurt I
BU009,Small,1991-2000,2,206,1.92,Buurt I
BU009,Small,>2000,2,177,1.3,Buurt I
BU009,Medium,<1991,12,11442,2.182625415,Buurt I
BU009,Medium,1991-2000,1,350,1.3,Buurt I
BU009,Medium,>2000,1,947,0.85,Buurt I
BU009,Large,<1991,1,14280,2.25,Buurt I
BU009,Large,1991-2000,1,3802,1,Buurt I
BU010,Small,<1991,10,972,1.78244856,Buurt J
BU010,Medium,<1991,6,3964,2.229409687,Buurt J
BU011,Small,<1991,3,353,1.309575071,Buurt K
BU011,Small,>2000,1,136,1.3,Buurt K
BU011,Medium,<1991,7,3640,1.989173077,Buurt K
BU011,Medium,>2000,1,314,1.3,Buurt K
BU012,Small,<1991,1,144,2.8,Buurt L
BU012,Small,>2000,28,2436,1.224642857,Buurt L
BU012,Medium,<1991,8,3387,2.536256274,Buurt L
BU012,Medium,1991-2000,3,1595,1.3,Buurt L
BU012,Large,<1991,1,2870,1.3,Buurt L
BU012,Large,1991-2000,2,14635,0.931806628,Buurt L
BU013,Medium,<1991,1,984,2.25,Buurt M
BU013,Medium,>2000,6,2183,1.3,Buurt M
BU014,Small,>2000,65,8032,1.276558765,Buurt N
BU014,Medium,<1991,3,2489,1.872137405,Buurt N
BU014,Medium,>2000,38,18500,1.183731892,Buurt N
BU014,Large,1991-2000,1,8666,1.65,Buurt N
BU014,Large,>2000,11,91104,1.028153319,Buurt N
