buurtcode,woningtype,QI_bouwjaarklasse,aantal_woningen,gem_epi,gem_oppervlakte,aantal_kleine_woningen,buurtnaam
BU001,Apartment,<1946,900,2.029222222,91.37222222,267,Buurt A
BU001,Apartment,1946-1974,52,1.754038462,71.28846154,26,Buurt A
BU001,Apartment,1991-2000,44,1.292045455,127.2954545,0,Buurt A
BU001,Apartment,1975-1990,75,1.453333333,108.6933333,0,Buurt A
BU001,Detached house,<1946,2,2.23,274,0,Buurt A
BU001,Semi-detached house,<1946,23,2.469565217,211.6956522,0,Buurt A
BU001,Terraced house,<1946,207,1.948115942,131.5217391,45,Buurt A
BU001,Terraced house,1991-2000,38,1.356578947,176.7368421,0,Buurt A
BU001,Terraced house,1975-1990,36,1.620833333,182.6944444,0,Buurt A
BU002,Apartment,2001-2010,3,1.31,99.66666667,0,Buurt B
BU002,Apartment,<1946,976,2.049036885,82.22233607,415,Buurt B
BU002,Apartment,1946-1974,15,1.937333333,61.6,8,Buurt B
BU002,Apartment,1991-2000,65,1.314923077,57.89230769,46,Buurt B
BU002,Apartment,1975-1990,173,1.475260116,71.34104046,79,Buurt B
BU002,Apartment,>2010,16,0.8875,29.875,16,Buurt B
BU002,Detached house,<1946,3,2.23,375,0,Buurt B
BU002,Semi-detached house,<1946,9,2.531111111,123.8888889,0,Buurt B
BU002,Terraced house,2001-2010,10,1.363,179.8,0,Buurt B
BU002,Terraced house,<1946,754,2.135039788,106.2838196,200,Buurt B
BU002,Terraced house,1946-1974,3,2.1,150.6666667,0,Buurt B
BU002,Terraced house,1991-2000,42,1.308333333,139.3333333,0,Buurt B
BU002,Terraced house,1975-1990,13,1.655384615,161.9230769,0,Buurt B
BU002,Terraced house,>2010,1,0.9,43,1,Buurt B
BU003,Apartment,2001-2010,25,1.2224,118.16,0,Buurt C
BU003,Apartment,<1946,1183,2.069256128,97.19019442,517,Buurt C
BU003,Apartment,1946-1974,179,1.434804469,56.03351955,145,Buurt C
BU003,Apartment,1991-2000,159,1.309496855,95.08176101,5,Buurt C
BU003,Apartment,1975-1990,169,1.405502959,89.33727811,37,Buurt C
BU003,Apartment,>2010,51,0.878039216,65.50980392,39,Buurt C
BU003,Detached house,2001-2010,1,1.11,156,0,Buurt C
BU003,Detached house,<1946,3,2.626666667,172,0,Buurt C
BU003,Semi-detached house,<1946,2,2.645,144,0,Buurt C
BU003,Terraced house,2001-2010,10,1.296,246.1,0,Buurt C
BU003,Terraced house,<1946,535,2.13588785,175.235514,48,Buurt C
BU003,Terraced house,1946-1974,3,2.06,175,0,Buurt C
BU003,Terraced house,1991-2000,70,1.351285714,151.6714286,0,Buurt C
BU003,Terraced house,1975-1990,115,1.600608696,129.4695652,1,Buurt C
BU004,Apartment,2001-2010,84,1.085833333,111.6904762,0,Buurt D
BU004,Apartment,<1946,321,1.913457944,87.34267913,67,Buurt D
BU004,Apartment,1946-1974,576,1.796840278,75.51736111,316,Buurt D
BU004,Apartment,1991-2000,32,1.13,90.375,0,Buurt D
BU004,Apartment,1975-1990,83,1.818433735,51.18072289,80,Buurt D
BU004,Apartment,>2010,56,0.935535714,35.89285714,56,Buurt D
BU004,Detached house,2001-2010,3,1.086666667,158.6666667,0,Buurt D
BU004,Detached house,<1946,1,2.8,373,0,Buurt D
BU004,Detached house,1946-1974,1,2.23,69,1,Buurt D
BU004,Semi-detached house,<1946,4,2.355,154,0,Buurt D
BU004,Terraced house,2001-2010,36,1.316111111,170.9166667,0,Buurt D
BU004,Terraced house,<1946,91,2.106263736,104.2967033,9,Buurt D
BU004,Terraced house,1946-1974,20,2.089,102.05,0,Buurt D
BU004,Terraced house,1991-2000,13,1.296923077,104.8461538,0,Buurt D
BU004,Terraced house,>2010,1,0.9,55,1,Buurt D
BU005,Apartment,<1946,459,1.865686275,73.82135076,217,Buurt E
BU005,Apartment,1946-1974,954,1.823532495,63.05555556,656,Buurt E
BU005,Apartment,1991-2000,52,1.256923077,73.65384615,42,Buurt E
BU005,Apartment,1975-1990,124,1.413951613,84.93548387,41,Buurt E
BU005,Apartment,>2010,184,0.986358696,82.43478261,5,Buurt E
BU005,Detached house,<1946,3,1.79,268,0,Buurt E
BU005,Detached house,1946-1974,4,2.23,286.25,0,Buurt E
BU005,Detached house,1975-1990,1,1.1,105,0,Buurt E
BU005,Detached house,>2010,1,1.04,138,0,Buurt E
BU005,Semi-detached house,<1946,18,1.458888889,105.5,9,Buurt E
BU005,Semi-detached house,1946-1974,2,2.49,103,0,Buurt E
BU005,Semi-detached house,1975-1990,1,1.8,126,0,Buurt E
BU005,Terraced house,<1946,277,1.440252708,82.81949458,137,Buurt E
BU005,Terraced house,1946-1974,50,1.5312,94.64,18,Buurt E
BU005,Terraced house,1991-2000,20,1.334,110.05,0,Buurt E
BU005,Terraced house,1975-1990,66,1.006969697,113.7424242,0,Buurt E
BU005,Terraced house,>2010,142,0.865352113,100.0352113,40,Buurt E
BU006,Apartment,2001-2010,181,1.070883978,101.3038674,17,Buurt F
BU006,Apartment,<1946,1848,1.990449134,79.09145022,905,Buurt F
BU006,Apartment,1946-1974,1573,1.698804832,64.40050858,1226,Buurt F
BU006,Apartment,1991-2000,344,1.358488372,80.69767442,120,Buurt F
BU006,Apartment,1975-1990,31,1.777096774,60.41935484,22,Buurt F
BU006,Apartment,>2010,139,0.939064748,73.24460432,44,Buurt F
BU006,Detached house,1946-1974,1,2.23,241,0,Buurt F
BU006,Semi-detached house,<1946,9,1.582222222,80,5,Buurt F
BU006,Terraced house,2001-2010,101,1.14009901,128.4554455,5,Buurt F
BU006,Terraced house,<1946,268,1.983843284,110.5074627,85,Buurt F
BU006,Terraced house,1946-1974,5,2.108,63.4,4,Buurt F
BU006,Terraced house,1991-2000,159,1.281572327,94.36477987,0,Buurt F
BU006,Terraced house,1975-1990,1,1.66,102,0,Buurt F
BU006,Terraced house,>2010,61,0.867377049,137.6393443,0,Buurt F
BU007,Apartment,2001-2010,473,1.191057082,63.57716702,244,Buurt G
BU007,Apartment,<1946,1937,2.13198761,82.7661332,779,Buurt G
BU007,Apartment,1946-1974,8,2.2,122.625,1,Buurt G
BU007,Apartment,1975-1990,52,1.398461538,95.92307692,13,Buurt G
BU007,Apartment,>2010,115,0.661652174,37.62608696,115,Buurt G
BU007,Detached house,1946-1974,2,2.23,247.5,0,Buurt G
BU007,Detached house,1975-1990,11,1.82,135,0,Buurt G
BU007,Semi-detached house,<1946,3,2.49,197.3333333,0,Buurt G
BU007,Terraced house,2001-2010,33,1.304242424,136.969697,0,Buurt G
BU007,Terraced house,<1946,286,2.08027972,125.506993,37,Buurt G
