neighbourhood_code,Vraag_perWEQ_RV [ giga J per WEQ*yr],Vraag_perWEQ_TW [ giga J per WEQ*yr],Vraag_perWEQ_K [ giga J per WEQ*yr],Vraag_perWEQ_App [ giga J per WEQ*yr],Vraag_perWEQ_Vent [ giga J per WEQ*yr]
BU001,40,7,2,16,0
BU002,41,8,0,11,0
BU003,34,7,1,17,0
BU004,49,7,1,12,0
BU005,46,4,4,41,0
BU006,69,8,4,12,0
BU007,44,5,4,30,0
BU008,53,9,1,11,0
BU009,31,7,1,12,0
BU010,60,6,2,17,0
BU011,70,8,0,10,0
BU012,97,4,17,17,0
BU013,42,7,1,16,0
BU014,45,7,1,16,0
