code,name,geo_coordinate,available_heat,neighbourhoods_in_range,used_heat
LTHP0001,BV Preparatiebedrijf Lommerse  Uitendaal,"[100379.0, 480139]",3.1369863010000003,nan,0
LTHP0002,RWZI   Nijkerk,"[161407.0, 471751]",3.144675926,nan,0
LTHP0003,RWZI   Waddinxveen Randenburg,"[105326.0, 452095]",3.144675926,"BU06270302,BU06270303,BU06270304,BU06270407,BU19010617,BU19010618",0
LTHP0004,RWZI   Barendrecht,"[96069.0, 427702]",3.193055556,"BU04893162,BU04895080,BU19630199,BU04893161",0
LTHP0005,RWZI   Soest,"[148791.0, 467212]",3.193055556,"BU03420103,BU03420404,BU03080400",0
LTHP0006,RWZI   Driebergen,"[146276.0, 450920]",3.222083333,"BU15810108,BU15810102,BU15810107",0
LTHP0007,Equinix AM5,"[124867.0, 478510]",3.263888889,BU04370008,0
LTHP0008,Equinix AM6,"[124049.0, 483346]",3.263888889,BU04370001,0
LTHP0009,Het Kaasmerk BV,"[95258.0, 463240]",3.266,nan,0
LTHP0010,RWZI   Kootstertille,"[203653.0, 582110]",3.309166667,"BU00590007,BU00590006,BU00590108",0
LTHP0011,RWZI   De Meern,"[128566.0, 455734]",5.6,"BU03441023,BU03441022,BU03441021,BU06320604,BU03441024",0
LTHP0012,RWZI   Willem Annapolder,"[53838.0, 385524]",3.4368888889999996,"BU07039998,BU06541302,BU06780009,BU06789998,BU06549998",0
LTHP0013,NLDC,"[114131.0, 478456]",3.541666667,"BU03580206,BU03580200",0
LTHP0014,RWZI   Rhenen,"[165405.0, 442334]",3.6575,"BU03400801,BU03401001,BU03400901",0
LTHP0015,RWZI   Woerden,"[118154.0, 455441]",3.6575,"BU06320401,BU06320402,BU06320202,BU06320201",0
LTHP0016,Farm Frites BV,"[70696.0, 426685]",3.73,"BU05300901,BU05300302,BU05309997,BU05301002,BU05301003,BU05300400",0
LTHP0017,Initworks BV,"[91190.0, 435351]",3.75,"BU05991574,BU05990118,BU05990329,BU05990320,BU05992194",0
LTHP0018,Aanholt Supermarkt BV,"[166411.0, 446405]",3.935564,"BU03450202,BU03400601,BU03450205,BU03450208,BU03450204,BU03450203",0
LTHP0019,Albert Heijn BV,"[164970.0, 448939]",3.935564,"BU03450500,BU03450501,BU03450503,BU03450504,BU03450502",0
LTHP0020,Hoogvliet BV,"[166164.0, 449142]",3.935564,"BU03450402,BU03450400,BU03450003,BU03450401,BU03450500,BU03450000",0
LTHP0021,Superkees BV,"[167227.0, 449789]",3.935564,"BU03450402,BU03450403,BU03450404,BU03450100,BU03450102",0
LTHP0022,RWZI   De Groote Zaag,"[100593.0, 434758]",3.994222222,"BU19310104,BU19310108,BU05970700",0
LTHP0023,W_Gemaal_1602,"[62811.0, 427969]",4.0,"BU05309998,BU19249997,BU19249998,BU05300900,BU05309997,BU19240204",0
LTHP0024,W_Gemaal_591,"[112752.0, 513500]",4.0,nan,0
LTHP0025,W_Gemaal_969,"[106552.0, 451700]",4.0,"BU06270407,BU19010617,BU19010621",0
LTHP0026,W_Gemaal_742,"[125252.0, 483500]",4.0,BU04370001,0
LTHP0027,W_Gemaal_1252,"[66552.0, 420700]",4.0,"BU19240705,BU19240802,BU19241006",0
LTHP0028,W_Gemaal_1254,"[66652.0, 420500]",4.0,"BU19240705,BU19240802,BU19241006",0
LTHP0029,W_Gemaal_1269,"[66352.0, 419300]",4.0,"BU19240702,BU19240704,BU19240705",0
LTHP0030,W_Gemaal_714,"[107552.0, 489200]",4.0,nan,0
LTHP0031,W_Gemaal_718,"[108652.0, 488500]",4.0,nan,0
LTHP0032,W_Gemaal_806,"[103852.0, 474500]",4.0,nan,0
LTHP0033,W_Gemaal_999,"[137352.0, 448500]",4.0,"BU03561800,BU03212054,BU03212056,BU03212064,BU03215192",0
LTHP0034,W_Gemaal_1045,"[97252.0, 444800]",4.0,"BU16213334,BU18920293,BU16211514,BU18920208",0
LTHP0035,W_Gemaal_1194,"[82152.0, 429900]",4.0,"BU19301002,BU19301003,BU19301701,BU19300102,BU19300106,BU19300105,BU19301004,BU19300302,BU19300101,BU19300103",0
LTHP0036,W_Gemaal_629,"[109352.0, 505600]",4.0,"BU04500005,BU04500006,BU04500001,BU04500004",0
LTHP0037,W_Gemaal_983,"[105052.0, 450000]",4.0,"BU06270402,BU06270401,BU06270404,BU06270405,BU06270403,BU06270407,BU06270408",0
LTHP0038,W_Gemaal_1026,"[97752.0, 446300]",4.0,"BU18920291,BU16213334,BU18920293",0
LTHP0039,Dataplace  Graan voor Visch Zuid,"[107061.0, 478277]",4.0,nan,0
LTHP0040,Cogent Datacenter Amsterdam,"[109382.0, 488727]",4.0,nan,0
LTHP0041,RWZI   Zwijndrecht,"[99691.0, 424975]",4.138393519,"BU19630499,BU19630400,BU06420705,BU06420703,BU06420704",0
LTHP0042,Naamloze Vennootschap Linde Gas Benelux,"[86963.0, 435384]",4.29,"BU06060405,BU06060307,BU06060306,BU06060403,BU06060402,BU06060404",0
LTHP0043,RWZI   Leidsche Rijn,"[131140.0, 458465]",7.1,"BU03440133,BU03440912,BU03440911,BU19041201,BU03441014",0
LTHP0044,RWZI   Veenendaal,"[164300.0, 450000]",4.354166667,"BU03390009,BU03450501,BU15810302,BU03450502",0
LTHP0045,RWZI   Heiloo,"[109871.0, 512162]",4.354166667,nan,0
LTHP0046,RWZI   Horstermeer,"[134890.0, 474262]",4.516722222,nan,0
LTHP0047,RWZI   Gouda,"[108418.0, 446219]",4.542847222,"BU19310300,BU05130204,BU05130201,BU05130200,BU05130203,BU05130809",0
LTHP0048,Switch Datacenters   Amsterdam,"[124451.0, 479656]",4.5486111110000005,BU04370008,0
LTHP0049,RWZI   Hilversum,"[142430.0, 470573]",4.6,nan,0
LTHP0050,RWZI   Amstelveen,"[121259.0, 480565]",4.603805556,BU03620701,0
LTHP0051,RWZI   Houten,"[137354.0, 448740]",4.96375,"BU03561800,BU03212054,BU03212056,BU03212060,BU03212064,BU03215192",0
LTHP0052,W_Gemaal_625,"[110452.0, 506600]",5.0,"BU03830501,BU03830511,BU04500006",0
LTHP0053,Debanensite NL BV,"[112387.0, 514448]",5.0,nan,0
LTHP0054,Uniserver Internet BV,"[112387.0, 514448]",5.0,nan,0
LTHP0055,A  Friend of Mine BV,"[123628.0, 487692]",5.0,nan,0
LTHP0056,Architectenweb BV,"[127154.0, 486235]",5.0,nan,0
LTHP0057,Equinix  Netherlands  BV,"[124631.0, 479274]",5.0,BU04370008,0
LTHP0058,Futurewhiz Media BV,"[122333.0, 485987]",5.0,nan,0
LTHP0059,Global Sports Media BV,"[123140.0, 484546]",5.0,nan,0
LTHP0060,Google Netherlands BV,"[119884.0, 483433]",5.0,nan,0
LTHP0061,Greenhost BV,"[122181.0, 486566]",5.0,nan,0
LTHP0062,Grey Matter Entertainment BV,"[117868.0, 483737]",5.0,nan,0
LTHP0063,Groupon Netherlands BV,"[123140.0, 484546]",5.0,nan,0
LTHP0064,Jobsites BV,"[120666.0, 486221]",5.0,nan,0
LTHP0065,Kenes Education BV,"[122937.0, 487852]",5.0,nan,0
LTHP0066,Nutrill,"[122279.0, 484474]",5.0,nan,0
LTHP0067,Presspage BV,"[125000.0, 479895]",5.0,nan,0
LTHP0068,Provarix BV,"[118835.0, 485622]",5.0,nan,0
LTHP0069,Rackspace Benelux BV,"[117433.0, 488770]",5.0,nan,0
LTHP0070,Realworks BV,"[119868.0, 486415]",5.0,nan,0
LTHP0071,SO Wifi BV,"[120537.0, 486511]",5.0,nan,0
LTHP0072,Vandebron Energie BV,"[121469.0, 486471]",5.0,nan,0
LTHP0073,Yourscene BV,"[119681.0, 486684]",5.0,nan,0
LTHP0074,Z24 Media BV,"[124098.0, 486665]",5.0,nan,0
LTHP0075,Newest Industry BV,"[78581.0, 390096]",5.0,nan,0
LTHP0076,Webawere Internet Solutions BV,"[126247.0, 473467]",5.0,"BU07360403,BU07360802",0
LTHP0077,Routit BV,"[170785.0, 448542]",5.0,nan,0
LTHP0078,Digimo Media Groep BV,"[104040.0, 488779]",5.0,nan,0
LTHP0079,Hosting NL BV,"[104761.0, 486568]",5.0,nan,0
LTHP0080,Supercharged Facilities Netherlands BV,"[103565.0, 487660]",5.0,nan,0
LTHP0081,Verzekeringssite BV,"[104995.0, 489069]",5.0,nan,0
LTHP0082,Adusem BV,"[107791.0, 479317]",5.0,nan,0
LTHP0083,Autodata Nederland BV,"[112316.0, 478374]",5.0,nan,0
LTHP0084,Basefarm BV,"[111146.0, 476905]",5.0,nan,0
LTHP0085,Secure Internet Machines  SIM  BV,"[108678.0, 511411]",5.0,nan,0
LTHP0086,Rovitech ICT BV,"[139029.0, 447953]",5.0,"BU03211232,BU03211252,BU03212058,BU03212061,BU03212057,BU03212059",0
LTHP0087,Telecom  Paper BV,"[140208.0, 449029]",5.0,"BU03211342,BU03211010,BU03211015,BU03211012,BU03211120,BU03211122,BU03211151,BU03211125,BU03211121,BU03212062",0
LTHP0088,ASP4All Hosting BV,"[145215.0, 479880]",5.0,nan,0
LTHP0089,Proximedia Nederland BV,"[132271.0, 447367]",5.0,"BU03530023,BU03530012,BU03530014,BU03530017,BU03530015,BU03530018,BU03530013",0
LTHP0090,Friks Web   Marketing VOF,"[182926.0, 579610]",5.0,nan,0
LTHP0091,Datacenter Services BV,"[157203.0, 461869]",5.0,"BU03270400,BU03270109,BU03270501,BU03270500",0
LTHP0092,Pcextreme BV,"[32026.0, 390679]",5.0,"BU06870000,BU06870300,BU06870200,BU06870301",0
LTHP0093,Infostrada Statistics BV,"[134615.0, 448614]",5.0,"BU03562500,BU03561400,BU03562400,BU03560100,BU03561500,BU03561000,BU03560500",0
LTHP0094,Knowledge Exchange BV,"[135461.0, 449312]",5.0,"BU03562100,BU03562500",0
LTHP0095,Men4Media BV,"[161487.0, 470328]",5.0,nan,0
LTHP0096,Disk ad Publishing and Communication BV,"[123317.0, 482820]",5.0,"BU04370002,BU04370001",0
LTHP0097,Le Nez De Saumon BV,"[123843.0, 483068]",5.0,"BU04370002,BU04370001",0
LTHP0098,Weblab NL BV,"[92484.0, 437460]",5.0,"BU05990516,BU05990535,BU05990515,BU05990110,BU05990112,BU05990113",0
LTHP0099,Weblab NL BV,"[92484.0, 437460]",5.0,"BU05990516,BU05990535,BU05990515,BU05990110,BU05990112,BU05990113",0
LTHP0100,Youwe Concept BV,"[92421.0, 437349]",5.0,"BU05990110,BU05990112,BU05990111,BU05990113",0
LTHP0101,Planmen Nederland BV,"[129118.0, 463961]",5.0,"BU19040209,BU19040212,BU19040213,BU19040206,BU19040202",0
LTHP0102,Autoscout24 Nederland BV,"[135054.0, 443128]",5.0,"BU19610209,BU19610104,BU19610201",0
LTHP0103,Netrex NL BV,"[120860.0, 455465]",5.0,"BU06320103,BU06320301,BU06320303,BU06320105,BU06320104,BU06320101",0
LTHP0104,Pincode Telenet BV,"[121260.0, 454595]",5.0,"BU06320301,BU06320204,BU06320302,BU06320303,BU06320304",0
LTHP0105,EuroFiber Nijverheidsweg  Utrecht,"[134214.0, 457034]",5.0,"BU03440224,BU03440231,BU03440132,BU03440131",0
LTHP0106,RAM Infotechnology  Utrecht,"[133904.0, 453432]",5.0,"BU03441041,BU03440953",0
LTHP0107,RWZI   Nieuwe Waterweg,"[70431.0, 442877]",5.200810185,"BU05991702,BU05991703",0
LTHP0108,RWZI   Leeuwarden,"[184427.0, 578946]",5.249189815,nan,0
LTHP0109,RWZI   Groenedijk,"[101048.0, 438227]",5.515277778,"BU05020335,BU05020444,BU05020441,BU05020442,BU05020445,BU05020448,BU05020449,BU05020338,BU05020337,BU05420003,BU05020447",0
LTHP0110,RWZI   Walcheren,"[31924.0, 385229]",5.5515625,"BU07189998,BU07180701,BU07180601",0
LTHP0111,RWZI   Zeist,"[142873.0, 455509]",5.573333333,"BU03550206,BU03550309,BU03550302,BU03101002,BU03550305,BU03550303,BU03550304",0
LTHP0112,Sanorice Netherlands BV,"[167214.0, 447208]",5.703908,"BU03450205,BU03450207,BU03450201,BU03450206,BU03450200",0
LTHP0113,WRK II,"[132757.0, 455781]",6.0,"BU03440933,BU03440932,BU03440931,BU03440941,BU03440942,BU03440943",0
LTHP0114,WRK II,"[131647.0, 457014]",6.0,"BU03440913,BU03440912,BU03440922,BU03440921",0
LTHP0115,WRK I,"[132530.0, 456201]",6.0,"BU03440933,BU03440932,BU03440922,BU03440931,BU03440941,BU03440942",0
LTHP0116,WRK I,"[131410.0, 457535]",6.0,"BU03440913,BU03440912,BU03440911",0
LTHP0117,Digital Realty Trust NL   H J E  Wenckebachweg,"[123975.0, 483272]",6.041666667,"BU04370002,BU04370001",0
LTHP0118,RWZI   Haarlem Waarderpolder,"[105879.0, 490183]",6.047453704,nan,0
LTHP0119,RWZI   Nieuwegein,"[133422.0, 446361]",6.095833333,"BU03561200,BU03561100,BU03562300,BU03530030",0
LTHP0120,RWZI   Velsen,"[105597.0, 497038]",6.444166667,BU03750901,0
LTHP0121,RWZI   Hoogvliet,"[82417.0, 432428]",6.560277778,"BU05991692,BU05992295,BU05992306",0
LTHP0122,Archer Daniels Midland Europoort BV,"[68016.0, 441498]",6.92,BU05992307,0
LTHP0123,Loders Croklaan BV,"[103277.0, 424496]",6.92,"BU05051901,BU06420505,BU05051906,BU06420701,BU06420508,BU06420507,BU06420509,BU06420506,BU06420510,BU06420504",0
LTHP0124,Sime Darby Unimills BV,"[103277.0, 424496]",6.92,"BU05051901,BU06420505,BU05051906,BU06420701,BU06420508,BU06420507,BU06420509,BU06420506,BU06420510,BU06420504",0
LTHP0125,RWZI   Ridderkerk,"[102289.0, 431886]",6.966666667,"BU05971000,BU05970500",0
LTHP0126,Atom86,"[111566.0, 476520]",7.0,"BU03580000,BU03580200",0
LTHP0127,RWZI   Leiden Zuid West,"[92419.0, 461409]",7.663333333,nan,0
LTHP0128,RWZI   Ede,"[170940.0, 450253]",7.692361111,nan,0
LTHP0129,A H  Bunnik BV,"[165355.0, 446648]",7.871128,"BU03450507,BU03400504,BU03450302,BU03401101,BU03400502,BU03400503,BU03450203",0
LTHP0130,Hoek Foodretail BV,"[167505.0, 449356]",7.871128,"BU03450402,BU03450403,BU03450103,BU03450100,BU03450102,BU03450001",0
LTHP0131,Hoogvliet BV,"[166442.0, 448441]",7.871128,"BU03450400,BU03450003,BU03450300,BU03450200,BU03450002,BU03450000",0
LTHP0132,S  Huibers Veenendaal BV,"[165742.0, 449052]",7.871128,"BU03450400,BU03450401,BU03450500,BU03450300,BU03450502",0
LTHP0133,RWZI   Amersfoort,"[152669.0, 465001]",11.0,"BU03070404,BU03072700,BU03420702",0
LTHP0134,RWZI   Kortenoord,"[103071.0, 442971]",8.418055556,"BU18920405,BU18920404,BU18920491,BU18920406,BU19310208",0
LTHP0135,RWZI   Westpoort,"[115092.0, 492034]",9.9275,nan,0
LTHP0136,Interxion AMS 3,"[112952.0, 477537]",10.0,BU03580200,0
LTHP0137,Interxion AMS 6,"[112612.0, 477662]",10.0,nan,0
LTHP0138,RWZI   Zwanenburg,"[110648.0, 486380]",10.01458333,nan,0
LTHP0139,RWZI   Hazerswoude Dorp,"[101232.0, 457130]",11.0,nan,0
LTHP0140,RWZI   Goudswaard,"[78093.0, 422722]",11.0,"BU19631199,BU19631100",0
LTHP0141,RWZI   Stompwijk,"[92343.0, 456479]",11.0,"BU19160401,BU19160400",0
LTHP0142,RWZI   Gelkenes,"[117478.0, 438146]",11.0,"BU19780610,BU19780602",0
LTHP0143,RWZI   Aardam West,"[108442.0, 464392]",11.0,nan,0
LTHP0144,RWZI   Langeraar,"[108604.0, 467684]",11.0,nan,0
LTHP0145,RWZI   Zuidland,"[77192.0, 424576]",11.0,"BU19631199,BU19303105",0
LTHP0146,RWZI   Houtrust,"[78269.0, 456222]",11.0,"BU05180800,BU05180908,BU05180907,BU05180702,BU05181309",0
LTHP0147,RWZI   Sint Philipsland,"[68985.0, 403488]",11.0,"BU07160709,BU07169998",0
LTHP0148,RWZI   Burgum,"[196120.0, 577593]",11.0,"BU07370000,BU07370609,BU07370600",0
LTHP0149,Promelca BV,"[125195.0, 426844]",11.09,"BU05120600,BU05120800,BU05120700",0
LTHP0150,De Indruk Internetcommunicatie BV,"[167980.0, 449802]",11.813345,"BU03450103,BU03450100,BU03450102,BU03450105",0
LTHP0151,WRK III,"[133108.0, 455309]",12.0,"BU03440933,BU03440934,BU03440942,BU03440943,BU03440951",0
LTHP0152,WRK III,"[132007.0, 456485]",12.0,"BU03440913,BU03440932,BU03440922,BU03440921,BU03440941",0
LTHP0153,S W I F T  Society for Worldwide Interbank Financial Telecommunication SCRL,"[96196.0, 461573]",13.0,nan,0
LTHP0154,ABN AMRO Datacenter,"[119957.0, 480657]",13.0,"BU03620602,BU03620304,BU03620303,BU03620603,BU03620601,BU03620102,BU03620502",0
LTHP0155,ABN AMRO Datacenter,"[119786.0, 478878]",13.0,"BU03620903,BU03620803,BU03620401,BU03620805,BU03620902,BU03620901,BU03620604",0
LTHP0156,Interoute Communications Ltd,"[111930.0, 477009]",13.0,nan,0
LTHP0157,Interxion AMS 7,"[112589.0, 477228]",13.0,BU03580200,0
LTHP0158,Verizon Schiphol,"[115080.0, 481757]",13.0,nan,0
LTHP0159,NLDC   Aalsmeer,"[113091.0, 474818]",13.0,"BU03580001,BU03580004",0
LTHP0160,Datapark Nederland  Alblasserdam,"[105217.0, 430196]",13.0,"BU04820502,BU04820503,BU04820501,BU04820105,BU04820102,BU04820103,BU04820104",0
LTHP0161,Dataplace Rotterdam,"[106208.0, 428826]",13.0,"BU19781604,BU05900001,BU05900002,BU04820502,BU04820503,BU04820604,BU04820501",0
LTHP0162,Tele2  POP   Alkmaar  Alkmaar,"[112725.0, 514921]",13.0,nan,0
LTHP0163,Datacenter NoordHolland,"[113242.0, 515529]",13.0,nan,0
LTHP0164,Tele2  POP   Amersfoort  Amersfoort,"[157171.0, 464869]",13.0,"BU03072500,BU03072501,BU03071101,BU03071100,BU03072502,BU03072503",0
LTHP0165,Pink Roccade  Amsterdam  Amsterdam,"[125385.0, 479232]",13.0,nan,0
LTHP0166,Tele2  Amsterdam 1   Amsterdam  Amsterdam,"[125519.0, 479117]",13.0,nan,0
LTHP0167,Vancis  Amsterdam,"[125507.0, 485536]",13.0,nan,0
LTHP0168,Viatel  Amsterdam  Amsterdam,"[117749.0, 485543]",13.0,nan,0
LTHP0169,Equinix AM4,"[125922.0, 485276]",13.0,nan,0
LTHP0170,Globalone,"[117220.0, 488799]",13.0,nan,0
LTHP0171,Nikhef Housing,"[125286.0, 485458]",13.0,nan,0
LTHP0172,RDC Datacentrum,"[120806.0, 483033]",13.0,nan,0
LTHP0173,XS4ALL DC2,"[120901.0, 483275]",13.0,nan,0
LTHP0174,Datahouse Capelle  Capelle aan den IJssel,"[99875.0, 440903]",13.0,"BU05020889,BU05020887,BU05020888,BU05020880,BU05020777,BU05020775,BU05020776,BU05020778,BU05020779,BU05020771,BU05020886",0
LTHP0175,InterBox Internet  Capelle a d Ijssel,"[99816.0, 441914]",13.0,"BU05991466,BU05991468,BU05020884,BU05020885,BU18920493,BU05020887,BU05020888,BU05020880",0
LTHP0176,KPN Capelle  Capelle aan den IJssel,"[99520.0, 441746]",13.0,"BU05991466,BU05020884,BU05020885,BU18920493,BU05020887,BU05020888,BU05020883,BU05020880",0
LTHP0177,Databarn Rivium B V,"[97167.0, 436083]",13.0,"BU05020991,BU05991446,BU05020992,BU05420000,BU05020110,BU05020996,BU05020998,BU05020997,BU05020995",0
LTHP0178,ReliNed Cabine Culemborg  Culemborg,"[144189.0, 439503]",13.0,nan,0
LTHP0179,Dataplace Utrecht,"[138344.0, 459472]",13.0,"BU03100402,BU03100401,BU03440343",0
LTHP0180,The Datacenter Group  TDCG    Delft,"[85698.0, 444833]",13.0,"BU05032703,BU05032900,BU05032901",0
LTHP0181,BIT  Ede  3x,"[171316.0, 449179]",13.0,nan,0
LTHP0182,BIT 2A,"[171270.0, 448819]",13.0,nan,0
LTHP0183,BIT 2B,"[171270.0, 448819]",13.0,nan,0
LTHP0184,BIT 2C,"[171270.0, 448819]",13.0,nan,0
LTHP0185,BIT 2D,"[171270.0, 448819]",13.0,nan,0
LTHP0186,Bunker Kloetinge  Goes,"[52247.0, 391375]",13.0,"BU06640102,BU06640330,BU06640338,BU06640103",0
LTHP0187,Zeelandnet  Kamperland,"[51134.0, 391691]",13.0,"BU06640102,BU06640104,BU06640101",0
LTHP0188,Alticom Goes,"[50686.0, 392388]",13.0,"BU06640105,BU06640108,BU06640104,BU06640101",0
LTHP0189,Alticom Haarlem,"[106169.0, 489143]",13.0,nan,0
LTHP0190,EvoSwitch,"[105821.0, 489565]",13.0,nan,0
LTHP0191,Nedcomp  Hardinxveld Giessendam,"[119348.0, 426949]",13.0,"BU05230001,BU19780406,BU19780409,BU05230000",0
LTHP0192,Nedcomp,"[115627.0, 426236]",13.0,"BU06100307,BU05230003,BU05230002,BU05059800",0
LTHP0193,ITDev Solutions  Houten,"[140034.0, 449651]",13.0,"BU03211123,BU03211010,BU03211011,BU03211014,BU03211012,BU03211120,BU03211122,BU03211125,BU03211121,BU03211124",0
