code,name,geo_coordinate,available_heat,neighbourhoods_in_range,used_heat
LTHP0194,KPN Bunker  Bussum,"[142024.0, 475840]",13.0,nan,0
LTHP0195,Alticom IJsselstein,"[132093.0, 446907]",13.0,"BU03530014,BU03530016,BU03530017,BU03530015,BU03530018,BU03530030",0
LTHP0196,Nick,"[182628.0, 580213]",13.0,nan,0
LTHP0197,Tele2  POP   Leeuwarden  Leeuwarden,"[183183.0, 579635]",13.0,nan,0
LTHP0198,Alticom Lopik  Lopikerkapel,"[132114.0, 445399]",13.0,"BU03530030,BU03310003,BU03310009",0
LTHP0199,ZeelandNet Zakelijk  Goes,"[37873.0, 391981]",13.0,"BU06870502,BU06870509,BU06640551,BU06540802",0
LTHP0200,Data Facilities Spijkenisse,"[80231.0, 430207]",13.0,"BU19301601,BU19301704,BU19300201,BU19301703,BU19300202",0
LTHP0201,Global Crossing  Amsterdam,"[123970.0, 483074]",13.0,"BU04370002,BU04370001",0
LTHP0202,Colt   Duivendrecht,"[123573.0, 482358]",13.0,"BU04370007,BU04370002,BU04370001",0
LTHP0203,Essent Kabelcom  Aagtdorp,"[87012.0, 451027]",13.0,"BU19260225,BU19260221,BU19260231,BU19260223,BU19260222,BU19260227",0
LTHP0204,Tele2  Rijswijk Den Haag  Rijswijk Den Haag,"[82696.0, 450308]",13.0,"BU06030581,BU06031082",0
LTHP0205,Alticom Rotterdam  Rotterdam,"[90334.0, 432167]",13.0,"BU05991570,BU05992198,BU05991578",0
LTHP0206,Easynet DC Rotterdam  Rotterdam,"[91018.0, 435557]",13.0,"BU05990119,BU05990118,BU05990329,BU05990320,BU05990324",0
LTHP0207,Intermax ? DC Schiecentrale Weena Schouwburgplein  Rotterdam,"[92273.0, 437583]",13.0,"BU05990516,BU05990535,BU05990515,BU05990110,BU05990112,BU05990111,BU05990113",0
LTHP0208,KPN RT1  Rotterdam,"[92724.0, 437270]",13.0,"BU05990110,BU05990112",0
LTHP0209,Luna  Rotterdam  Rotterdam,"[91422.0, 435766]",13.0,"BU05990119,BU05990118,BU05990329,BU05990320,BU05990324,BU05990325",0
LTHP0210,World Port Center  Rotterdam  Rotterdam,"[93016.0, 435593]",13.0,"BU05990110,BU05991088,BU05991085,BU05991017,BU05990118",0
LTHP0211,Bytesnet   Spaanse kubus,"[88062.0, 438462]",13.0,"BU06060802,BU05991853,BU06060801",0
LTHP0212,NLDC   Rotterdam,"[90346.0, 432286]",13.0,"BU05992194,BU05992198,BU05991578",0
LTHP0213,SmartDC B V    Rotterdam,"[89478.0, 437581]",13.0,"BU05990327,BU05990451,BU05990532,BU05990558,BU05990324,BU05990323,BU05991853",0
LTHP0214,Tele2   8211  Spaanse Kubus,"[88064.0, 438458]",13.0,"BU06060802,BU05991853,BU06060801",0
LTHP0215,Verizon   Koperstraat,"[97514.0, 440485]",13.0,"BU05991467,BU05991463,BU05991449",0
LTHP0216,Casema GV18  Den Haag,"[83289.0, 455090]",13.0,"BU19161001,BU19161100,BU19161002,BU19161101,BU05182664,BU05182665,BU05182666",0
LTHP0217,Vodafone  Leidschenveen,"[86698.0, 453457]",13.0,"BU05184419,BU05184317,BU05184418",0
LTHP0218,Alticom Den Haag,"[82939.0, 455238]",13.0,"BU05182664,BU05182665,BU05182666",0
LTHP0219,Data Facilities The Hague,"[86392.0, 453410]",13.0,"BU05184317,BU05184418,BU05184316",0
LTHP0220,Interoute  Soesterberg  Soesterberg,"[147501.0, 459456]",13.0,"BU03420804,BU03420802,BU03420801,BU03420705,BU03550508,BU03550504",0
LTHP0221,Eurofiber   Eurofiber Datacenter Utrecht,"[130786.0, 460840]",13.0,"BU19040108,BU19040111,BU19040110,BU19040116,BU19041213,BU19041208,BU19041212,BU19041214,BU19041201,BU19041202",0
LTHP0222,Greenhouse Datacenters B V,"[74219.0, 446525]",13.0,"BU17830154,BU17830257,BU17830251,BU17830101,BU17830113,BU17830161,BU17830105,BU17830155",0
LTHP0223,Switch Datacenters   Woerden,"[121076.0, 455014]",13.0,"BU06320103,BU06320301,BU06320302,BU06320303,BU06320104,BU06320101",0
LTHP0224,Alticom Wormer  Wormer,"[114910.0, 501245]",13.0,nan,0
LTHP0225,Dataone Datacenter Wormer,"[114959.0, 500964]",13.0,nan,0
LTHP0226,Interoute  Zandvoort  Zandvoort,"[96916.0, 488844]",13.0,"BU04730101,BU04730107,BU04730106,BU04739998,BU04730401",0
LTHP0227,ColoCenter  Zoetermeer,"[93937.0, 449814]",13.0,"BU06370501,BU16212412,BU06370801,BU16213312",0
LTHP0228,Global Switch,"[116953.0, 484157]",13.68055556,nan,0
LTHP0229,Dishman Netherlands BV,"[166850.0, 449000]",14.0,"BU03450402,BU03450100,BU03450400,BU03450003,BU03450401,BU03450101,BU03450002,BU03450000,BU03450001",0
LTHP0230,Interxion AMS 5,"[111808.0, 477084]",15.0,nan,0
LTHP0231,Interxion AMS 8,"[111062.0, 476659]",15.0,BU03580000,0
LTHP0232,NLDC   Oude Meer  Schiphol Rijk,"[113782.0, 478124]",15.0,BU03580200,0
LTHP0233,RWZI   Beverwijk,"[106317.0, 498801]",16.84191667,"BU03750900,BU03750901,BU03750902",0
LTHP0234,RWZI   Dordrecht,"[110173.0, 425324]",17.41666667,"BU05059800,BU05050608,BU05050606",0
LTHP0235,EdgeConnex,"[112619.0, 477521]",18.0,nan,0
LTHP0236,Albert Heijn BV,"[166635.0, 448598]",18.365965,"BU03450400,BU03450003,BU03450401,BU03450300,BU03450200,BU03450101,BU03450002,BU03450000,BU03450001",0
LTHP0237,RWZI   Bath,"[75367.0, 379868]",18.68179398,BU07030409,0
LTHP0238,Maincubes,"[113078.0, 477309]",20.0,BU03580200,0
LTHP0239,RWZI   Kralingseveer,"[97000.0, 435762]",20.31944444,"BU05991446,BU05420000,BU05020110,BU05991283,BU05020996,BU05020998,BU05020997,BU05020995,BU05990845",0
LTHP0240,RWZI   De Groote Lucht,"[80802.0, 435271]",20.9,"BU06220303,BU06220301,BU06220201,BU06220202,BU06220205",0
LTHP0241,Service Point Nederland BV,"[83028.0, 447968]",21.85,"BU05031400,BU05031401,BU05031302,BU05031300,BU05031301,BU06031064,BU06031084,BU05031303",0
LTHP0242,Sikma Veevoeders BV,"[210297.0, 583842]",24.0,"BU00590009,BU00590004,BU00590100,BU00590107",0
LTHP0243,Bresc BV,"[130417.0, 421286]",24.0,nan,0
LTHP0244,Bresc BV,"[125170.0, 424630]",24.0,nan,0
LTHP0245,Eurosalad Rauwkost   Fruit BV,"[121629.0, 424085]",24.0,nan,0
LTHP0246,Graaf Food Ingredients BV,"[130434.0, 421353]",24.0,nan,0
