BU_CODE,GM_CODE,InStudieGebied?,Aantal_woningen [Aansluiting],Aantal_utiliteit [Aansluiting],nrWEQ_woningen [WEQ],nrWEQ_utiliteit [WEQ),,nrWEQ_totaal [WEQ],Vraag_perWEQ_Totaal [ giga J per WEQ*yr],Vraag_perWEQ_RV [ giga J per WEQ*yr],Vraag_perWEQ_TW [ giga J per WEQ*yr],Vraag_perWEQ_Vent [ giga J per WEQ*yr],Vraag_perWEQ_K [ giga J per WEQ*yr],Vraag_perWEQ_App [ giga J per WEQ*yr],,Vraag_Totaal [ giga J per yr],Vraag_RV [ giga J per yr],Vraag_TW [ giga J per yr],Vraag_Vent [ giga J per yr],Vraag_K [ giga J per yr],Vraag_App [ giga J per yr],,Studiegebied variabelen,nrWEQ_woningen [WEQ],nrWEQ_utiliteit [WEQ),nrWEQ_totaal [WEQ],Vraag_Totaal [ giga J per yr],Vraag_RV [ giga J per yr],Vraag_TW [ giga J per yr],Vraag_Vent [ giga J per yr],Vraag_K [ giga J per yr],Vraag_App [ giga J per yr],,,,,
BU00030000,GM0003,0,1494,283,1494,321,,1815,64,40,7,0,2,16,,116190,72619,12708,0,3631,29048,,,2450461,731520,3181981,179442848,101128546,19255946,0,6818448,52184177,,,,,
BU00030001,GM0003,0,1342,162,1342,76,,1418,61,41,8,0,0,11,,86511,58147,11346,0,0,15600,,,,,,,,,,,,,,,,
BU00030002,GM0003,0,2973,388,2973,727,,3700,58,34,7,0,1,17,,214592,125795,25899,0,3700,62898,,,,,,,,,,,,,,,,
BU00030007,GM0003,0,120,17,120,43,,163,70,49,7,0,1,12,,11417,7992,1142,0,163,1957,,,,,,,,,,,,,,,,
BU00030008,GM0003,0,40,19,40,64,,104,95,46,4,0,4,41,,9859,4774,415,0,415,4255,,,,,,,,,,,,,,,,
BU00030009,GM0003,0,62,10,62,24,,86,92,69,8,0,4,12,,7916,5937,688,0,344,1032,,,,,,,,,,,,,,,,
BU00100101,GM0010,0,607,291,607,523,,1130,82,44,5,0,4,30,,92684,49733,5651,0,4521,33909,,,,,,,,,,,,,,,,
BU00100202,GM0010,0,490,78,490,34,,524,74,53,9,0,1,11,,38796,27787,4718,0,524,5767,,,,,,,,,,,,,,,,
BU00100203,GM0010,0,875,75,875,100,,975,50,31,7,0,1,12,,48761,30232,6827,0,975,11703,,,,,,,,,,,,,,,,
BU00100204,GM0010,0,474,162,474,218,,692,85,60,6,0,2,17,,58841,41535,4153,0,1384,11768,,,,,,,,,,,,,,,,
