BU_CODE,GM_code,nrWEQ [WEQ],nrWEQwoning [WEQ],nrWEQutil [WEQ],,H01_Vraag_totaal [ giga J per WEQ*yr],H02_Vraag_RV [ giga J per WEQ*yr],H03_Vraag_TW [ giga J per WEQ*yr],H04_Vraag_Vent [ giga J per WEQ*yr],H05_Vraag_K [ giga J per WEQ*yr],H06_Vraag_App [ giga J per WEQ*yr],,H01_Vraag_totaal [ giga J per yr],H02_Vraag_RV [ giga J per yr],H03_Vraag_TW [ giga J per yr],H04_Vraag_Vent [ giga J per yr],H05_Vraag_K [ giga J per yr],H06_Vraag_App [ giga J per yr]
GM0307_1_121,GM0307,100.730769,99,1.73076923,,30,13,7,0,0,10,,3021.92307,1309.499997,705.115383,0,0,1007.30769
GM0307_1_116,GM0307,145.838462,143,2.83846154,,30,15,5,0,0,9,,4375.15386,2187.57693,729.19231,0,0,1312.546158
GM0307_1_112,GM0307,111.261538,70,41.2615385,,61,23,5,0,6,27,,6786.953818,2559.015374,556.30769,0,667.569228,3004.061526
GM0307_1_89,GM0307,177.569231,176,1.56923077,,31,14,7,0,0,9,,5504.646161,2485.969234,1242.984617,0,0,1598.123079
GM0307_1_55,GM0307,149.776923,119,30.7769231,,44,16,5,0,4,18,,6590.184612,2396.430768,748.884615,0,599.107692,2695.984614
GM0307_1_137,GM0307,133.692308,128,5.69230769,,32,15,6,0,1,11,,4278.153856,2005.38462,802.153848,0,133.692308,1470.615388
GM0307_1_15,GM0307,225.430769,84,141.430769,,70,28,4,1,8,30,,15780.15383,6312.061532,901.723076,225.430769,1803.446152,6762.92307
GM0307_1_37,GM0307,119.230769,107,12.2307692,,32,14,6,0,1,12,,3815.384608,1669.230766,715.384614,0,119.230769,1430.769228
GM0307_1_5,GM0307,228.915385,206,22.9153846,,34,13,6,0,1,14,,7783.12309,2975.900005,1373.49231,0,228.915385,3204.81539
GM0307_1_11,GM0307,432.907692,397,35.9076923,,48,25,7,1,1,14,,20779.56922,10822.6923,3030.353844,432.907692,432.907692,6060.707688
GM0307_1_105,GM0307,227.969231,221,6.96923077,,45,26,8,1,0,11,,10258.6154,5927.200006,1823.753848,227.969231,0,2507.661541
GM0307_1_72,GM0307,218.615385,203,15.6153846,,46,23,7,1,0,14,,10056.30771,5028.153855,1530.307695,218.615385,0,3060.61539
GM0307_1_95,GM0307,340.707692,314,26.7076923,,44,21,7,1,1,13,,14991.13845,7154.861532,2384.953844,340.707692,340.707692,4429.199996
GM0307_1_48,GM0307,176.430769,156,20.4307692,,46,23,7,1,2,14,,8115.815374,4057.907687,1235.015383,176.430769,352.861538,2470.030766
GM0307_1_43,GM0307,212.292308,192,20.2923077,,43,22,7,1,1,12,,9128.569244,4670.430776,1486.046156,212.292308,212.292308,2547.507696
GM0307_1_44,GM0307,308.515385,300,8.51538462,,27,11,7,0,0,10,,8329.915395,3393.669235,2159.607695,0,0,3085.15385
GM0307_1_33,GM0307,295.4,116,179.4,,69,19,4,0,11,34,,20382.6,5612.6,1181.6,0,3249.4,10043.6
GM0307_1_9,GM0307,351.061538,125,226.061538,,55,15,3,0,4,33,,19308.38459,5265.92307,1053.184614,0,1404.246152,11585.03075
GM0307_1_0,GM0307,212.638462,208,4.63846154,,31,15,6,0,0,9,,6591.792322,3189.57693,1275.830772,0,0,1913.746158
GM0307_1_50,GM0307,2173.31538,8,2165.31538,,76,17,1,0,10,48,,165171.9689,36946.36146,2173.31538,0,21733.1538,104319.1382
GM0307_1_52,GM0307,112.523077,107,5.52307692,,32,13,7,0,1,11,,3600.738464,1462.800001,787.661539,0,112.523077,1237.753847
GM0307_1_130,GM0307,234.107692,218,16.1076923,,42,22,7,1,0,12,,9832.523064,5150.369224,1638.753844,234.107692,0,2809.292304
GM0307_1_24,GM0307,65.5153846,57,8.51538462,,37,15,5,0,2,15,,2424.06923,982.730769,327.576923,0,131.0307692,982.730769
GM0307_1_108,GM0307,323.430769,224,99.4307692,,54,22,6,1,4,22,,17465.26153,7115.476918,1940.584614,323.430769,1293.723076,7115.476918
GM0307_1_83,GM0307,232.3,231,1.3,,29,15,6,0,0,8,,6736.7,3484.5,1393.8,0,0,1858.4
GM0307_1_51,GM0307,297.676923,290,7.67692308,,41,22,7,1,0,11,,12204.75384,6548.892306,2083.738461,297.676923,0,3274.446153
GM0307_1_27,GM0307,255.715385,235,20.7153846,,42,21,7,1,1,12,,10740.04617,5370.023085,1790.007695,255.715385,255.715385,3068.58462
GM0307_1_119,GM0307,301.207692,274,27.2076923,,34,13,7,0,2,13,,10241.06153,3915.699996,2108.453844,0,602.415384,3915.699996
GM0307_1_46,GM0307,300.423077,294,6.42307692,,42,22,8,1,0,11,,12617.76923,6609.307694,2403.384616,300.423077,0,3304.653847
GM0307_1_25,GM0307,341.507692,305,36.5076923,,41,20,7,1,0,12,,14001.81537,6830.15384,2390.553844,341.507692,0,4098.092304
GM0307_1_90,GM0307,336.330769,326,10.3307692,,41,21,8,1,1,11,,13789.56153,7062.946149,2690.646152,336.330769,336.330769,3699.638459
