code,name,geo_coordinate,number_of_house_equivalents_residences,number_of_house_equivalents_utility,m2_of_utility,total_heat_demand_of_residences,total_heat_demand_of_utility,total_electricity_demand_of_residences,total_electricity_demand_of_utility,geothermal_available,ht_sources_available,lt_sources_available,preference_W,preference_H,preference_E
BU18920104,Moerkapelle-Oost,"[99561.7452089178, 451170.01046277204]",450.0,54.852900000000005,8187.0,19370.6161155,3388.415084313,5151.6,5151.59999676,False,['HTHP0035'],[],0.3409693930927544,0.5932446835846902,0.06578592332255534
BU18920105,Bedrijventerrein Moerkapelle,"[99940.4350301087, 450707.0855408]",27.0,24.267400000000002,3622.0,2142.86097942,4670.24950338,464.25600009,464.256000156,False,['HTHP0035'],[],0.03690385794732275,0.8366104596658066,0.12648568238687072
BU18920106,Moerkapelle kassengebied,"[100459.461424125, 450217.371499656]",93.0,23.1954,3462.0,7897.19905212,14637.211901148,2026.94399961,2026.944001632,False,['HTHP0035'],[],0.0,0.8204447678851879,0.17955523211481209
BU18920107,Jonge Veenen,"[99988.2633912241, 451228.413510621]",275,26.451600000000003,3948.0,8307.70142125,260.68985107199995,2294.9999998750004,2295.000000468,False,['HTHP0035'],[],0.0,0.0,1.0
BU18920191,Verspreide bebouwing Moerkapelle,"[100040.96965089999, 451969.87270093]",75.0,5.4806,818.0,5594.312796,849.2810651979999,1417.5,1417.500000348,False,['HTHP0035'],[],0.048702990897729864,0.7407354349309618,0.21056157417130827
BU18920201,Kern Zevenhuizen,"[99689.82544430009, 447324.998798732]",215.0,112.4796,16788.0,11065.3033179,7260.436785972,2418.3360003,2418.3359944199997,False,['HTHP0035'],[],0.2020071520303402,0.6784153372544316,0.11957751071522817
BU18920202,Swanla,"[99869.00169089869, 447867.30428950896]",571.0,11.7987,1761.0,18950.34439128,610.131472272,6762.924000000001,6762.924000576,False,['HTHP0035'],[],0.0,0.40044632873426583,0.5995536712657342
BU18920203,Zevenhuizen Bloemenbuurt,"[99936.6391217075, 447404.334230093]",523.0,36.0996,5388.0,20075.549765199998,3216.84219876,4641.6240000239995,4641.624002544,False,['HTHP0035'],[],0.31502560441157246,0.5796213757389731,0.1053530198494544
BU18920204,Bedrijventerrein Zevenhuizen,"[100221.123932824, 446984.132330829]",4.0,169.8249,25347.0,157.72511848,8786.992452608998,41.903999999999996,41.903989911,False,['HTHP0035'],[],0.5207919394833874,0.17025494654448461,0.3089531139721279
BU18920205,Zevenhuizen-West 1,"[99476.7540330143, 447258.716574198]",477.0,25.9826,3878.0,19435.67772597,1089.466019194,5306.148,5306.148000257999,False,['HTHP0035'],[],0.2636075382315653,0.6129883304220157,0.12340413134641903
BU18920206,Zevenhuizen-West 2,"[99558.0468261802, 446875.867657946]",568.0,0.3551,53.0,22583.60821616,0.0,6420.6720000000005,6420.6719991,False,['HTHP0035'],[],0.3050176056338028,0.6691725352112676,0.02580985915492957
BU18920207,Recreatiepark De Korenmolen,"[98474.5615686542, 447074.650780756]",9.0,74.9663,11189.0,328.26540285,4636.840718094,84.888,84.88800029299999,True,"['HTHP0035', 'HTHP0036', 'HTHP0039']",[],0.27618439449452936,0.02673963360540576,0.697075971900065
BU18920208,Recreatiepark De Bonk,"[97425.4272953379, 444647.67822525295]",0.0,0.0,0,0.0,0.0,0.0,0.0,True,"['HTHP0035', 'HTHP0036', 'HTHP0039']",[],0.0,0.0,0.0
BU18920209,Oud Verlaat,"[98008.0087485267, 443296.09306657297]",155.0,37.9488,5664.0,9473.36492855,2796.263462112,2137.14,2137.13999856,True,"['HTHP0035', 'HTHP0036', 'HTHP0039']",[],0.22455380983399376,0.6047596199700835,0.17068657019592276
BU18920211,Zevenhuizen-Zuid,"[100589.89009716, 446819.715310768]",332.0,9.2125,1375.0,12426.81990608,283.21432699999997,3387.85199868,3387.8520005,True,['HTHP0035'],[],0.0,0.01605421686746988,0.9839457831325301
BU18920291,Verspreide bebouwing Tweemanspolder,"[98771.4762530387, 448615.913909084]",55.0,24.5689,3667.0,3618.048973,1872.892663159,762.0479998999999,762.048001127,True,"['HTHP0035', 'HTHP0036', 'HTHP0039']",[],0.021338266159243367,0.8333070657561233,0.14535466808463315
BU18920292,Verspreide bebouwing Zuidplaspolder Zevenhuizen,"[101180.32522259801, 447466.78725134704]",210.0,40.6355,6065.0,14949.9715638,8815.530028964999,3204.8639994,3204.8640006400005,True,['HTHP0035'],[],0.007722197548398659,0.6355754692209515,0.3567023332306498
BU18920293,Verspreide bebouwing Eendragtspolder,"[98766.7611683475, 445674.901948182]",64.0,4.4287,661.0,4584.54344384,828.018962912,953.8560000000001,953.8559997640001,True,"['HTHP0035', 'HTHP0036', 'HTHP0039']",[],0.03078712267947716,0.8314062479592809,0.13780662936124202
BU04020506,Egelshoek,"[138974.811457717, 466466.220457841]",0.0,2.4254000000000002,362.0,0.0,14.385806152,0.0,0.0,False,"['HTHP0028', 'HTHP0033', 'HTHP0034', 'HTHP0040']",[],0.0,0.0,1.0
BU16960300,Oud-Loosdrecht,"[133902.848101947, 468860.815328]",1090.0,339.7905,50715.0,79933.7977896,20025.064478475,15008.8319976,15008.832011879998,False,"['HTHP0028', 'HTHP0033', 'HTHP0034', 'HTHP0040']",[],0.18276226516151356,0.6400054484845915,0.17723228635389499
BU04847001,Nesse,"[104722.95503375301, 456306.85302881297]",80.0,3.149,470.0,5204.9289096,100.89036591000001,1062.72,1062.72000001,False,['HTHP0035'],[],0.03291720925187981,0.7822750213627705,0.18480776938534968
BU16960400,Nieuw-Loosdrechtsedijk,"[134919.205489147, 467220.19922529295]",2706,547.8255,81765.0,147199.65402318002,35932.46636007,32405.183989199995,32405.184030284996,False,"['HTHP0028', 'HTHP0033', 'HTHP0034', 'HTHP0040']",[],0.33128818263150184,0.5721244844891147,0.09658733287938362
BU04847002,Rijneveld-Noord,"[106764.23254436, 456446.339846935]",81.0,0.1072,16.0,7537.518167849999,103.661941488,1526.18400018,1526.184,False,['HTHP0035'],[],0.0,0.8117283950617283,0.1882716049382716
BU16960401,Muijeveld,"[133815.435698335, 466465.228304306]",65.0,1.5410000000000001,230.0,6856.11374435,59.94085913000001,1315.08,1315.0799999,False,"['HTHP0028', 'HTHP0033', 'HTHP0034', 'HTHP0040']",[],0.03053734006013387,0.7890848671538593,0.1803777927860069
BU04847003,Rijneveld-Zuid,"[106681.956699715, 455784.187139135]",142.0,6.8809000000000005,1027.0,9938.65402886,872.0612680909999,2095.92,2095.919999732,False,['HTHP0035'],[],0.02794740971137565,0.8528131217150375,0.11923946857358692
BU19040801,Polder Aetsveld,"[131392.117289954, 477165.760726821]",43.0,14.693100000000001,2193.0,3617.1627171699997,991.09047252,815.796,815.7960000000002,False,"['HTHP0033', 'HTHP0034', 'HTHP0040']",[],0.3140717855938338,0.46462994781287803,0.2212982665932882
BU16960402,Boomhoek,"[135431.723004363, 466522.198384547]",137.0,190.3202,28406.0,10649.303317,10773.84032067,2429.3519999500004,2429.35199297,False,"['HTHP0028', 'HTHP0033', 'HTHP0034', 'HTHP0040']",[],0.01873303404083671,0.8779173020792124,0.103349663879951
