code,name,geo_coordinate,heating_option_preference,assigned_heating_option,assigned_heat_source,stage_of_assignment,confidence,share_of_houses_demolished,number_of_lt_eligible_houses,number_of_new_apartments,number_of_new_terraced_houses,number_of_new_detached_houses,number_of_new_semi_detached_houses,number_of_new_houses_unknown_type,epi_of_new_houses,size_of_new_houses,trace_length,space_heating_demand_per_house,hot_water_demand_per_house,electricity_demand_per_house,space_heating_demand_per_m2_utility,hot_water_demand_per_m2_utility,electricity_demand_per_m2_utility,adjacent_neighbourhoods,municipality_code,municipality_name,housing_stock_matrix,utility_stock_matrix,ht_sources_available,lt_sources_available,geothermal_available
BU03070307,Piet Mondriaanlaan,"[154184.4001, 463050.3445]","[('E', 0.97853083066796), ('H', 0.021469169332040034), ('W', 0.0)]",W,LTHP03,post-analysis,0.97853083066796,0.0,151,0.0,0.0,0.0,0.0,0,0.9,100,0.0,16.33017378,7,7.74,0.217072232,0.003280013,0.03238404,"BU03070401,BU03070200,BU03070107,BU03070302,BU03070306,BU03070500,BU03070303",GM0307,Amersfoort,"{'Apartment': {'2001-2010': {'aantal_woningen': 12, 'aantal_kleine_woningen': 0, 'gem_epi': 0.916666667, 'gem_oppervlakte': 128.0}, '>2010': {'aantal_woningen': 103, 'aantal_kleine_woningen': 94, 'gem_epi': 0.945631068, 'gem_oppervlakte': 57.41747573}}, 'Terraced house': {'2001-2010': {'aantal_woningen': 20, 'aantal_kleine_woningen': 0, 'gem_epi': 0.93, 'gem_oppervlakte': 162.35}, '>2010': {'aantal_woningen': 16, 'aantal_kleine_woningen': 0, 'gem_epi': 0.91875, 'gem_oppervlakte': 129.375}}, 'Semi-detached house': {'>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}, 'Detached house': {'>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}}","{'Small': {'>2000': {'aantal_gebouwen': 11, 'gem_epi': 1.181881288, 'totaal_oppervlakte': 994}}, 'Medium': {'>2000': {'aantal_gebouwen': 35, 'gem_epi': 1.245617652, 'totaal_oppervlakte': 26196}}, 'Large': {'>2000': {'aantal_gebouwen': 1, 'gem_epi': 1.3, 'totaal_oppervlakte': 8900}}}","['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",False
BU03072901,Winkelcentrum,"[157972.2377, 467432.3514]","[('E', 0.9180235694765534), ('H', 0.08197643052344657), ('W', 0.0)]",W,LTHP01,post-analysis,0.9180235694765534,0.0,235,0.0,0.0,0.0,0.0,0,0.9,100,0.0,16.965493600000002,7,6.753293617000001,0.21239222600000002,0.011341928999999999,0.034197944,"BU03072900,BU03072603,BU03072602,BU03072506,BU03072902,BU03073100,BU03073101,BU03073102",GM0307,Amersfoort,"{'Apartment': {'2001-2010': {'aantal_woningen': 164, 'aantal_kleine_woningen': 8, 'gem_epi': 1.085609756, 'gem_oppervlakte': 103.16463409999999}, '>2010': {'aantal_woningen': 69, 'aantal_kleine_woningen': 57, 'gem_epi': 0.8850724640000001, 'gem_oppervlakte': 67.49275362}}, 'Terraced house': {'2001-2010': {'aantal_woningen': 2, 'aantal_kleine_woningen': 0, 'gem_epi': 1.01, 'gem_oppervlakte': 109.0}, '>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}, 'Semi-detached house': {'>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}, 'Detached house': {'>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}}","{'Small': {'>2000': {'aantal_gebouwen': 98, 'gem_epi': 0.9807054940000001, 'totaal_oppervlakte': 6662}}, 'Medium': {'>2000': {'aantal_gebouwen': 34, 'gem_epi': 1.036916514, 'totaal_oppervlakte': 20159}}, 'Large': {'>2000': {'aantal_gebouwen': 5, 'gem_epi': 1.115253753, 'totaal_oppervlakte': 19586}}}","['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",False
BU03071801,Station Berkenweg,"[154140.1093, 462712.3212]","[('E', 0.475986759646897), ('W', 0.3933186222554454), ('H', 0.13069461809765753)]",W,LTHP03,post-analysis,0.475986759646897,0.0,26,0.0,0.0,0.0,0.0,0,0.9,100,0.0,23.23064771,7,9.72,0.39172692600000003,0.003675668,0.0033975959999999997,"BU03071700,BU03070205,BU03071800,BU03070206,BU03070200,BU03070500,BU03071802",GM0307,Amersfoort,"{'Apartment': {'2001-2010': {'aantal_woningen': 26, 'aantal_kleine_woningen': 0, 'gem_epi': 1.296538462, 'gem_oppervlakte': 140.34615380000002}, '>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}, 'Terraced house': {'>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}, 'Semi-detached house': {'>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}, 'Detached house': {'>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}}","{'Small': {'1991-2000': {'aantal_gebouwen': 13, 'gem_epi': 1.289371951, 'totaal_oppervlakte': 1640}, '>2000': {'aantal_gebouwen': 9, 'gem_epi': 1.284162791, 'totaal_oppervlakte': 860}}, 'Medium': {'1991-2000': {'aantal_gebouwen': 47, 'gem_epi': 1.291740176, 'totaal_oppervlakte': 26618}, '>2000': {'aantal_gebouwen': 9, 'gem_epi': 1.249293286, 'totaal_oppervlakte': 4245}}, 'Large': {'<1991': {'aantal_gebouwen': 2, 'gem_epi': 0.912755889, 'totaal_oppervlakte': 19315}, '1991-2000': {'aantal_gebouwen': 2, 'gem_epi': 1.1298625340000001, 'totaal_oppervlakte': 16004}, '>2000': {'aantal_gebouwen': 1, 'gem_epi': 1.3, 'totaal_oppervlakte': 5700}}}","['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",False
BU03070401,Eemplein,"[154570.1061, 463513.9657]","[('E', 0.9970715354751166), ('H', 0.0029284645248833143), ('W', 0.0)]",W,LTHP03,post-analysis,0.9970715354751166,0.0,72,0.0,0.0,0.0,0.0,0,0.9,100,0.0,14.68720379,7,6.4079999999999995,0.273132869,0.010230501,0.005517752,"BU03070600,BU03070603,BU03070108,BU03070200,BU03070107,BU03070307,BU03070306,BU03070402",GM0307,Amersfoort,"{'Apartment': {'>2010': {'aantal_woningen': 72, 'aantal_kleine_woningen': 11, 'gem_epi': 0.865138889, 'gem_oppervlakte': 85.48611111}}, 'Terraced house': {'>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}, 'Semi-detached house': {'>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}, 'Detached house': {'<1946': {'aantal_woningen': 1, 'aantal_kleine_woningen': 0, 'gem_epi': 2.23, 'gem_oppervlakte': 244.0}, '>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}}","{'Small': {'<1991': {'aantal_gebouwen': 9, 'gem_epi': 2.25, 'totaal_oppervlakte': 1031}, '>2000': {'aantal_gebouwen': 23, 'gem_epi': 1.3, 'totaal_oppervlakte': 1814}}, 'Medium': {'<1991': {'aantal_gebouwen': 19, 'gem_epi': 2.1342543309999997, 'totaal_oppervlakte': 12700}, '>2000': {'aantal_gebouwen': 13, 'gem_epi': 1.3, 'totaal_oppervlakte': 6617}}, 'Large': {'>2000': {'aantal_gebouwen': 9, 'gem_epi': 1.132097387, 'totaal_oppervlakte': 62616}}}","['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",False
BU03070306,Puntenburg,"[154306.3126, 463381.4433]","[('E', 0.7872879090389642), ('H', 0.1844669143383379), ('W', 0.02824517662269793)]",W,LTHP03,post-analysis,0.7872879090389642,0.0,852,0.0,0.0,0.0,0.0,0,0.9,100,0.0,34.56879578,7,8.0199,0.113130425,0.0027024159999999996,0.11078253199999999,"BU03070401,BU03070307,BU03070302,BU03070402,BU03070300",GM0307,Amersfoort,"{'Apartment': {'<1946': {'aantal_woningen': 2, 'aantal_kleine_woningen': 2, 'gem_epi': 2.2, 'gem_oppervlakte': 64.0}, '2001-2010': {'aantal_woningen': 467, 'aantal_kleine_woningen': 27, 'gem_epi': 1.164518201, 'gem_oppervlakte': 107.6766595}, '>2010': {'aantal_woningen': 292, 'aantal_kleine_woningen': 216, 'gem_epi': 0.9422945209999999, 'gem_oppervlakte': 67.68150685}}, 'Terraced house': {'<1946': {'aantal_woningen': 23, 'aantal_kleine_woningen': 0, 'gem_epi': 2.219130435, 'gem_oppervlakte': 109.43478259999999}, '2001-2010': {'aantal_woningen': 85, 'aantal_kleine_woningen': 0, 'gem_epi': 0.9370588240000001, 'gem_oppervlakte': 159.6823529}, '>2010': {'aantal_woningen': 8, 'aantal_kleine_woningen': 0, 'gem_epi': 0.9125, 'gem_oppervlakte': 151.75}}, 'Semi-detached house': {'<1946': {'aantal_woningen': 2, 'aantal_kleine_woningen': 0, 'gem_epi': 2.085, 'gem_oppervlakte': 108.0}, '>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}, 'Detached house': {'1975-1990': {'aantal_woningen': 1, 'aantal_kleine_woningen': 0, 'gem_epi': 1.82, 'gem_oppervlakte': 853.0}, '>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}}","{'Small': {'<1991': {'aantal_gebouwen': 3, 'gem_epi': 2.25, 'totaal_oppervlakte': 265}, '>2000': {'aantal_gebouwen': 10, 'gem_epi': 1.314885892, 'totaal_oppervlakte': 964}}, 'Medium': {'<1991': {'aantal_gebouwen': 7, 'gem_epi': 2.051848929, 'totaal_oppervlakte': 3548}, '>2000': {'aantal_gebouwen': 17, 'gem_epi': 1.282229413, 'totaal_oppervlakte': 14524}}, 'Large': {'<1991': {'aantal_gebouwen': 2, 'gem_epi': 2.25, 'totaal_oppervlakte': 4396}, '>2000': {'aantal_gebouwen': 6, 'gem_epi': 1.3, 'totaal_oppervlakte': 40009}}}","['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",False
BU03073103,Hogesteeg,"[156911.1301, 468661.7857]","[('E', 0.8727095157375131), ('H', 0.12729048426248682), ('W', 0.0)]",W,LTHP01,post-analysis,0.8727095157375131,0.0,961,0.0,0.0,0.0,0.0,0,0.9,100,0.0,31.94383554,7,8.403763527,0.255015361,0.016058809,0.9421428890000001,"BU03072802,BU03072800,BU03072805,BU03072900,BU03073104,BU03073108,BU03073102",GM0307,Amersfoort,"{'Apartment': {'2001-2010': {'aantal_woningen': 294, 'aantal_kleine_woningen': 4, 'gem_epi': 1.184013605, 'gem_oppervlakte': 100.4931973}, '>2010': {'aantal_woningen': 209, 'aantal_kleine_woningen': 27, 'gem_epi': 0.9195693779999999, 'gem_oppervlakte': 83.88516746}}, 'Terraced house': {'2001-2010': {'aantal_woningen': 111, 'aantal_kleine_woningen': 0, 'gem_epi': 0.936936937, 'gem_oppervlakte': 147.2522523}, '>2010': {'aantal_woningen': 347, 'aantal_kleine_woningen': 2, 'gem_epi': 0.923659942, 'gem_oppervlakte': 123.3170029}}, 'Semi-detached house': {'>2010': {'aantal_woningen': 16, 'aantal_kleine_woningen': 0, 'gem_epi': 0.975, 'gem_oppervlakte': 181.9375}}, 'Detached house': {'1946-1974': {'aantal_woningen': 1, 'aantal_kleine_woningen': 0, 'gem_epi': 2.23, 'gem_oppervlakte': 151.0}, '>2010': {'aantal_woningen': 20, 'aantal_kleine_woningen': 0, 'gem_epi': 0.935, 'gem_oppervlakte': 229.15}}}","{'Small': {'<1991': {'aantal_gebouwen': 1, 'gem_epi': 2.25, 'totaal_oppervlakte': 10}, '>2000': {'aantal_gebouwen': 23, 'gem_epi': 1.3, 'totaal_oppervlakte': 1529}}, 'Medium': {'<1991': {'aantal_gebouwen': 1, 'gem_epi': 2.25, 'totaal_oppervlakte': 281}, '>2000': {'aantal_gebouwen': 6, 'gem_epi': 1.27727885, 'totaal_oppervlakte': 2227}}, 'Large': {'>2000': {'aantal_gebouwen': 1, 'gem_epi': 1.3, 'totaal_oppervlakte': 4855}}}","['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",False
BU03073101,Hoornplantsoen,"[158136.2792, 467747.1227]","[('E', 0.6867963421574081), ('H', 0.31320365784259185), ('W', 0.0)]",W,LTHP01,post-analysis,0.6867963421574081,0.0,1028,0.0,0.0,0.0,0.0,0,0.9,100,0.0,32.43127962,7,10.26,0.013174759,0.0007040810000000001,0.766298197,"BU03072900,BU03073108,BU03072901,BU03073100,BU03073102",GM0307,Amersfoort,"{'Apartment': {'2001-2010': {'aantal_woningen': 386, 'aantal_kleine_woningen': 72, 'gem_epi': 1.040673575, 'gem_oppervlakte': 101.76683940000001}, '>2010': {'aantal_woningen': 50, 'aantal_kleine_woningen': 26, 'gem_epi': 1.0042, 'gem_oppervlakte': 81.36}}, 'Terraced house': {'2001-2010': {'aantal_woningen': 592, 'aantal_kleine_woningen': 0, 'gem_epi': 1.079594595, 'gem_oppervlakte': 160.339527}, '>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}, 'Semi-detached house': {'2001-2010': {'aantal_woningen': 30, 'aantal_kleine_woningen': 0, 'gem_epi': 1.156666667, 'gem_oppervlakte': 176.4666667}, '>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}, 'Detached house': {'2001-2010': {'aantal_woningen': 19, 'aantal_kleine_woningen': 0, 'gem_epi': 1.148421053, 'gem_oppervlakte': 209.84210530000004}, '>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}}","{'Small': {'>2000': {'aantal_gebouwen': 24, 'gem_epi': 1.2688109159999998, 'totaal_oppervlakte': 1539}}, 'Medium': {'>2000': {'aantal_gebouwen': 4, 'gem_epi': 1.3, 'totaal_oppervlakte': 2798}}, 'Large': {'>2000': {'aantal_gebouwen': 2, 'gem_epi': 1.3, 'totaal_oppervlakte': 10083}}}","['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",False
BU03073001,De Bron Zuid,"[157251.4832, 467077.0226]","[('E', 0.9482201070236402), ('H', 0.051779892976359834), ('W', 0.0)]",W,LTHP01,post-analysis,0.9482201070236402,0.0,688,0.0,0.0,0.0,0.0,0,0.9,100,0.0,21.61965156,7,11.44698592,0.222716761,0.009794151,1.090122668,"BU03073000,BU03072603,BU03072902,BU03072804,BU03072803",GM0307,Amersfoort,"{'Apartment': {'2001-2010': {'aantal_woningen': 54, 'aantal_kleine_woningen': 18, 'gem_epi': 0.9509259259999999, 'gem_oppervlakte': 86.22222222}, '>2010': {'aantal_woningen': 120, 'aantal_kleine_woningen': 29, 'gem_epi': 0.879166667, 'gem_oppervlakte': 89.71666667}}, 'Terraced house': {'2001-2010': {'aantal_woningen': 79, 'aantal_kleine_woningen': 0, 'gem_epi': 0.9393670890000001, 'gem_oppervlakte': 112.9240506}, '>2010': {'aantal_woningen': 435, 'aantal_kleine_woningen': 0, 'gem_epi': 0.900298851, 'gem_oppervlakte': 131.3310345}}, 'Semi-detached house': {'>2010': {'aantal_woningen': 62, 'aantal_kleine_woningen': 0, 'gem_epi': 0.886129032, 'gem_oppervlakte': 189.33870969999998}}, 'Detached house': {'>2010': {'aantal_woningen': 31, 'aantal_kleine_woningen': 0, 'gem_epi': 0.912258065, 'gem_oppervlakte': 222.61290319999998}}}","{'Small': {'>2000': {'aantal_gebouwen': 5, 'gem_epi': 1.05298951, 'totaal_oppervlakte': 572}}, 'Medium': {'>2000': {'aantal_gebouwen': 5, 'gem_epi': 1.3, 'totaal_oppervlakte': 3253}}, 'Large': {'>2000': {'aantal_gebouwen': 2, 'gem_epi': 1.3, 'totaal_oppervlakte': 4376}}}","['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",False
BU03073102,Muidenkade,"[157719.2874, 468134.441]","[('E', 0.6834032659617009), ('H', 0.31659673403829913), ('W', 0.0)]",W,LTHP01,post-analysis,0.6834032659617009,0.0,475,0.0,0.0,0.0,0.0,0,0.9,100,0.0,32.43127962,7,11.915999999999999,0.29177025300000003,0.008970708,11.8721105,"BU03072802,BU03072900,BU03073103,BU03073108,BU03072901,BU03073101",GM0307,Amersfoort,"{'Apartment': {'2001-2010': {'aantal_woningen': 28, 'aantal_kleine_woningen': 0, 'gem_epi': 0.9642857140000001, 'gem_oppervlakte': 98.39285714}, '>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}, 'Terraced house': {'2001-2010': {'aantal_woningen': 445, 'aantal_kleine_woningen': 0, 'gem_epi': 0.947280899, 'gem_oppervlakte': 156.89213480000004}, '>2010': {'aantal_woningen': 2, 'aantal_kleine_woningen': 0, 'gem_epi': 0.9, 'gem_oppervlakte': 212.0}}, 'Semi-detached house': {'2001-2010': {'aantal_woningen': 43, 'aantal_kleine_woningen': 0, 'gem_epi': 0.935581395, 'gem_oppervlakte': 160.02325580000002}, '>2010': {'aantal_woningen': 11, 'aantal_kleine_woningen': 0, 'gem_epi': 0.945454545, 'gem_oppervlakte': 163.18181819999998}}, 'Detached house': {'2001-2010': {'aantal_woningen': 7, 'aantal_kleine_woningen': 0, 'gem_epi': 0.957142857, 'gem_oppervlakte': 172.71428569999998}, '>2010': {'aantal_woningen': 5, 'aantal_kleine_woningen': 0, 'gem_epi': 0.92, 'gem_oppervlakte': 232.8}}}","{'Small': {'>2000': {'aantal_gebouwen': 9, 'gem_epi': 1.3, 'totaal_oppervlakte': 543}}, 'Medium': {}, 'Large': {}}","['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",False
BU03072404,Stadstuin,"[153683.2714, 468565.9937]","[('E', 0.6015122594986608), ('H', 0.3753104719598747), ('W', 0.023177268541464405)]",W,LTHP01,post-analysis,0.6015122594986608,0.0,645,0.0,0.0,0.0,0.0,0,0.9,100,0.0,32.43127962,7,10.187999999999999,0.027226238,0.001753179,0.457874066,"BU03072701,BU03130007,BU03072403,BU03072405",GM0307,Amersfoort,"{'Apartment': {'1991-2000': {'aantal_woningen': 54, 'aantal_kleine_woningen': 0, 'gem_epi': 1.177222222, 'gem_oppervlakte': 126.0}, '2001-2010': {'aantal_woningen': 548, 'aantal_kleine_woningen': 0, 'gem_epi': 1.1347627740000001, 'gem_oppervlakte': 115.6551095}, '>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}, 'Terraced house': {'1991-2000': {'aantal_woningen': 59, 'aantal_kleine_woningen': 0, 'gem_epi': 1.278644068, 'gem_oppervlakte': 205.7457627}, '2001-2010': {'aantal_woningen': 97, 'aantal_kleine_woningen': 0, 'gem_epi': 1.241958763, 'gem_oppervlakte': 194.4639175}, '>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}, 'Semi-detached house': {'>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}, 'Detached house': {'>2010': {'aantal_woningen': 0.0, 'aantal_kleine_woningen': 0.0, 'gem_epi': 0.0, 'gem_oppervlakte': 0.0}}}","{'Small': {'1991-2000': {'aantal_gebouwen': 2, 'gem_epi': 1.3, 'totaal_oppervlakte': 17}, '>2000': {'aantal_gebouwen': 3, 'gem_epi': 1.010059172, 'totaal_oppervlakte': 169}}, 'Medium': {'1991-2000': {'aantal_gebouwen': 4, 'gem_epi': 1.3, 'totaal_oppervlakte': 2047}, '>2000': {'aantal_gebouwen': 28, 'gem_epi': 1.3, 'totaal_oppervlakte': 14633}}, 'Large': {}}","['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",False
