code,name,geo_coordinate,number_of_house_equivalents_residences,number_of_house_equivalents_utility,m2_of_utility,total_heat_demand_of_residences,total_heat_demand_of_utility,total_electricity_demand_of_residences,total_electricity_demand_of_utility,geothermal_available,ht_sources_available,lt_sources_available,preference_W,preference_H,preference_E
BU03070100,Hof,"[155162.5054, 463220.8299]",381.0,347.7769,51907,13946.24644578,38900.594700388,3176.496000183,3176.495996556,False,"['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",0.8600549686934013,0.12926181799050168,0.010683213316097081
BU03070101,Nieuwstraat,"[155311.6492, 463063.2826]",254.0,103.07950000000001,15385,9931.763032040002,8279.616262155,2275.056000044,2275.055998055,False,"['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",0.5359853223749411,0.36112553259440827,0.10288914503065062
BU03070102,Mooierstraat,"[155169.0337, 462912.7234]",100.0,94.269,14070,3877.4091630000003,6158.13684675,968.4,968.39999844,False,"['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",0.4922211572991388,0.4746767075352953,0.03310213516556589
BU03070103,Lieve Vrouwekerkhof,"[155004.513, 463095.521]",292.0,116.58,17400,11064.9747226,8901.131437200002,2447.13600008,2447.1360000000004,False,"['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",0.5087839529034563,0.4718159525993395,0.019400094497203927
BU03070104,Coninckstraat,"[155306.9348, 463425.3113]",752.0,191.3252,28556,27615.895731200002,16595.06910666,6075.000000144,6075.00001328,False,"['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",0.5912064629917445,0.37039415595923286,0.03839938104902251
BU03070105,Beestenmarkt,"[155537.8245, 463114.7268]",639.0,151.99620000000002,22686,19995.731436330003,4732.318247892,4776.7320002159995,4776.731991252,False,"['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",0.4562644298488882,0.46908155341577884,0.07465401673533284
BU03070106,Gote Haag,"[155087.011, 462793.3538]",307.0,258.38550000000004,38565,8978.17377604,14660.68783329,2276.712,2276.7120018899996,False,"['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",0.42795596833308935,0.33437912031416633,0.2376649113527443
BU03070107,Stadhuisplein,"[154832.7601, 463146.4237]",303.0,716.2166,106898,8628.7298589,45873.813480176,2114.7480001110002,2114.747954484,False,"['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",0.656262014254204,0.15432246587147688,0.1894155198743192
BU03070108,Schimmelpenninckstraat,"[155001.0454, 463570.566]",181.0,41.7678,6234,8504.99842055,1747.1369437499998,1765.836,1765.836001302,False,"['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",0.6201329420263774,0.37839087708913105,0.0014761808844916012
BU03070200,Smallepad,"[154531.1238, 463000.1869]",257.0,1082.6262,161586,11820.26540163,37166.45968647,3237.08400063,3237.084008856,False,"['HTHP0007', 'HTHP0008']","['LTHP01', 'LTHP02', 'LTHP03']",0.3421161931689506,0.2548428758126644,0.40304093101838495
