neighbourhood,type,E,H,geothermal,TEO,HT,MT,LT,undefined,backup,undecided,useful_heat,heat_reduction
total,residences,41225309.239033595,21783317.07641813,4977972.639524504,1904546.996901204,11563909.942481777,0.0,1005126.2736780874,0.0,6296709.776420684,0.0,61343525.22267426,566501.7773258799
total,utility,22586063.456442107,2714792.051043398,1752374.2225874278,922557.2954234632,2810658.20168187,0.0,828770.6210592673,0.0,2155544.1075727046,9168.384615384617,12730379.690812958,482598.4630331647
GM0307_2_67,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM0307_2_67,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM0307_2_92,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM0307_2_92,utility,18.123076923076923,,,,,,,,,1.430769230769231,1.430769230769231,0.0
GM0489_54,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM0489_54,utility,528.2307692307692,,,,,,,,,75.46153846153845,75.46153846153845,0.0
GM0505_63,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM0505_63,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM0599_7_76,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM0599_7_76,utility,65.63076923076923,,,,,,,,,30.738461538461536,30.738461538461536,0.0
GM0677_18,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM0677_18,utility,70.73846153846154,,,,,,,,,6.515384615384617,6.515384615384617,0.0
GM0687_95,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM0687_95,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM0687_79,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM0687_79,utility,69.8923076923077,,,,,,,,,6.353846153846154,6.353846153846154,0.0
GM1676_24,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1676_24,utility,6261.784615384617,,,,,,,,,4565.884615384616,4565.884615384616,0.0
GM1842_19,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_19,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_18,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_18,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_15,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_15,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_14,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_14,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_29,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_29,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_17,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_17,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_16,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_16,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_26,residences,0.0,,,,,,,,,0,0,0.0
GM1842_26,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_25,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_25,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_31,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_31,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_30,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_30,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_28,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_28,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_27,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_27,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_0,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_0,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_2,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_2,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_1,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_1,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_11,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_11,utility,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_10,residences,0.0,,,,,,,,,0.0,0.0,0.0
GM1842_10,utility,0.0,,,,,,,,,0.0,0.0,0.0
