woningtype_str,bouwjaar_str,EnergieIndex,EnergieLabel
1,0,2.23,G
1,1,2.23,G
1,2,2.23,F
1,3,1.82,D
1,4,1.21,B
1,5,0.9,A
2,0,2.49,F
2,1,2.49,F
2,2,2.49,E
2,3,1.8,C
2,4,1.36,B
2,5,0.9,A
4,0,2.11,G
4,1,2.06,F
4,2,2.18,E
4,3,1.66,C
4,4,1.37,B
4,5,0.9,A
3,0,2.11,G
3,1,2.06,F
3,2,2.18,E
3,3,1.66,C
3,4,1.37,B
3,5,0.9,A
5,0,2.2,G
5,1,2.2,E
5,2,2.2,D
5,3,1.35,C
5,4,1.31,B
5,5,0.9,A
6,0,2.09,D
6,1,2.09,D
6,2,2.09,E
6,3,1.84,C
6,4,1.29,B
6,5,0.9,A
