neighbourhood_code,heat_source_code,heat_source_name,distance_in_m
GM0060_11,LTHP0001,overal LT-warmte,184899.22496227836
GM0307_2_73,LTHP0001,overal LT-warmte,70380.37994364854
GM0307_2_75,LTHP0001,overal LT-warmte,71280.0128378547
GM0307_2_63,LTHP0001,overal LT-warmte,67842.96528401462
GM0307_2_6,LTHP0001,overal LT-warmte,70184.96325651587
GM0307_1_29,LTHP0001,overal LT-warmte,67771.21593001593
GM0307_1_20,LTHP0001,overal LT-warmte,65990.99671897964
GM0307_2_43,LTHP0001,overal LT-warmte,70841.90566212377
GM0307_1_86,LTHP0001,overal LT-warmte,66116.28532566884
GM0307_2_119,LTHP0001,overal LT-warmte,70648.52214476491
GM0307_2_116,LTHP0001,overal LT-warmte,67925.38471025974
GM0310_17,LTHP0001,overal LT-warmte,51811.49478345517
GM0321_17,LTHP0001,overal LT-warmte,49762.59297422012
GM0321_56,LTHP0001,overal LT-warmte,49210.414097741035
GM0321_7,LTHP0001,overal LT-warmte,49299.60807618899
GM0321_0,LTHP0001,overal LT-warmte,49123.74378390747
GM0321_90,LTHP0001,overal LT-warmte,49212.59140633801
GM0321_40,LTHP0001,overal LT-warmte,49499.03884490858
GM0321_86,LTHP0001,overal LT-warmte,49529.178573420584
GM0321_25,LTHP0001,overal LT-warmte,49356.10935974222
GM0321_60,LTHP0001,overal LT-warmte,49457.94948471969
GM0344_2_23,LTHP0001,overal LT-warmte,47150.776916124334
GM0344_1_66,LTHP0001,overal LT-warmte,47287.49175746155
GM0344_1_65,LTHP0001,overal LT-warmte,47111.48382622534
GM0344_2_15,LTHP0001,overal LT-warmte,49787.933229726106
GM0344_2_18,LTHP0001,overal LT-warmte,46889.777956038466
GM0344_2_17,LTHP0001,overal LT-warmte,48256.488497201724
GM0344_1_125,LTHP0001,overal LT-warmte,46759.953793339184
GM0344_1_120,LTHP0001,overal LT-warmte,46633.39265394434
GM0344_1_71,LTHP0001,overal LT-warmte,47285.55748951174
GM0344_1_70,LTHP0001,overal LT-warmte,46565.09866064582
GM0344_2_222,LTHP0001,overal LT-warmte,50323.9550045911
GM0344_1_109,LTHP0001,overal LT-warmte,46987.16289132757
GM0344_1_108,LTHP0001,overal LT-warmte,45097.74148673262
GM0344_2_221,LTHP0001,overal LT-warmte,47444.57175730821
GM0344_1_101,LTHP0001,overal LT-warmte,46813.68004646958
GM0344_2_189,LTHP0001,overal LT-warmte,47838.96006227955
GM0344_1_119,LTHP0001,overal LT-warmte,46710.253261480015
GM0344_2_230,LTHP0001,overal LT-warmte,50500.515484240736
GM0344_1_112,LTHP0001,overal LT-warmte,47677.17544306718
GM0344_1_111,LTHP0001,overal LT-warmte,46714.74003549235
GM0344_3_124,LTHP0001,overal LT-warmte,45944.77184140059
GM0344_3_128,LTHP0001,overal LT-warmte,45618.85872218918
GM0344_2_197,LTHP0001,overal LT-warmte,50172.776070060776
GM0344_2_196,LTHP0001,overal LT-warmte,46750.978064076284
GM0344_3_135,LTHP0001,overal LT-warmte,46300.863548572015
GM0344_3_137,LTHP0001,overal LT-warmte,46981.7273250293
GM0344_3_71,LTHP0001,overal LT-warmte,45543.82635398378
GM0344_3_70,LTHP0001,overal LT-warmte,46374.12710189024
GM0344_3_44,LTHP0001,overal LT-warmte,46331.66649491493
GM0344_3_112,LTHP0001,overal LT-warmte,45066.69213585741
GM0344_3_208,LTHP0001,overal LT-warmte,46599.71651388884
GM0344_1_5,LTHP0001,overal LT-warmte,47580.5400109016
GM0344_1_9,LTHP0001,overal LT-warmte,47998.8907765127
GM0344_3_20,LTHP0001,overal LT-warmte,46090.68520767285
GM0344_1_0,LTHP0001,overal LT-warmte,45498.887576047055
GM0344_3_205,LTHP0001,overal LT-warmte,46469.39391527454
GM0344_3_21,LTHP0001,overal LT-warmte,45998.17310713343
GM0344_1_1,LTHP0001,overal LT-warmte,48292.95699248376
GM0344_2_72,LTHP0001,overal LT-warmte,47214.525195166476
GM0344_3_33,LTHP0001,overal LT-warmte,46693.389456385565
GM0344_3_35,LTHP0001,overal LT-warmte,46360.33680367686
GM0344_3_36,LTHP0001,overal LT-warmte,46874.90282282501
GM0344_2_84,LTHP0001,overal LT-warmte,47929.14444817181
GM0344_2_87,LTHP0001,overal LT-warmte,48366.25667497607
GM0344_2_88,LTHP0001,overal LT-warmte,47965.95724695473
GM0344_4_32,LTHP0001,overal LT-warmte,42534.6248078665
GM0344_4_33,LTHP0001,overal LT-warmte,40340.205756326286
GM0344_1_182,LTHP0001,overal LT-warmte,46692.645438221174
GM0344_4_35,LTHP0001,overal LT-warmte,42755.568520147994
GM0344_4_37,LTHP0001,overal LT-warmte,41973.42046875849
GM0344_2_56,LTHP0001,overal LT-warmte,50624.623122922494
GM0344_2_58,LTHP0001,overal LT-warmte,48181.06447645753
GM0344_2_50,LTHP0001,overal LT-warmte,47201.31194626056
GM0344_4_48,LTHP0001,overal LT-warmte,43199.386495145554
GM0344_3_9,LTHP0001,overal LT-warmte,46646.945494358544
GM0344_4_39,LTHP0001,overal LT-warmte,42763.63023775647
GM0344_1_168,LTHP0001,overal LT-warmte,47850.30891765878
GM0344_3_8,LTHP0001,overal LT-warmte,46467.166673597625
GM0344_4_10,LTHP0001,overal LT-warmte,43166.896302439796
GM0344_1_161,LTHP0001,overal LT-warmte,47552.393316486196
