code,name,geo_coordinate,number_of_house_equivalents_residences,number_of_house_equivalents_utility,m2_of_utility,total_heat_demand_of_residences,total_heat_demand_of_utility,total_electricity_demand_of_residences,total_electricity_demand_of_utility,geothermal_available,teo_available,ht_sources_available,lt_sources_available,preference_W_MTHT,preference_H,preference_E,elegible_W_LT,force_heat_network
BU00590000,Buitenpost,"[205560.96368262198, 585275.585195409]",2302.0,493.4751,73653.0,119704.0,29461.2,269334.0,66287.7,False,False,['LTHP0001'],['LTHP0001'],0.2576714152572996,0.6572601423144601,0.08506844242824038,False,False
BU00590001,Twijzel,"[202569.472870371, 583688.496287581]",424.0,53.1377,7931.0,25440.0,3660.461542122,49184.0,7076.892305252,False,False,['LTHP0001'],['LTHP0001'],0.13429220150110244,0.7997417577494565,0.06596604074944107,False,False
BU00590002,Kootstertille,"[202340.10398348802, 580923.917879215]",883.0,68.7018,10254.0,43267.0,3864.969231558,11479.0,1025.4,False,False,['LTHP0001'],['LTHP0001'],0.16792720808215,0.713833210889262,0.11823958102858798,False,False
BU00590003,Twijzelerheide,"[199044.75754015302, 583960.921900038]",656.0,43.9989,6567.0,36080.0,2778.346159908,73472.0,5657.723079954,False,False,['LTHP0001'],['LTHP0001'],0.11670177664188873,0.7738529804441276,0.10944524291398351,False,False
BU00590004,Gerkesklooster,"[209540.134784063, 584133.614349701]",322.0,31.2555,4665.0,17710.0,1973.6538504599998,36064.0,4019.07692523,False,False,['LTHP0001'],['LTHP0001'],0.12644854665667563,0.740437552732397,0.1331139006109272,False,False
BU00590005,Verspreide huizen Buitenpost,"[206549.89929274897, 585051.047623695]",236.0,27.778200000000002,4146.0,14160.0,1913.538463452,26668.0,3603.830768274,False,False,['LTHP0001'],['LTHP0001'],0.011797512475261963,0.660110148032491,0.32809233949224703,False,False
BU00590006,Verspreide huizen Twijzel,"[202511.42370776602, 583807.7839176711]",34.0,0.0,0,2312.0,0.0,340.0,0.0,False,False,['LTHP0001'],['LTHP0001'],0.0,0.7644117647058825,0.23558823529411768,False,False
BU00590007,Verspreide huizen Kootstertille,"[202142.30065206302, 581969.686212368]",128.0,5.561,830.0,7936.0,395.84615391,14848.0,740.61538436,False,False,['LTHP0001'],['LTHP0001'],0.0,0.8062148951761214,0.19378510482387856,False,False
BU00590008,Verspreide huizen Twijzelerheide,"[199300.632574405, 583504.9084223061]",93.0,13.9092,2076.0,6417.0,1101.8769235559998,10602.0,1820.492307852,False,False,['LTHP0001'],['LTHP0001'],0.04145622033009528,0.846328738038895,0.11221504163100973,False,False
BU00590009,Verspreide huizen Gerkesklooster,"[209750.278983816, 584902.864861761]",29.0,0.0,0,1856.0,0.0,290.0,0.0,False,False,['LTHP0001'],['LTHP0001'],0.0,0.919655172413793,0.0803448275862069,False,False
BU00590100,Stroobos,"[210218.321209655, 583825.852365943]",107.0,44.3138,6614.0,5671.0,2696.476925112,24182.0,11498.184612332001,False,False,['LTHP0001'],['LTHP0001'],0.27320000116921694,0.6270828998987718,0.09971709893201122,False,False
BU00590102,Drogeham,"[203606.108202425, 579726.453774421]",652.0,60.125800000000005,8974.0,37164.0,3934.7538509860005,73676.0,7800.476921006,False,False,['LTHP0001'],['LTHP0001'],0.13060948495620409,0.7643962483516997,0.10499426669209619,False,False
BU00590103,Augustinusga,"[206594.05488740103, 581374.848524006]",434.0,17.3932,2596.0,25606.0,1178.1846157840002,4774.0,219.66153946,False,False,['LTHP0001'],['LTHP0001'],0.07523574330227213,0.8572454521430246,0.06751880455470341,False,False
BU00590107,Verspreide huizen Stroobos,"[209351.758228616, 583058.999949868]",22.0,0.0,0,1364.0,0.0,220.0,0.0,False,False,['LTHP0001'],['LTHP0001'],0.0,0.8181818181818182,0.18181818181818182,False,False
BU00590108,Verspreide huizen Drogeham,"[203716.17192502602, 580027.625714449]",66.0,6.7469,1007.0,4026.0,472.515384383,7326.0,859.8230770780001,False,False,['LTHP0001'],['LTHP0001'],0.0,0.7850353540966905,0.21496464590330963,False,False
BU00590109,Verspreide huizen Augustinusga,"[206805.448298274, 581746.3785189621]",70.0,4.133900000000001,617.0,4830.0,327.48461552699996,7700.0,522.076922982,False,False,['LTHP0001'],['LTHP0001'],0.0,0.8908353548234796,0.10916464517652028,False,False
BU00590200,Surhuisterveen,"[207168.99896105603, 577308.784190727]",2677,573.3726,85578.0,131173,32256.323083506002,315886,77678.492334024,False,False,['LTHP0001'],['LTHP0001'],0.22016314746872115,0.6248417690320155,0.1549950834992634,False,False
BU00590201,Harkema,"[204772.470702889, 577899.226414025]",1677.0,127.501,19030.0,90558.0,7904.769242479999,189501.0,16541.46153407,False,False,['LTHP0001'],['LTHP0001'],0.12789889370353283,0.7297085133757577,0.14239259292070952,False,False
BU00590202,Surhuizum,"[207856.868562072, 580109.424201921]",362.0,19.3831,2893.0,20996.0,1290.723079371,3982.0,244.792308805,False,False,['LTHP0001'],['LTHP0001'],0.12197762250045009,0.801972566363054,0.0760498111364959,False,False
