neighbourhood_code,heat_source_code,heat_source_name,distance_in_m
BU03072804,LTHP0001,overal LT-warmte,69726.0060154535
BU03072805,LTHP0001,overal LT-warmte,69082.40423590069
BU03072900,LTHP0001,overal LT-warmte,70343.00216819
BU03072902,LTHP0001,overal LT-warmte,70495.49934541836
BU03073100,LTHP0001,overal LT-warmte,71144.98766015221
BU03073101,LTHP0001,overal LT-warmte,70979.53687209268
BU03100803,LTHP0001,overal LT-warmte,51563.529983581284
BU03211230,LTHP0001,overal LT-warmte,49081.46725294982
BU03211232,LTHP0001,overal LT-warmte,48345.5009529286
BU03211233,LTHP0001,overal LT-warmte,48291.81045576707
BU03211234,LTHP0001,overal LT-warmte,49223.77525894208
BU03211236,LTHP0001,overal LT-warmte,49238.99591010794
BU03211237,LTHP0001,overal LT-warmte,49462.66191700395
BU03211342,LTHP0001,overal LT-warmte,49356.130990240104
BU03211345,LTHP0001,overal LT-warmte,49728.954004310544
BU03212059,LTHP0001,overal LT-warmte,47206.99513386458
BU03440312,LTHP0001,overal LT-warmte,48304.287153668025
BU03440321,LTHP0001,overal LT-warmte,46973.78017654862
BU03440322,LTHP0001,overal LT-warmte,47832.37014611528
BU03440331,LTHP0001,overal LT-warmte,46558.87065465047
BU03440341,LTHP0001,overal LT-warmte,47304.01830517638
BU03440342,LTHP0001,overal LT-warmte,47000.14075609689
BU03440431,LTHP0001,overal LT-warmte,48508.22492932178
BU03440533,LTHP0001,overal LT-warmte,50452.30482090832
BU03440534,LTHP0001,overal LT-warmte,49115.71797476994
BU03440535,LTHP0001,overal LT-warmte,48459.80801486857
BU03440613,LTHP0001,overal LT-warmte,46049.727998228554
BU03440628,LTHP0001,overal LT-warmte,46526.5210988556
BU03440822,LTHP0001,overal LT-warmte,45373.60372248215
BU03440911,LTHP0001,overal LT-warmte,42841.99770319364
BU03440912,LTHP0001,overal LT-warmte,42031.168922311845
BU03440913,LTHP0001,overal LT-warmte,42737.27640252652
BU03440921,LTHP0001,overal LT-warmte,41793.24069086833
BU03440922,LTHP0001,overal LT-warmte,42498.91522017434
BU03440932,LTHP0001,overal LT-warmte,43156.45285226062
BU03440933,LTHP0001,overal LT-warmte,43549.2870154484
BU03440934,LTHP0001,overal LT-warmte,43970.08368806147
BU03440941,LTHP0001,overal LT-warmte,42556.94336907724
BU03440942,LTHP0001,overal LT-warmte,42896.14390187243
BU03440943,LTHP0001,overal LT-warmte,42873.34142739116
BU03530016,LTHP0001,overal LT-warmte,39941.88823055731
BU03560700,LTHP0001,overal LT-warmte,44028.855677885076
BU03560800,LTHP0001,overal LT-warmte,43274.58667621506
BU03561000,LTHP0001,overal LT-warmte,43529.055822026436
BU03561200,LTHP0001,overal LT-warmte,42577.24063751377
BU03561400,LTHP0001,overal LT-warmte,43476.65971820142
BU03562400,LTHP0001,overal LT-warmte,42802.66300132808
BU03751001,LTHP0001,overal LT-warmte,59554.28148874353
BU03751002,LTHP0001,overal LT-warmte,59026.25679852861
BU04730102,LTHP0001,overal LT-warmte,45283.89344745916
BU04820502,LTHP0001,overal LT-warmte,19936.334971191336
BU04891735,LTHP0001,overal LT-warmte,13895.311558591899
BU04895080,LTHP0001,overal LT-warmte,15962.632265548167
BU04895083,LTHP0001,overal LT-warmte,13416.989438189456
BU04895084,LTHP0001,overal LT-warmte,12807.813360802076
BU05020444,LTHP0001,overal LT-warmte,10495.664541348526
BU05020770,LTHP0001,overal LT-warmte,7573.175530923125
BU05020771,LTHP0001,overal LT-warmte,8180.693506292279
BU05020772,LTHP0001,overal LT-warmte,7851.624290430977
BU05020773,LTHP0001,overal LT-warmte,8003.875791505302
BU05020775,LTHP0001,overal LT-warmte,8401.038248864119
BU05020776,LTHP0001,overal LT-warmte,8578.336008757306
BU05020777,LTHP0001,overal LT-warmte,8879.316718302212
BU05020778,LTHP0001,overal LT-warmte,9066.549715400779
BU05020779,LTHP0001,overal LT-warmte,9225.872685057691
BU05020881,LTHP0001,overal LT-warmte,7232.81846195325
BU05020884,LTHP0001,overal LT-warmte,8027.5681745135535
BU05020886,LTHP0001,overal LT-warmte,8024.181409844866
BU05020887,LTHP0001,overal LT-warmte,8480.646456592545
BU05020888,LTHP0001,overal LT-warmte,8808.514433185685
BU05020889,LTHP0001,overal LT-warmte,8414.184229659917
BU05020991,LTHP0001,overal LT-warmte,8172.631362604807
BU05020992,LTHP0001,overal LT-warmte,8455.112577827713
BU05020993,LTHP0001,overal LT-warmte,8623.413482570817
BU05031406,LTHP0001,overal LT-warmte,10364.457732404835
BU05031601,LTHP0001,overal LT-warmte,9005.626196617592
BU05051904,LTHP0001,overal LT-warmte,23201.988262586663
BU05059801,LTHP0001,overal LT-warmte,26679.515429967876
BU05180170,LTHP0001,overal LT-warmte,19356.28568544133
BU05184002,LTHP0001,overal LT-warmte,13873.263642976925
BU05184005,LTHP0001,overal LT-warmte,12488.87408036111
BU05184107,LTHP0001,overal LT-warmte,10687.656345684754
