neighbourhood,type,E,H,geothermal,HT,MT,LT,backup,undecided,useful_heat,heat_reduction
total,residences,201662.7176749895,51676.43890837148,332485.418321776,517408.75642669003,0.0,0.0,239091.03150808328,0.0,1057830.2367806765,22953.866914093534
total,utility,32522.601970909076,1445.5404629310308,47182.707896811306,56342.90883259418,0.0,0.0,29909.875453602624,0.0,149811.2863844859,21013.88369786215
BU014,residences,12185.26498925326,,,,,,,,25940.05871020316,2748.8243830868387
BU014,utility,16842.48143602346,,,,,,,,34895.35638248047,7463.1616107525315
BU001,residences,7733.231999999999,,58369.13743742999,,,,20600.872036740002,,58369.13743742999,0.0
BU001,utility,284.827749489,,3536.5390383960003,,,,1248.1902488456474,,3536.5390383960003,0.0
BU002,residences,12446.027999663253,,91828.07604047595,,,,32409.90919075622,,91828.07604047595,510.3615494340624
BU002,utility,1190.37997172025,,10726.324589999815,,,,3785.761619999935,,10726.324589999815,1016.9542457341847
BU003,residences,17865.08999914425,,124236.15587697,,,,43848.05501540118,,124236.15587697,0.0
BU003,utility,1604.4760607264998,,22667.752354428496,,,,8000.383183915941,,22667.752354428496,4434.849685369505
BU012,residences,21285.19551638305,,,,,,,,51488.46756243346,8022.183042526541
BU012,utility,2468.760525487014,,,,,,,,5355.218430543803,1713.6351113181968
BU010,residences,9436.58099949225,,,63555.94101422,,,14954.339062169409,,63555.94101422,0.0
BU010,utility,358.0371419339999,,,3017.6875759961813,,,710.0441355285132,,3017.6875759961813,581.7306802358187
BU006,residences,25853.256000490503,,,171954.75145492,,,40459.9415188047,,171954.75145492,0.0
BU006,utility,1954.8474831712497,,,16742.237109603,,,3939.3499081418818,,16742.237109603,0.0
BU007,residences,19356.034591977754,,,142691.56895331,,,33574.486812543524,,142691.56895331,0.0
BU007,utility,2830.8915957135005,,,21895.10461336,,,5151.789320790587,,21895.10461336,0.0
BU008,residences,14773.589999887501,,,111223.20537558,,,26170.1659707247,,111223.20537558,0.0
BU008,utility,1176.885771984,,,12277.835172695999,,,2888.9023935755285,,12277.835172695999,0.0
BU013,residences,6653.28705203345,,,,,,,,12237.888941103563,1700.1063198764364
BU013,utility,470.4343136749234,,,,,,,,949.8164308806503,629.6585306423499
BU004,residences,8264.187000449998,,58052.048966899994,,,,20488.958458905887,,58052.048966899994,0.0
BU004,utility,960.1806536759999,,10252.091913986998,,,,3618.3853814071767,,10252.091913986998,0.0
BU011,residences,3919.3740000000003,,,27983.28962866,,,6584.303442037645,,27983.28962866,0.0
BU011,utility,235.13589932175,,,2410.044360939,,,567.0692613974117,,2410.044360939,0.0
BU009,residences,20359.301544861424,,,,,,,,43739.21079413034,9972.391619169655
BU009,utility,1561.0112217541196,,,,,,,,3000.4451047607604,4000.801797824239
BU005,residences,21532.29598135278,51676.43890837148,,,,,,,74530.43602434,0.0
BU005,utility,584.2521462333058,1445.5404629310308,,,,,,,2084.833306414674,1173.0920359853255
