code,name,geo_coordinate,available_heat,neighbourhoods_in_range,used_heat
HTLP0001,Avebe u.a. (Ter Apelkanaal),"[266540.0002, 549498.0005]",23652,"BU012,BU013,BU014",0
HTLP0002,Avebe u.a. (Foxhol),"[243650.0002, 576850.0005]",23337,"BU011,BU012,BU013",16138.17088904753
HTLP0003,Avebe u.a. (Gasselternijveen),"[254450.0002, 556800.0005]",23021,"BU010,BU011,BU012",0
HTLP0004,Delesto BV,"[259432.0002, 593623.0005]",147588,"BU009,BU010,BU011",113553.84190346664
HTLP0005,Nuon Power Generation BV (Eemshaven),"[252795.0002, 607838.0005]",1881753,"BU008,BU009,BU010",0
HTLP0006,Eemscentrale,"[254265.0002, 606627.0005]",6989166,"BU007,BU008,BU009",170547.11401292664
HTLP0007,Eneco Bio Golden Raand C.V.,"[261424.0002, 592709.0005]",180228,"BU006,BU007,BU008",154905.10453333647
HTLP0008,Suiker Unie Vierverlaten,"[229011.0002, 581366.0005]",27752,"BU005,BU006,BU007",0
