code,name,geo_coordinate,available_heat,neighbourhoods_in_range,used_heat
LTLP0001,"Bardeen Datahotel, Groningen","[235082.0087, 580965.9738]",0,"BU012,BU013,BU014",0
LTLP0002,"KPN GN2, Groningen","[231560.3621, 580589.3105]",0,"BU011,BU012,BU013",0
LTLP0003,"KPN HD, Groningen","[233354.5101, 579429.7496]",0,"BU010,BU011,BU012",0
LTLP0004,"Rekenhal - Zernikeborg, Groningen","[231687.6912, 584103.2279]",0,"BU009,BU010,BU011",0
LTLP0005,"Tele2 (POP), Groningen, Groningen","[236733.6423, 582172.8578]",0,"BU008,BU009,BU010",0
LTLP0006,"Datacenter Groningen B.V., Zuidbroek","[253798.9842, 576382.0073]",0,"BU007,BU008,BU009",0
LTLP0007,Bytesnet - Groningen,"[231412.8082, 583313.6345]",0,"BU006,BU007,BU008",0
LTLP0008,NLDC - Groningen,"[227614.7632, 580665.7535]",0,"BU005,BU006,BU007",0
LTLP0009,TCN Data Hotels - Groningen,"[231192.6232, 584995.3665]",0,"BU004,BU005,BU006",0
LTLP0010,Google,"[252819.0002, 605225.0005]",0,"BU003,BU004,BU005",0
LTLP0011,TCN Data Hotels - Eemshaven,"[252821.4862, 606619.6585]",0,"BU002,BU003,BU004",0
LTLP0012,RWZI Garmerwolde,"[240593.7722, 585222.8315]",0,"BU001,BU002,BU003",0
LTLP0013,RWZI Eelde,"[236484.0002, 572007.0005]",0,"BU012,BU013,BU014",0
LTLP0014,RWZI Zuidhorn,"[222036.8942, 585581.6165]",0,"BU011,BU012,BU013",0
LTLP0015,RWZI Hoogkerk,"[229627.4812, 581074.6475]",0,"BU010,BU011,BU012",0
LTLP0016,RWZI Feerwerd,"[227925.8512, 590163.1255]",0,"BU009,BU010,BU011",0
LTLP0017,RWZI Onderdendam,"[235353.3702, 594015.1845]",0,"BU008,BU009,BU010",0
LTLP0018,RWZI Uithuizen,"[240674.0472, 602153.1035]",0,"BU007,BU008,BU009",0
LTLP0019,RWZI Delfzijl,"[259304.0002, 592347.0005]",0,"BU006,BU007,BU008",0
LTLP0020,RWZI Uithuizermeeden,"[244833.0832, 603278.4455]",0,"BU005,BU006,BU007",0
LTLP0021,RWZI Winsum,"[229484.6122, 594732.3635]",0,"BU004,BU005,BU006",0
LTLP0022,RWZI Wehe Den Hoorn,"[223090.3332, 598531.0005]",0,"BU003,BU004,BU005",0
LTLP0023,RWZI Ulrum,"[218031.164, 596456.8668]",0,"BU002,BU003,BU004",0
LTLP0024,RWZI Gaarkeuken *,"[217557.0002, 585201.0005]",0,"BU001,BU002,BU003",0
LTLP0025,RWZI Marum*,"[213927.0002, 574580.0005]",0,"BU012,BU013,BU014",0
LTLP0026,RWZI Leek*,"[220625.1102, 574416.5505]",0,"BU011,BU012,BU013",0
LTLP0027,RWZI Foxhol,"[243440.8742, 576282.8975]",0,"BU010,BU011,BU012",0
LTLP0028,RWZI Hoogezand,"[247723.3572, 576893.0835]",0,"BU009,BU010,BU011",0
LTLP0029,RWZI Veendam,"[256688.0792, 570532.1705]",0,"BU008,BU009,BU010",0
LTLP0030,RWZI Oude Pekela,"[264696.0002, 571141.0005]",0,"BU007,BU008,BU009",0
LTLP0031,RWZI Scheemda,"[263359.0002, 576533.0005]",0,"BU006,BU007,BU008",0
LTLP0032,RWZI Bellingwolde,"[274510.5022, 572900.8375]",0,"BU005,BU006,BU007",0
LTLP0033,RWZI Scheve Klap,"[263299.9462, 587754.3205]",0,"BU004,BU005,BU006",0
LTLP0034,RWZI Ter Apel,"[273960.0002, 558670.0005]",0,"BU003,BU004,BU005",0
LTLP0035,RWZI Stadskanaal,"[260316.7032, 559500.6255]",0,"BU002,BU003,BU004",0
LTLP0036,RWZI Vriescheloo,"[271675.1022, 565399.2045]",0,"BU001,BU002,BU003",0
