code,name,geo_coordinate,available_heat,neighbourhoods_in_range,used_heat
LTHP0001,BV Preparatiebedrijf Lommerse  Uitendaal,"[100379.0, 480139]",98928,nan,0
LTHP0002,RWZI   Nijkerk,"[161407.0, 471751]",99171,nan,0
LTHP0003,RWZI   Waddinxveen Randenburg,"[105326.0, 452095]",99171,"GM0627_4,GM0627_44,GM0627_33,GM1901_16,GM0627_27,GM0627_49,GM0627_0,GM0627_14",16614.92143614817
LTHP0004,RWZI   Barendrecht,"[96069.0, 427702]",100696,"GM0489_19,GM0489_75,GM0489_30,GM0489_41,GM0489_6,GM1963_69",16673.56151501352
LTHP0005,RWZI   Soest,"[148791.0, 467212]",100696,"GM0342_54,GM0342_39,GM0342_2,GM0342_82,GM0342_81,GM0342_30,GM0308_36,GM0308_43",14207.362204479798
LTHP0006,RWZI   Driebergen,"[146276.0, 450920]",101612,"GM1581_25,GM1581_10,GM1581_5,GM1581_1",1868.853682912463
LTHP0007,Equinix AM5,"[124867.0, 478510]",102930,GM0437_19,0
LTHP0008,Equinix AM6,"[124049.0, 483346]",102930,"GM0437_13,GM0437_4,GM0437_31,GM0437_6,GM0437_17,GM0437_29,GM0437_5",0
LTHP0009,Het Kaasmerk BV,"[95258.0, 463240]",102997,nan,0
LTHP0010,RWZI   Kootstertille,"[203653.0, 582110]",104358,"GM0059_40,GM0059_39",0
LTHP0011,RWZI   De Meern,"[128566.0, 455734]",176602,"GM0632_10,GM0344_4_143,GM0344_4_54,GM0344_4_28,GM0344_4_25,GM0344_4_87,GM0344_4_75,GM0344_4_77,GM0344_4_74,GM0344_4_144",4548.759311718204
LTHP0012,RWZI   Willem Annapolder,"[53838.0, 385524]",108386,"GM0678_11,GM0654_4",0
LTHP0013,NLDC,"[114131.0, 478456]",111690,"GM0358_66,GM0358_25,GM0358_49",0
LTHP0014,RWZI   Rhenen,"[165405.0, 442334]",115343,GM0340_19,0
LTHP0015,RWZI   Woerden,"[118154.0, 455441]",115343,"GM0632_83,GM0632_27,GM0632_65,GM0632_35,GM0632_43,GM0632_23,GM0632_54",516.2666666666668
LTHP0016,Farm Frites BV,"[70696.0, 426685]",117629,"GM0530_22,GM0530_45,GM0530_3",0
LTHP0017,Initworks BV,"[91190.0, 435351]",118260,"GM0599_1_216,GM0599_1_271,GM0599_1_238,GM0599_1_275,GM0599_1_8,GM0599_1_138,GM0599_1_32,GM0599_1_46,GM0599_1_93,GM0599_1_156,GM0599_1_3,GM0599_1_139,GM0599_1_68,GM0599_1_163,GM0599_1_18,GM0599_1_218,GM0599_7_28,GM0599_7_99,GM0599_7_33",0
LTHP0018,Aanholt Supermarkt BV,"[166411.0, 446405]",124112,"GM0345_5,GM0345_24,GM0345_40,GM0345_31,GM0345_33,GM0345_119,GM0340_23,GM0345_20,GM0345_9,GM0345_15,GM0345_10",3434.8800000000006
LTHP0019,Albert Heijn BV,"[164970.0, 448939]",124112,"GM0345_104,GM0345_110,GM0345_12,GM0345_75,GM0345_121,GM0345_28,GM0345_76,GM0345_103,GM0345_54,GM0345_3,GM0345_60,GM0345_102,GM0345_41,GM0345_17,GM0345_118,GM0345_50,GM0345_65,GM0345_42,GM0345_70,GM0345_95",19152.16
LTHP0020,Hoogvliet BV,"[166164.0, 449142]",124112,"GM0345_18,GM0345_1,GM0345_59,GM0345_55,GM0345_47,GM0345_115,GM0345_114,GM0345_30,GM0345_105,GM0345_96,GM0345_92,GM0345_68,GM0345_74,GM0345_22,GM0345_109,GM0345_90,GM0345_116,GM0345_110,GM0345_23,GM0345_84,GM0345_32,GM0345_120,GM0345_100,GM0345_111,GM0345_73",9786.818263756984
LTHP0021,Superkees BV,"[167227.0, 449789]",124112,"GM0345_77,GM0345_26,GM0345_64,GM0345_16,GM0345_108,GM0345_25,GM0345_61,GM0345_39,GM0345_52,GM0345_45,GM0345_71,GM0345_46,GM0345_37,GM0345_69,GM0345_57,GM0345_120,GM0345_111,GM0345_73",0
LTHP0022,RWZI   De Groote Zaag,"[100593.0, 434758]",125962,"GM1931_15,GM0597_38,GM0597_92,GM1931_58",0
LTHP0023,W_Gemaal_1602,"[62811.0, 427969]",126144,"GM0530_39,GM1924_84",1011.4327473661051
LTHP0024,W_Gemaal_591,"[112752.0, 513500]",126144,nan,0
LTHP0025,W_Gemaal_969,"[106552.0, 451700]",126144,"GM0627_29,GM1901_16",0
LTHP0026,W_Gemaal_742,"[125252.0, 483500]",126144,"GM0437_1,GM0437_9,GM0437_15,GM0437_31",0
LTHP0027,W_Gemaal_1252,"[66552.0, 420700]",126144,"GM1924_13,GM1924_59",0
LTHP0028,W_Gemaal_1254,"[66652.0, 420500]",126144,"GM1924_13,GM1924_89,GM1924_59",0
LTHP0029,W_Gemaal_1269,"[66352.0, 419300]",126144,"GM1924_13,GM1924_74,GM1924_33,GM1924_89",8445.117955027907
LTHP0030,W_Gemaal_714,"[107552.0, 489200]",126144,nan,0
LTHP0031,W_Gemaal_718,"[108652.0, 488500]",126144,nan,0
LTHP0032,W_Gemaal_806,"[103852.0, 474500]",126144,nan,0
LTHP0033,W_Gemaal_999,"[137352.0, 448500]",126144,"GM0321_49,GM0321_77,GM0321_68,GM0321_80,GM0321_53,GM0356_74,GM0356_57,GM0356_116",0
LTHP0034,W_Gemaal_1045,"[97252.0, 444800]",126144,"GM1621_99,GM1621_13,GM1621_28,GM1621_93,GM1892_53",0
LTHP0035,W_Gemaal_1194,"[82152.0, 429900]",126144,"GM1930_108,GM1930_102,GM1930_144,GM1930_118,GM1930_151,GM1930_74,GM1930_98,GM1930_9,GM1930_65,GM1930_82,GM1930_97,GM1930_10,GM1930_1,GM1930_99,GM1930_129,GM1930_49,GM1930_55,GM1930_7,GM1930_81",17058.09195230137
LTHP0036,W_Gemaal_629,"[109352.0, 505600]",126144,"GM0450_4,GM0450_5,GM0450_15,GM0450_20",0
