code,name,geo_coordinate,available_heat,neighbourhoods_in_range,used_heat
HTHP0001,Avebe u.a. (Gasselternijveen),"[254450.0002, 556800.0005]",46042.0,"BU012,BU013,BU014",16138.17088904753
HTHP0002,Avebe u.a. (Foxhol),"[243650.0002, 576850.0005]",46673.0,"BU011,BU012,BU013",40978.37542454024
HTHP0003,Avebe u.a. (Ter Apelkanaal),"[266540.0002, 549498.0005]",47304.0,"BU010,BU011,BU012",0
HTHP0004,Suiker Unie Vierverlaten,"[229011.0002, 581366.0005]",55503.0,"BU009,BU010,BU011",37095.64333583718
HTHP0005,Nuon Power Generation BV (Eemshaven),"[252059.0801, 606940.2386]",10036016.64,"BU008,BU009,BU010",76458.19856762946
HTHP0006,Eemscentrale,"[253453.2172, 605777.4958]",37275552.0,"BU007,BU008,BU009",170547.11401292664
HTHP0007,Delesto BV,"[254588.488, 592077.86]",295176.96,"BU006,BU007,BU008",196977.92904017976
HTHP0008,Eneco Bio Golden Raand C.V.,"[255923.2148, 591466.1945]",961217.28,"BU005,BU006,BU007",224703.72033463497
