code,name,geo_coordinate,available_heat,neighbourhoods_in_range,used_heat
LTLP0001,Equinix AM5,"[124867, 478510]",102930.0,BU04370008,0
LTLP0002,Equinix AM6,"[124049, 483346]",102930.0,BU04370001,0
LTLP0003,NLDC,"[114131, 478456]",111690.0001,"BU03580206,BU03580200",0
LTLP0004,Dataplace  Graan voor Visch Zuid,"[107061, 478277]",126144.0,nan,0
LTLP0005,Cogent Datacenter Amsterdam,"[109382, 488727]",126144.0,nan,0
LTLP0006,Switch Datacenters   Amsterdam,"[124451, 479656]",143445.0,BU04370008,0
LTLP0007,EuroFiber Nijverheidsweg  Utrecht,"[134214, 457034]",157680.0,"BU03440224,BU03440231,BU03440132,BU03440131",22636.454864025916
LTLP0008,RAM Infotechnology  Utrecht,"[133904, 453432]",157680.0,"BU03441041,BU03440953",3837.0871834685818
LTLP0009,Digital Realty Trust NL   H J E  Wenckebachweg,"[123975, 483272]",190530.0001,"BU04370002,BU04370001",0
LTLP0010,Atom86,"[111566, 476520]",220752.0,"BU03580000,BU03580200",48230.81845765493
LTLP0011,Interxion AMS 3,"[112952, 477537]",315360.0,BU03580200,0
LTLP0012,Interxion AMS 6,"[112612, 477662]",315360.0,nan,0
LTLP0013,S W I F T  Society for Worldwide Interbank Financial Telecommunication SCRL,"[96196, 461573]",409968.0,nan,0
LTLP0014,ABN AMRO Datacenter,"[119957, 480657]",409968.0,"BU03620602,BU03620304,BU03620303,BU03620603,BU03620601,BU03620102,BU03620502",89933.49743561601
LTLP0015,ABN AMRO Datacenter,"[119786, 478878]",409968.0,"BU03620903,BU03620803,BU03620401,BU03620805,BU03620902,BU03620901,BU03620604",225677.77238483628
LTLP0016,Interoute Communications Ltd,"[111930, 477009]",409968.0,nan,0
LTLP0017,Interxion AMS 7,"[112589, 477228]",409968.0,BU03580200,0
LTLP0018,Verizon Schiphol,"[115080, 481757]",409968.0,nan,0
LTLP0019,NLDC   Aalsmeer,"[113091, 474818]",409968.0,"BU03580001,BU03580004",102773.9856337296
LTLP0020,Datapark Nederland  Alblasserdam,"[105217, 430196]",409968.0,"BU04820502,BU04820503,BU04820501,BU04820105,BU04820102,BU04820103,BU04820104",27985.43057748559
LTLP0021,Dataplace Rotterdam,"[106208, 428826]",409968.0,"BU19781604,BU05900001,BU05900002,BU04820502,BU04820503,BU04820604,BU04820501",131765.2804417761
LTLP0022,Tele2  POP   Alkmaar  Alkmaar,"[112725, 514921]",409968.0,nan,0
LTLP0023,Datacenter NoordHolland,"[113242, 515529]",409968.0,nan,0
LTLP0024,Tele2  POP   Amersfoort  Amersfoort,"[157171, 464869]",409968.0,"BU03072500,BU03072501,BU03071101,BU03071100,BU03072502,BU03072503",71350.39191765885
LTLP0025,Pink Roccade  Amsterdam  Amsterdam,"[125385, 479232]",409968.0,nan,0
LTLP0026,Tele2  Amsterdam 1   Amsterdam  Amsterdam,"[125519, 479117]",409968.0,nan,0
LTLP0027,Vancis  Amsterdam,"[125507, 485536]",409968.0,nan,0
LTLP0028,Viatel  Amsterdam  Amsterdam,"[117749, 485543]",409968.0,nan,0
LTLP0029,Equinix AM4,"[125922, 485276]",409968.0,nan,0
LTLP0030,Globalone,"[117220, 488799]",409968.0,nan,0
LTLP0031,Nikhef Housing,"[125286, 485458]",409968.0,nan,0
