neighbourhood_code,heat_source_code,heat_source_name,distance_in_m
BU03072900,HTLP0082,gas WKK eneco,867.4729071405513
BU03072902,HTLP0082,gas WKK eneco,561.2089004894685
BU03073101,HTLP0082,gas WKK eneco,220.4214584703355
BU03211230,HTLP0018,Vijfwal,548.4494467140125
BU03211234,HTLP0018,Vijfwal,753.1646115146605
BU03211236,HTLP0018,Vijfwal,554.3414842952102
BU03211237,HTLP0024,Eneco HWC Nicolaas Beetsstraat,8802.965290484655
BU03211342,HTLP0024,Eneco HWC Nicolaas Beetsstraat,8231.38012557376
BU03211345,HTLP0024,Eneco HWC Nicolaas Beetsstraat,9207.437343387526
BU03440312,HTLP0025,Eneco HWC Overvecht,1523.3045536448722
BU03440321,HTLP0025,Eneco HWC Overvecht,195.9500840539436
BU03440322,HTLP0025,Eneco HWC Overvecht,1004.9953678315336
BU03440331,HTLP0025,Eneco HWC Overvecht,536.8195045931205
BU03440341,HTLP0025,Eneco HWC Overvecht,847.4380321462396
BU03440342,HTLP0094,Eneco Merwedekanaal,3098.04567614549
BU03440431,HTLP0023,WOS_merkesstraat,684.3363604733611
BU03440533,HTLP0094,Eneco Merwedekanaal,6886.264459643
BU03440534,HTLP0024,Eneco HWC Nicolaas Beetsstraat,2739.0901956310295
BU03440535,HTLP0024,Eneco HWC Nicolaas Beetsstraat,2333.8610712791224
BU03440613,HTLP0094,Eneco Merwedekanaal,2527.153450922352
BU03440628,HTLP0087,Nuon Kanaalweg,896.5775786505467
BU03440822,HTLP0094,Eneco Merwedekanaal,3713.2877081488996
BU03440912,HTLP0014,Biowarmte Installatie Lage Weide,2392.3787622139635
BU03440913,HTLP0014,Biowarmte Installatie Lage Weide,1480.7169196160582
BU03440921,HTLP0014,Biowarmte Installatie Lage Weide,2311.224339273232
BU03440922,HTLP0014,Biowarmte Installatie Lage Weide,1607.4249732187616
BU03440932,HTLP0014,Biowarmte Installatie Lage Weide,1011.2084366507796
BU03440933,HTLP0022,WOS_rijksstraatweg,988.3272577006762
BU03440934,HTLP0022,WOS_rijksstraatweg,987.197035114413
BU03440941,HTLP0014,Biowarmte Installatie Lage Weide,1703.7227995697187
BU03440942,HTLP0014,Biowarmte Installatie Lage Weide,1652.6404508198095
BU03440943,HTLP0014,Biowarmte Installatie Lage Weide,2012.0858769570177
BU03560700,HTLP0094,Eneco Merwedekanaal,5923.394307079885
BU03560800,HTLP0094,Eneco Merwedekanaal,5078.1353609932385
BU03561000,HTLP0094,Eneco Merwedekanaal,9211.973109322756
BU03561200,HTLP0084,Nuon Nieuwegein,2655.153708800084
BU03561400,HTLP0084,Nuon Nieuwegein,527.6051803463523
BU03562400,HTLP0094,Eneco Merwedekanaal,8042.438025181852
BU04820502,LTLP0021,Dataplace Rotterdam,435.86667397285225
BU04891735,HTLP0090,EOn Benelux NV Galileistraat,8208.129169636019
BU05020770,HTLP0096,EON Centrale RoCa,649.2153186855542
BU05020771,HTLP0096,EON Centrale RoCa,1237.621180920929
BU05020772,HTLP0096,EON Centrale RoCa,1040.4230337853728
BU05020773,HTLP0096,EON Centrale RoCa,1078.6244238074426
BU05020775,HTLP0096,EON Centrale RoCa,1461.121592199543
BU05020776,HTLP0096,EON Centrale RoCa,1657.10320789489
BU05020777,HTLP0096,EON Centrale RoCa,1948.8976951060645
BU05020778,HTLP0096,EON Centrale RoCa,2155.2105717743098
BU05020779,HTLP0096,EON Centrale RoCa,2353.9961068989937
BU05020881,HTLP0096,EON Centrale RoCa,387.96608853976073
BU05020884,HTLP0096,EON Centrale RoCa,1509.4980691093415
BU05020886,HTLP0096,EON Centrale RoCa,1153.1942770454798
BU05020887,HTLP0096,EON Centrale RoCa,1704.8414705516834
BU05020888,HTLP0096,EON Centrale RoCa,2067.922505756083
BU05020889,HTLP0096,EON Centrale RoCa,1573.0129844597404
BU05020991,HTLP0053,IHC Krimpen Shipyard BV,2386.6522714221937
BU05020992,HTLP0053,IHC Krimpen Shipyard BV,2020.881194118121
BU05020993,HTLP0053,IHC Krimpen Shipyard BV,1845.0017511653084
BU05031406,HTLP0040,DSM Delft Permit BV,1810.5641837055937
BU05031601,HTLP0040,DSM Delft Permit BV,1486.3127928915776
BU05059801,HTLP0001,DRSH Zuiveringsslib N V,1076.0775445141269
BU05184002,HTLP0103,WSW Capturam Geothermie,5282.359788390885
BU05990110,HTLP0096,EON Centrale RoCa,6393.712261379538
BU05990113,HTLP0096,EON Centrale RoCa,7229.278979024213
BU05990329,HTLP0090,EOn Benelux NV Galileistraat,1839.750921944793
BU05990845,HTLP0053,IHC Krimpen Shipyard BV,3188.816073387595
BU05991017,HTLP0096,EON Centrale RoCa,7229.563217710778
BU05991466,HTLP0096,EON Centrale RoCa,1536.6463048855712
BU05991468,HTLP0096,EON Centrale RoCa,3461.9297637421914
BU05991926,HTLP0090,EOn Benelux NV Galileistraat,367.0614713393585
BU06060101,HTLP0090,EOn Benelux NV Galileistraat,1884.64732728311
BU06100109,HTLP0001,DRSH Zuiveringsslib N V,1285.3765269544074
BU06420401,HTLP0030,Ashland Industries Nederland BV,1369.3203166654994
BU07180403,HTLP0062,Eastman Chemical Middelburg BV,6436.25742611069
BU16211321,HTLP0096,EON Centrale RoCa,5905.594841486131
